"LINEAGE_AT1PERCENT","DATE_NUM_AT1PERCENT","DATE_AT1PERCENT","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1) - Omicron (BA.2)",-0.108320396174823,0.00151291821250485,NA,-0.111285661382888,-0.105355130966759,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1) - Omicron (BA.3)",-0.0470541866464535,0.0104071181923029,NA,-0.0674517634862188,-0.0266566098066882,0.000681769874753102
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1) - Omicron (BA.1.1, with S:R346K)",-0.0275958351142849,0.00102450325668169,NA,-0.029603824599425,-0.0255878456291448,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1) - Omicron (BA.4)",-0.17851198891301,0.0151977227753946,NA,-0.208298978199807,-0.148724999626212,2.50910403565285e-14
"Omicron (BA.2)",19001,2022-01-09,"Omicron (BA.1) - Omicron (BA.5)",-0.226973376604163,0.0457316290777655,NA,-0.316605722550928,-0.137341030657398,0.000110595241383238
"Omicron (BA.2)",19001,2022-01-09,"Other - Alpha",0.183353330430028,0.00295446443319875,NA,0.177562686547354,0.189143974312703,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Beta",0.269736498386877,0.0146246739076161,NA,0.241072664242307,0.298400332531447,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Gamma",0.225434556057257,0.0079029683458347,NA,0.209945022728461,0.240924089386053,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Delta",0.0245159855142842,0.000877098772091642,NA,0.0227969035101002,0.0262350675184681,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Omicron (BA.2)",-0.219452073215507,0.00252859258221253,NA,-0.224408023608219,-0.214496122822796,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Omicron (BA.3)",-0.158185863687137,0.0105849544361713,NA,-0.178931993160031,-0.137439734214244,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Omicron (BA.1.1, with S:R346K)",-0.138727512154969,0.00199633747603888,NA,-0.142640261708993,-0.134814762600945,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Omicron (BA.4)",-0.289643665953694,0.0153207883911194,NA,-0.319671859415047,-0.25961547249234,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Other - Omicron (BA.5)",-0.338105053644847,0.0457723516540052,NA,-0.4278172143744,-0.248392892915294,8.85445938791918e-10
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Beta",0.0863831679568482,0.0145975777655412,NA,0.0577724412748648,0.114993894638832,1.47306099962385e-06
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Gamma",0.0420812256272285,0.00783984607123665,NA,0.0267154096832668,0.0574470415711901,1.88236789828711e-05
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Delta",-0.158837344915744,0.00325882979841711,NA,-0.165224533952388,-0.152450155879101,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Omicron (BA.2)",-0.402805403645536,0.00400321467502648,NA,-0.41065156023097,-0.394959247060102,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Omicron (BA.3)",-0.341539194117166,0.0110305618846005,NA,-0.363158698140223,-0.319919690094109,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Omicron (BA.1.1, with S:R346K)",-0.322080842584997,0.00369034359236927,NA,-0.329313783116619,-0.314847902053375,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Omicron (BA.4)",-0.472996996383722,0.0156319666458125,NA,-0.503635088017046,-0.442358904750398,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Alpha - Omicron (BA.5)",-0.521458384074876,0.0458774473288146,NA,-0.611376528541986,-0.431540239607766,4.21884749357559e-14
"Omicron (BA.2)",19001,2022-01-09,"Beta - Gamma",-0.0443019423296197,0.0164579470423328,NA,-0.0765589257920595,-0.0120449588671799,0.215232157317517
"Omicron (BA.2)",19001,2022-01-09,"Beta - Delta",-0.245220512872592,0.0146738202033182,NA,-0.273980671986712,-0.216460353758473,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Beta - Omicron (BA.2)",-0.489188571602384,0.0148603643128975,NA,-0.518314350452807,-0.460062792751961,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Beta - Omicron (BA.3)",-0.427922362074014,0.0180685868327883,NA,-0.463336141517814,-0.392508582630214,3.5527136788005e-15
"Omicron (BA.2)",19001,2022-01-09,"Beta - Omicron (BA.1.1, with S:R346K)",-0.408464010541845,0.0147790355280352,NA,-0.437430387903032,-0.379497633180658,3.5527136788005e-15
