"collection_date","LABORATORY","outcome","count","collection_date_num"
2021-01-31,"Namur","n_spos",18,18658
2021-01-31,"Saint LUC - UCL","n_spos",52,18658
2021-01-31,"ULB","n_spos",46,18658
2021-01-31,"UMons - Jolimont","n_spos",16,18658
2021-01-31,"UZ Gent","n_spos",18,18658
2021-01-31,"UZ leuven","n_spos",55,18658
2021-01-31,"UZA","n_spos",50,18658
2021-02-01,"Namur","n_spos",60,18659
2021-02-01,"Saint LUC - UCL","n_spos",75,18659
2021-02-01,"ULB","n_spos",47,18659
2021-02-01,"UMons - Jolimont","n_spos",78,18659
2021-02-01,"UZ Gent","n_spos",78,18659
2021-02-01,"UZ leuven","n_spos",47,18659
2021-02-01,"UZA","n_spos",84,18659
2021-02-02,"Namur","n_spos",35,18660
2021-02-02,"Saint LUC - UCL","n_spos",49,18660
2021-02-02,"ULB","n_spos",45,18660
2021-02-02,"UMons - Jolimont","n_spos",87,18660
2021-02-02,"UZ Gent","n_spos",34,18660
2021-02-02,"UZ leuven","n_spos",56,18660
2021-02-02,"UZA","n_spos",47,18660
2021-02-03,"Namur","n_spos",36,18661
2021-02-03,"Saint LUC - UCL","n_spos",38,18661
2021-02-03,"ULB","n_spos",53,18661
2021-02-03,"UMons - Jolimont","n_spos",41,18661
2021-02-03,"UZ Gent","n_spos",58,18661
2021-02-03,"UZ leuven","n_spos",43,18661
2021-02-03,"UZA","n_spos",46,18661
2021-02-04,"Namur","n_spos",34,18662
2021-02-04,"Saint LUC - UCL","n_spos",47,18662
2021-02-04,"ULB","n_spos",39,18662
2021-02-04,"UMons - Jolimont","n_spos",49,18662
2021-02-04,"UZ Gent","n_spos",65,18662
2021-02-04,"UZ leuven","n_spos",37,18662
2021-02-04,"UZA","n_spos",50,18662
2021-02-05,"Namur","n_spos",49,18663
2021-02-05,"Saint LUC - UCL","n_spos",42,18663
2021-02-05,"ULB","n_spos",34,18663
2021-02-05,"UMons - Jolimont","n_spos",55,18663
2021-02-05,"UZ Gent","n_spos",34,18663
2021-02-05,"UZ leuven","n_spos",16,18663
2021-02-05,"UZA","n_spos",54,18663
2021-02-06,"Namur","n_spos",36,18664
2021-02-06,"Saint LUC - UCL","n_spos",37,18664
2021-02-06,"ULB","n_spos",24,18664
2021-02-06,"UMons - Jolimont","n_spos",19,18664
2021-02-06,"UZ Gent","n_spos",10,18664
2021-02-06,"UZ leuven","n_spos",24,18664
2021-02-06,"UZA","n_spos",30,18664
2021-02-07,"Namur","n_spos",31,18665
2021-02-07,"Saint LUC - UCL","n_spos",50,18665
2021-02-07,"ULB","n_spos",31,18665
2021-02-07,"UMons - Jolimont","n_spos",28,18665
2021-02-07,"UZ Gent","n_spos",8,18665
2021-02-07,"UZ leuven","n_spos",24,18665
2021-02-07,"UZA","n_spos",31,18665
2020-12-31,"Saint LUC - UCL","n_b117",0,18627
2020-12-31,"ULB","n_b117",1,18627
2020-12-31,"UMons - Jolimont","n_b117",0,18627
2020-12-31,"UZ Gent","n_b117",0,18627
2020-12-31,"UZ leuven","n_b117",0,18627
2020-12-31,"UZA","n_b117",0,18627
2021-01-01,"Namur","n_b117",0,18628
