"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.4) - Delta","North America",0.146073609251138,0.000839503567163344,NA,0.144428212494604,0.147719006007671,0
"Omicron (BA.4) - Omicron (BA.1)","North America",0.177255039350942,0.000732081015268857,NA,0.17582018692725,0.178689891774635,0
"Omicron (BA.4) - Omicron (BA.2)","North America",0.0735851751809266,0.000429864082553465,NA,0.0727426570608745,0.0744276933009788,0
"Omicron (BA.4) - Omicron (BA.3)","North America",0.0697938253248133,0.00259183062623073,NA,0.0647139306433732,0.0748737200062534,0
"Omicron (BA.2.74) - Omicron (BA.5)","North America",-0.00529751821077484,0.00819179641005462,NA,-0.0213531441431664,0.0107581077216167,0.999964038203071
"Omicron (BA.2.74) - Beta","North America",0.2225241791364,0.00995294948035708,NA,0.203016756614954,0.242031601657847,0
"Omicron (BA.2.74) - Alpha","North America",0.235934957586832,0.00824597680495323,NA,0.219773140031771,0.252096775141892,0
"Omicron (BA.2.74) - Other","North America",0.0675146302844472,0.00820914302142146,NA,0.0514250056185228,0.0836042549503716,0
"Omicron (BA.2.74) - Delta","North America",0.170150372083345,0.008222541822612,NA,0.154034486249651,0.186266257917039,0
"Omicron (BA.2.74) - Omicron (BA.1)","North America",0.20133180218315,0.00821213590107552,NA,0.185236311580893,0.217427292785406,0
"Omicron (BA.2.74) - Omicron (BA.2)","North America",0.0976619380131341,0.00819015602259282,NA,0.0816095271810884,0.11371434884518,0
"Omicron (BA.2.74) - Omicron (BA.3)","North America",0.0938705881570208,0.00858003736031475,NA,0.0770540239447958,0.110687152369246,0
"Omicron (BA.2.74) - Omicron (BA.4)","North America",0.0240767628322075,0.00819649848954264,NA,0.00801192099336698,0.040141604671048,0.13250206889835
"Omicron (BA.2.76) - Omicron (BA.5)","North America",-0.0237194788804043,0.00380093282392617,NA,-0.0311691703229557,-0.0162697874378529,8.2337336393401e-08
"Omicron (BA.2.76) - Beta","North America",0.204102218466771,0.00681085328961479,NA,0.19075319131514,0.217451245618402,0
"Omicron (BA.2.76) - Alpha","North America",0.217512996917202,0.00391441104171784,NA,0.209840892254749,0.225185101579655,0
"Omicron (BA.2.76) - Other","North America",0.0490926696148177,0.00383619244680378,NA,0.0415738705813177,0.0566114686483177,0
"Omicron (BA.2.76) - Delta","North America",0.151728411413716,0.00386475372311422,NA,0.144153633307295,0.159303189520137,0
"Omicron (BA.2.76) - Omicron (BA.1)","North America",0.18290984151352,0.00384254316295007,NA,0.175378595305097,0.190441087721943,0
"Omicron (BA.2.76) - Omicron (BA.2)","North America",0.0792399773435046,0.00379571098667111,NA,0.0718005205139062,0.086679434173103,0
"Omicron (BA.2.76) - Omicron (BA.3)","North America",0.0754486274873913,0.00457655356465244,NA,0.0664787473273541,0.0844185076474285,0
"Omicron (BA.2.76) - Omicron (BA.4)","North America",0.00565480216257801,0.00381017592479601,NA,-0.00181300542478376,0.0131226097499398,0.944143451787995
"Omicron (BA.2.76) - Omicron (BA.2.74)","North America",-0.0184219606696295,0.00902151929538122,NA,-0.0361038135744098,-0.000740107764849146,0.664234504465437
"Omicron (BA.2.75) - Omicron (BA.5)","North America",0.0592797641272612,0.0151474014149704,NA,0.0295914028945482,0.0889681253599742,0.00606195995416703
"Omicron (BA.2.75) - Beta","North America",0.287101461474436,0.0161703525482822,NA,0.255408152862488,0.318794770086385,0
"Omicron (BA.2.75) - Alpha","North America",0.300512239924868,0.0151794337334908,NA,0.270761096501513,0.330263383348222,0
"Omicron (BA.2.75) - Other","North America",0.132091912622483,0.0151594696146752,NA,0.102379898152991,0.161803927091976,0
"Omicron (BA.2.75) - Delta","North America",0.234727654421381,0.0151667512152615,NA,0.205001368276989,0.264453940565773,0
"Omicron (BA.2.75) - Omicron (BA.1)","North America",0.265909084521186,0.0151611206532455,NA,0.236193834075558,0.295624334966813,0
"Omicron (BA.2.75) - Omicron (BA.2)","North America",0.16223922035117,0.0151489942925636,NA,0.132547737135743,0.191930703566598,0
"Omicron (BA.2.75) - Omicron (BA.3)","North America",0.158447870495057,0.0153633615290208,NA,0.128336235216708,0.188559505773406,0
"Omicron (BA.2.75) - Omicron (BA.4)","North America",0.0886540451702436,0.0151513162409095,NA,0.0589580110196841,0.118350079320803,7.29838744328859e-07
"Omicron (BA.2.75) - Omicron (BA.2.74)","North America",0.0645772823380361,0.0172146184209103,NA,0.0308372502254522,0.0983173144506199,0.0109687310392353
"Omicron (BA.2.75) - Omicron (BA.2.76)","North America",0.0829992430076655,0.0156122780069996,NA,0.0523997403973196,0.113598745618012,1.21581833648632e-05
"Beta - Omicron (BA.5)","Europe",-0.209334557211547,0.00281430551346356,NA,-0.214850494659428,-0.203818619763666,0
