group,date,vlo,vmd,vhi,mlo,mmd,mhi,rlo,rmd,rhi,sgtfv,fplo,fpmd,fphi,rfplo,rfpmd,rfphi
South East,2020-09-06,0.00107915997778294,0.0015542320724503,0.00207459335079049,0.0410134309211799,0.048839629371848,0.0574044245187935,0.0223932841107652,0.0539667846877478,0.10609090907471,0.0322816538565896,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-07,0.00117012806234615,0.00167769239984283,0.00223081755274379,0.0411343900949213,0.0489707403360934,0.0575065060842636,0.02242347749288,0.054218724215181,0.104590405333986,0.0347518539114953,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-08,0.00126846726337459,0.00181118334562765,0.0023994816852842,0.0412803541826775,0.0491031182919056,0.0576164998229505,0.0224772575979625,0.0541360232167107,0.106833601529257,0.0374036877193941,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-09,0.00137514456644397,0.00195542579148583,0.00258248698807673,0.0414522072235908,0.0492403462310086,0.0577439224717567,0.0227136526008898,0.0544906948824257,0.107120581627019,0.040249342956757,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-10,0.00149083113011692,0.00211098926138245,0.00278066093545479,0.0416571317376476,0.0493848865136797,0.0579076835117839,0.0230151562622995,0.054184196320437,0.106577227090152,0.0433016422459373,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-11,0.00161623428713937,0.00227851092405008,0.00299190279689275,0.0418721977884951,0.0495387097102864,0.0580438053686679,0.022328815181678,0.0549398381120187,0.105838602520793,0.0465740469882492,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-12,0.00175216738000356,0.0024587665115334,0.00321858494172605,0.0420674384454385,0.0497200364547125,0.0581809567411767,0.0232717194232049,0.0550306499453157,0.107905935340635,0.0500806556961466,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-13,0.00189951134953393,0.00265316768779282,0.00346238207350231,0.0422698225017082,0.0499052763021221,0.0583161965198352,0.0230624544500206,0.0549493080756868,0.106507020420675,0.0538361958331221,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-14,0.00205922026830189,0.00286333413689218,0.00372689809269414,0.0424751933411863,0.0501155443872338,0.0584899569959486,0.023230079598876,0.0551261306640156,0.108936999463149,0.057856008079115,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-15,0.00223232731208794,0.00309047106784349,0.00401239205358736,0.0426957189854029,0.0503275286586653,0.0586637209713473,0.0229953272662158,0.0552835934416697,0.107314122422713,0.0621560218525826,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-16,0.00241995120142852,0.00333492666490538,0.00431711840199509,0.0429485865086085,0.0505554340076479,0.0588787702193343,0.0224907375330248,0.054978549296291,0.107717464558138,0.0667527208417363,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-17,0.00262319585073552,0.00359950532299186,0.00464529191290292,0.0431936639208873,0.0508135121567131,0.0591228138249552,0.0235619481858395,0.0557661910865544,0.107991398291855,0.0716630972313731,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
South East,2020-09-18,0.00284332900928505,0.00388447119304363,0.00499824101890708,0.0434833746588882,0.0510787401451395,0.0593862533176734,0.0235789138012656,0.0559830290851861,0.108871661269026,0.0769045932637303,0.0393786693316422,0.0473160673861057,0.0561454020936894,0.020959229102801,0.0528882854137757,0.104367192989095
