DATE,LTLA,TRAVEL_INDICATOR,LINEAGE,COUNT,SOURCE
2021-04-14,NA,Under investigation,B.1.617.2,5,PHE_REPORT10
2021-04-15,NA,Contact of Traveller,B.1.617.2,5,PHE_REPORT10
2021-04-15,NA,Not travel-associated,B.1.617.2,7,PHE_REPORT10
2021-04-15,NA,Under investigation,B.1.617.2,11,PHE_REPORT10
2021-04-16,NA,Traveller,B.1.617.2,6,PHE_REPORT10
2021-04-16,NA,Contact of Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-16,NA,Not travel-associated,B.1.617.2,2,PHE_REPORT10
2021-04-16,NA,Under investigation,B.1.617.2,23,PHE_REPORT10
2021-04-17,NA,Traveller,B.1.617.2,11,PHE_REPORT10
2021-04-17,NA,Contact of Traveller,B.1.617.2,7,PHE_REPORT10
2021-04-17,NA,Not travel-associated,B.1.617.2,2,PHE_REPORT10
2021-04-17,NA,Under investigation,B.1.617.2,6,PHE_REPORT10
2021-04-18,NA,Traveller,B.1.617.2,4,PHE_REPORT10
2021-04-18,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-18,NA,Not travel-associated,B.1.617.2,2,PHE_REPORT10
2021-04-18,NA,Under investigation,B.1.617.2,8,PHE_REPORT10
2021-04-19,NA,Traveller,B.1.617.2,20,PHE_REPORT10
2021-04-19,NA,Contact of Traveller,B.1.617.2,5,PHE_REPORT10
2021-04-19,NA,Not travel-associated,B.1.617.2,8,PHE_REPORT10
2021-04-19,NA,Under investigation,B.1.617.2,25,PHE_REPORT10
2021-04-20,NA,Traveller,B.1.617.2,7,PHE_REPORT10
2021-04-20,NA,Contact of Traveller,B.1.617.2,3,PHE_REPORT10
2021-04-20,NA,Not travel-associated,B.1.617.2,4,PHE_REPORT10
2021-04-20,NA,Under investigation,B.1.617.2,10,PHE_REPORT10
2021-04-21,NA,Traveller,B.1.617.2,3,PHE_REPORT10
2021-04-21,NA,Not travel-associated,B.1.617.2,11,PHE_REPORT10
2021-04-21,NA,Under investigation,B.1.617.2,19,PHE_REPORT10
2021-04-22,NA,Traveller,B.1.617.2,9,PHE_REPORT10
2021-04-22,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-22,NA,Not travel-associated,B.1.617.2,7,PHE_REPORT10
2021-04-22,NA,Under investigation,B.1.617.2,12,PHE_REPORT10
2021-04-23,NA,Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-23,NA,Contact of Traveller,B.1.617.2,1,PHE_REPORT10
2021-04-23,NA,Not travel-associated,B.1.617.2,7,PHE_REPORT10
2021-04-23,NA,Under investigation,B.1.617.2,24,PHE_REPORT10
2021-04-24,NA,Traveller,B.1.617.2,7,PHE_REPORT10
2021-04-24,NA,Not travel-associated,B.1.617.2,3,PHE_REPORT10
2021-04-24,NA,Under investigation,B.1.617.2,19,PHE_REPORT10
2021-04-25,NA,Traveller,B.1.617.2,9,PHE_REPORT10
2021-04-25,NA,Not travel-associated,B.1.617.2,2,PHE_REPORT10
2021-04-25,NA,Under investigation,B.1.617.2,19,PHE_REPORT10
2021-04-26,NA,Traveller,B.1.617.2,7,PHE_REPORT10
2021-04-26,NA,Not travel-associated,B.1.617.2,1,PHE_REPORT10
2021-04-26,NA,Under investigation,B.1.617.2,17,PHE_REPORT10
2021-04-27,NA,Under investigation,B.1.617.2,5,PHE_REPORT10
2021-04-28,NA,Under investigation,B.1.617.2,1,PHE_REPORT10
2021-03-22,NA,Traveller,B.1.617.3,1,PHE_REPORT10
2021-04-02,NA,Contact of Traveller,B.1.617.3,1,PHE_REPORT10
2021-04-02,NA,Under investigation,B.1.617.3,1,PHE_REPORT10
2021-04-15,NA,Not travel-associated,B.1.617.3,1,PHE_REPORT10
2021-04-17,NA,Not travel-associated,B.1.617.3,1,PHE_REPORT10
2021-04-18,NA,Not travel-associated,B.1.617.3,1,PHE_REPORT10
2021-04-21,NA,Not travel-associated,B.1.617.3,1,PHE_REPORT10
2021-04-22,NA,Traveller,B.1.617.3,1,PHE_REPORT10
2021-04-23,NA,Traveller,B.1.617.3,1,PHE_REPORT10
2020-09-22,E07000113,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-09-22,E09000006,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-09-29,E07000094,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-09-29,E09000006,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-06,E09000011,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-13,E07000113,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E06000035,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E06000045,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000066,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000111,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000113,Not travel-associated,B.1.1.7,8,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000114,Not travel-associated,B.1.1.7,5,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000152,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000210,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E07000216,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-20,E09000016,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E06000004,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E06000018,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E06000019,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E06000034,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E06000035,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000066,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
2020-10-27,E07000105,Not travel-associated,B.1.1.7,1,https://covid-surveillance-data.cog.sanger.ac.uk/lineages_by_ltla_and_week.tsv
