"row","locality_revgeo","administrative_area_level_1_revgeo","administrative_area_level_2_revgeo","country_revgeo"
3456,"Huldenberg","Flanders","Flemish Brabant","Belgium"
3457,"Huldenberg","Flanders","Flemish Brabant","Belgium"
3458,"Sint-Amands","Vlaams Gewest","Antwerpen","Belgium"
3459,"Sint-Amands","Vlaams Gewest","Antwerpen","Belgium"
3460,"Ghent","Flanders","East Flanders","Belgium"
3461,"Ghent","Flanders","East Flanders","Belgium"
3462,"Bruges","Flanders","West Flanders","Belgium"
3463,"Bruges","Flanders","West Flanders","Belgium"
3464,"Bruges","Flanders","West Flanders","Belgium"
3465,"Wielsbeke","Flanders","West Flanders","Belgium"
3466,"Zwevegem","Flanders","West Flanders","Belgium"
3467,"Zwevegem","Flanders","West Flanders","Belgium"
3468,"Ghent","Flanders","East Flanders","Belgium"
3469,"Waregem","Flanders","West Flanders","Belgium"
3470,"Waregem","Flanders","West Flanders","Belgium"
3471,"Sint-Genesius-Rode","Flanders","Flemish Brabant","Belgium"
3472,"Sint-Genesius-Rode","Flanders","Flemish Brabant","Belgium"
3473,"Sint-Genesius-Rode","Flanders","Flemish Brabant","Belgium"
3474,"Saint-Gilles","Brussels",NA,"Belgium"
3475,"Saint-Gilles","Brussels",NA,"Belgium"
3476,"Sint-Gillis-Waas","Flanders","East Flanders","Belgium"
3477,"Sint-Gillis-Waas","Flanders","East Flanders","Belgium"
3478,"Hoeselt","Flanders","Limburg","Belgium"
3479,"Sint-Jans-Molenbeek","Brussels",NA,"Belgium"
3480,"Sint-Jans-Molenbeek","Brussels",NA,"Belgium"
3481,"Sint-Jans-Molenbeek","Brussels",NA,"Belgium"
3482,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3483,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3484,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3485,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3486,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3487,"Sint-Joost-ten-Node","Brussel",NA,"Belgium"
3488,"Beernem","Flanders","West Flanders","Belgium"
3489,"Oud-Heverlee","Flanders","Flemish Brabant","Belgium"
3490,"Oud-Heverlee","Flanders","Flemish Brabant","Belgium"
3491,"Tielt-Winge","Flanders","Flemish Brabant","Belgium"
3492,"Tielt-Winge","Flanders","Flemish Brabant","Belgium"
3493,"Ternat","Flanders","Flemish Brabant","Belgium"
3494,"Sint-Katelijne-Waver","Vlaams Gewest","Antwerpen","Belgium"
3495,"Sint-Katelijne-Waver","Vlaams Gewest","Antwerpen","Belgium"
3496,"Ternat","Flanders","Flemish Brabant","Belgium"
3497,"Ternat","Flanders","Flemish Brabant","Belgium"
3498,"Bruges","Flanders","West Flanders","Belgium"
3499,"Bruges","Flanders","West Flanders","Belgium"
3500,"Woluwe-Saint-Lambert","Brussels",NA,"Belgium"
3501,"Woluwe-Saint-Lambert","Brussels",NA,"Belgium"
3502,"Brecht","Flanders","Antwerp","Belgium"
3503,"Sint-Lievens-Houtem","Flanders","East Flanders","Belgium"
3504,"Sint-Lievens-Houtem","Flanders","East Flanders","Belgium"
3505,"Sint-Laureins","Flanders","East Flanders","Belgium"
3506,"Sint-Martens-Latem","Flanders","East Flanders","Belgium"
3507,"Sint-Martens-Latem","Flanders","East Flanders","Belgium"
3508,"Lierde","Flanders","East Flanders","Belgium"
3509,"Bruges","Flanders","West Flanders","Belgium"
3510,"Bruges","Flanders","West Flanders","Belgium"
3511,"Sint-Niklaas","Flanders","East Flanders","Belgium"
3512,"Sint-Niklaas","Flanders","East Flanders","Belgium"
3513,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3514,"Herne","Flanders","Flemish Brabant","Belgium"
3515,"Herne","Flanders","Flemish Brabant","Belgium"
3516,"Herne","Flanders","Flemish Brabant","Belgium"
3517,"Sint-Pieters-Leeuw","Flanders","Flemish Brabant","Belgium"
3518,"Sint-Pieters-Leeuw","Flanders","Flemish Brabant","Belgium"
3519,"Holsbeek","Flanders","Flemish Brabant","Belgium"
3520,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3521,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3522,"Zaventem","Flanders","Flemish Brabant","Belgium"
3523,"Zaventem","Flanders","Flemish Brabant","Belgium"
3524,"Sint-Truiden","Flanders","Limburg","Belgium"
3525,"Sint-Truiden","Flanders","Limburg","Belgium"
3526,"Ternat","Flanders","Flemish Brabant","Belgium"
3527,"Sint-Lievens-Houtem","Flanders","East Flanders","Belgium"
3528,"Saint-Ghislain","Wallonia","Hainaut","Belgium"
3529,"Sivry-Rance","Wallonia","Hainaut","Belgium"
3530,"Evergem","Flanders","East Flanders","Belgium"
3531,"Slovenska Bistrica","Slovenska Bistrica",NA,"Slovenia"
3532,"Soignies","Wallonia","Hainaut","Belgium"
3533,"Soignies","Wallonia","Hainaut","Belgium"
3534,"Pepinster","Wallonia","Liege","Belgium"
3535,NA,"Luxembourg District","Esch-sur-Alzette","Luxembourg"
3536,"Sombreffe","Wallonia","Province of Namur","Belgium"
3537,"Dinant","Wallonia","Province of Namur","Belgium"
3538,"Soumagne","Wallonia","Liege","Belgium"
3539,"Courcelles","Wallonia","Hainaut","Belgium"
3540,"Spa","Wallonia","Liege","Belgium"
3541,"Spiere-Helkijn","Flanders","West Flanders","Belgium"
3542,"Spiere-Helkijn","Flanders","West Flanders","Belgium"
3543,"Yvoir","Wallonia","Province of Namur","Belgium"
3544,"Sprimont","Wallonia","Liege","Belgium"
3545,"Jemeppe-sur-Sambre","Wallonia","Province of Namur","Belgium"
3546,"Huldenberg","Flanders","Flemish Brabant","Belgium"
3547,"Sint-Genesius-Rode","Flanders","Flemish Brabant","Belgium"
3548,"Sint-Jans-Molenbeek","Brussels",NA,"Belgium"
3549,"Sint-Jans-Molenbeek","Brussels",NA,"Belgium"
3550,"Oud-Heverlee","Flanders","Flemish Brabant","Belgium"
3551,"Sint-Katelijne-Waver","Vlaams Gewest","Antwerpen","Belgium"
3552,"Saint-Nicolas","Wallonia","Liege","Belgium"
3553,"Sint-Niklaas","Flanders","East Flanders","Belgium"
3554,"Sint-Pieters-Leeuw","Flanders","Flemish Brabant","Belgium"
3555,"Bruges","Flanders","West Flanders","Belgium"
3556,"Sint-Truiden","Flanders","Limburg","Belgium"
3557,"Bruges","Flanders","West Flanders","Belgium"
3558,"Stabroek","Flanders","Antwerp","Belgium"
3559,"Staden","Flanders","West Flanders","Belgium"
3560,"Beloeil","Wallonia","Hainaut","Belgium"
3561,"Alveringem","Flanders","West Flanders","Belgium"
3562,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
3563,"Braine-le-Comte","Wallonia","Hainaut","Belgium"
3564,"Steenokkerzeel","Flanders","Flemish Brabant","Belgium"
3565,"Stekene","Flanders","East Flanders","Belgium"
3566,"Verviers","Wallonia","Liege","Belgium"
3567,"Zaventem","Flanders","Flemish Brabant","Belgium"
3568,"Hasselt","Flanders","Limburg","Belgium"
3569,"Dilsen-Stokkem","Flanders","Limburg","Belgium"
3570,"Stoumont","Wallonia","Liege","Belgium"
3571,"Beaumont","Wallonia","Hainaut","Belgium"
3572,"Beaumont","Wallonia","Hainaut","Belgium"
3573,"La Louvière","Wallonia","Hainaut","Belgium"
3574,"Grimbergen","Flanders","Flemish Brabant","Belgium"
3575,"Grimbergen","Flanders","Flemish Brabant","Belgium"
3576,"Rumes","Wallonia","Hainaut","Belgium"
3577,"Walcourt","Wallonia","Province of Namur","Belgium"
3578,"Anthisnes","Wallonia","Liege","Belgium"
3579,"Tellin","Wallonia","Luxembourg","Belgium"
3580,"Tournai","Wallonia","Hainaut","Belgium"
3581,"Namur","Wallonia","Province of Namur","Belgium"
3582,"Temse","Flanders","East Flanders","Belgium"
3583,NA,"Žilinský kraj","Žilina","Slovakia"
3584,"Ternat","Flanders","Flemish Brabant","Belgium"
3585,"Saint-Ghislain","Wallonia","Hainaut","Belgium"
3586,"Tervuren","Flanders","Flemish Brabant","Belgium"
3587,"Hasselt","Flanders","Limburg","Belgium"
3588,"Tessenderlo","Flanders","Limburg","Belgium"
3589,"Scherpenheuvel-Zichem","Flanders","Flemish Brabant","Belgium"
3590,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
3591,"Theux","Wallonia","Liege","Belgium"
3592,"Leuze-en-Hainaut","Wallonia","Hainaut","Belgium"
3593,"Soignies","Wallonia","Hainaut","Belgium"
3594,"Pont-a-Celles","Wallonia","Hainaut","Belgium"
3595,"Nivelles","Wallonia","Walloon Brabant","Belgium"
3596,"Waimes","Wallonia","Liege","Belgium"
3597,"Silly","Wallonia","Hainaut","Belgium"
3598,"Thuin","Wallonia","Hainaut","Belgium"
3599,"Thuin","Wallonia","Hainaut","Belgium"
3600,"Hensies","Wallonia","Hainaut","Belgium"
3601,"Walcourt","Wallonia","Province of Namur","Belgium"
3602,"Anzegem","Flanders","West Flanders","Belgium"
3603,"Kasterlee","Flanders","Antwerp","Belgium"
3604,"Tielt","Flanders","West Flanders","Belgium"
3605,"Tielt-Winge","Flanders","Flemish Brabant","Belgium"
3606,"Tielt-Winge","Flanders","Flemish Brabant","Belgium"
3607,"Tienen","Flanders","Flemish Brabant","Belgium"
3608,"Haacht","Flanders","Flemish Brabant","Belgium"
3609,"Tinlot","Wallonia","Liege","Belgium"
3610,"Tongeren","Flanders","Limburg","Belgium"
3611,"Torhout","Flanders","West Flanders","Belgium"
3612,"Beauvechain","Wallonia","Walloon Brabant","Belgium"
3613,"Tournai","Wallonia","Hainaut","Belgium"
3614,"Leuze-en-Hainaut","Wallonia","Hainaut","Belgium"
3615,"Courcelles","Wallonia","Hainaut","Belgium"
3616,"Tremelo","Flanders","Flemish Brabant","Belgium"
3617,"La Louvière","Wallonia","Hainaut","Belgium"
3618,"Trois-Ponts","Wallonia","Liege","Belgium"
3619,"Trooz","Wallonia","Liege","Belgium"
3620,"Tubize","Wallonia","Walloon Brabant","Belgium"
3621,"Tubize","Wallonia","Walloon Brabant","Belgium"
3622,"Turnhout","Flanders","Antwerp","Belgium"
3623,"Uccle","Brussels",NA,"Belgium"
3624,"Maasmechelen","Flanders","Limburg","Belgium"
3625,"Berlare","Flanders","East Flanders","Belgium"
3626,"Uccle","Brussels",NA,"Belgium"
3627,"Aalter","Flanders","East Flanders","Belgium"
3628,"Oud-Heverlee","Flanders","Flemish Brabant","Belgium"
3629,"Chiny","Wallonia","Luxembourg","Belgium"
3630,"Laakdal","Vlaams Gewest","Antwerpen","Belgium"
3631,"Jabbeke","Flanders","West Flanders","Belgium"
3632,"Vaux-sur-Sûre","Wallonia","Luxembourg","Belgium"
3633,"Heers","Flanders","Limburg","Belgium"
3634,"Namur","Wallonia","Province of Namur","Belgium"
3635,"Laakdal","Vlaams Gewest","Antwerpen","Belgium"
3636,"Zedelgem","Flanders","West Flanders","Belgium"
3637,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
3638,"Sint-Truiden","Flanders","Limburg","Belgium"
3639,"Herent","Flanders","Flemish Brabant","Belgium"
3640,"Herent","Flanders","Flemish Brabant","Belgium"
3641,"Namur","Wallonia","Province of Namur","Belgium"
3642,"Beveren","Flanders","East Flanders","Belgium"
3643,"Boutersem","Flanders","Flemish Brabant","Belgium"
3644,"Verviers","Wallonia","Liege","Belgium"
3645,"Veurne","Flanders","West Flanders","Belgium"
3646,"Sint-Pieters-Leeuw","Flanders","Flemish Brabant","Belgium"
3647,"Vielsalm","Wallonia","Luxembourg","Belgium"
3648,"Genappe","Wallonia","Walloon Brabant","Belgium"
3649,"Bernissart","Wallonia","Hainaut","Belgium"
3650,"Saint-Ghislain","Wallonia","Hainaut","Belgium"
3651,"Villers-la-Ville","Wallonia","Walloon Brabant","Belgium"
3652,"Villers-la-Ville","Wallonia","Walloon Brabant","Belgium"
3653,"Villers-le-Bouillet","Wallonia","Liege","Belgium"
3654,"Villers-le-Bouillet","Wallonia","Liege","Belgium"
3655,"Frasnes-lez-Gosselies","Wallonia","Hainaut","Belgium"
3656,"Ath","Wallonia","Hainaut","Belgium"
3657,"Vilvoorde","Flanders","Flemish Brabant","Belgium"
3658,"Viroinval","Wallonia","Province of Namur","Belgium"
3659,"Vise","Wallonia","Liege","Belgium"
3660,"Kortenberg","Flanders","Flemish Brabant","Belgium"
3661,"Kortenberg","Flanders","Flemish Brabant","Belgium"
3662,"Kortenberg","Flanders","Flemish Brabant","Belgium"
3663,"Rumst","Flanders","Antwerp","Belgium"
3664,"Ypres","Flanders","West Flanders","Belgium"
3665,"Vleteren","Flanders","West Flanders","Belgium"
3666,"Sint-Pieters-Leeuw","Flanders","Flemish Brabant","Belgium"
3667,"Kortessem","Flanders","Limburg","Belgium"
3668,"Kortessem","Flanders","Limburg","Belgium"
3669,"Riemst","Flanders","Limburg","Belgium"
3670,"De Haan","Flanders","West Flanders","Belgium"
3671,"Flobecq","Wallonia","Hainaut","Belgium"
3672,"Voeren","Flanders","Limburg","Belgium"
3673,"Juprelle","Wallonia","Liege","Belgium"
3674,"Juprelle","Wallonia","Liege","Belgium"
3675,"Vorselaar","Flanders","Antwerp","Belgium"
3676,"Forest","Bruxelles","Flemish Brabant","Belgium"
3677,"Laakdal","Vlaams Gewest","Antwerpen","Belgium"
3678,"Vosselaar","Flanders","Antwerp","Belgium"
3679,"Tervuren","Flanders","Flemish Brabant","Belgium"
3680,"Herstal","Wallonia","Liege","Belgium"
3681,"Beveren","Flanders","East Flanders","Belgium"
3682,"Boechout","Vlaams Gewest","Antwerpen","Belgium"
3683,"Kortenaken","Flanders","Flemish Brabant","Belgium"
3684,"Kontich","Flanders","Antwerp","Belgium"
3685,"Lievegem","Flanders","East Flanders","Belgium"
3686,"Landen","Flanders","Flemish Brabant","Belgium"
3687,"Waasmunster","Flanders","East Flanders","Belgium"
3688,"Comines-Warneton","Wallonia","Hainaut","Belgium"
3689,"Wachtebeke","Flanders","East Flanders","Belgium"
3690,"Beloeil","Wallonia","Hainaut","Belgium"
3691,"Fleurus","Wallonia","Hainaut","Belgium"
3692,"Fleurus","Wallonia","Hainaut","Belgium"
3693,"Dentergem","Flanders","West Flanders","Belgium"
3694,"Walcourt","Wallonia","Province of Namur","Belgium"
3695,"Mechelen","Flanders","Antwerp","Belgium"
3696,"Walhain","Wallonia","Walloon Brabant","Belgium"
3697,"Lontzen","Wallonia","Liege","Belgium"
3698,"Gesves","Wallonia","Province of Namur","Belgium"
3699,"Gesves","Wallonia","Province of Namur","Belgium"
3700,"Gesves","Wallonia","Province of Namur","Belgium"
3701,"Genappe","Wallonia","Walloon Brabant","Belgium"
3702,"Landen","Flanders","Flemish Brabant","Belgium"
3703,"Landen","Flanders","Flemish Brabant","Belgium"
3704,"Bilzen","Flanders","Limburg","Belgium"
3705,"Ternat","Flanders","Flemish Brabant","Belgium"
3706,"Liège","Wallonia","Liege","Belgium"
3707,"Fleurus","Wallonia","Hainaut","Belgium"
3708,"Fleurus","Wallonia","Hainaut","Belgium"
3709,"Fleurus","Wallonia","Hainaut","Belgium"
3710,"Kruisem","Vlaams Gewest","Oost-Vlaanderen","Belgium"
3711,"Wanze","Wallonia","Liege","Belgium"
3712,"Waregem","Flanders","West Flanders","Belgium"
3713,"Waremme","Wallonia","Liege","Belgium"
3714,"Comines-Warneton","Wallonia","Hainaut","Belgium"
3715,"Wasseiges","Wallonia","Liege","Belgium"
3716,"Waterloo","Wallonia","Walloon Brabant","Belgium"
3717,"Watermael-Boitsfort","Brussels",NA,"Belgium"
3718,"Watermael-Boitsfort","Brussels",NA,"Belgium"
3719,"Watermael-Boitsfort","Brussels",NA,"Belgium"
3720,"Watermael-Boitsfort","Brussels",NA,"Belgium"
3721,"Genk","Flanders","Limburg","Belgium"
3722,"Poperinge","Flanders","West Flanders","Belgium"
3723,"Binche","Wallonia","Hainaut","Belgium"
3724,"Braine-le-Château","Wallonia","Walloon Brabant","Belgium"
3725,"Wavre","Wallonia","Walloon Brabant","Belgium"
3726,"Genappe","Wallonia","Walloon Brabant","Belgium"
3727,"Diest","Flanders","Flemish Brabant","Belgium"
3728,"Ravels","Flanders","Antwerp","Belgium"
3729,"Zemst","Flanders","Flemish Brabant","Belgium"
3730,"Bornem","Flanders","Antwerp","Belgium"
3731,"Welkenraedt","Wallonia","Liege","Belgium"
3732,"Denderleeuw","Flanders","East Flanders","Belgium"
3733,"Wellen","Flanders","Limburg","Belgium"
3734,"Wemmel","Flanders","Flemish Brabant","Belgium"
3735,"De Haan","Flanders","West Flanders","Belgium"
3736,"Rotselaar","Flanders","Flemish Brabant","Belgium"
3737,"Wervik","Flanders","West Flanders","Belgium"
3738,"Haacht","Flanders","Flemish Brabant","Belgium"
3739,"Lichtervelde","Flanders","West Flanders","Belgium"
3740,"Lichtervelde","Flanders","West Flanders","Belgium"
3741,"Middelkerke","Flanders","West Flanders","Belgium"
3742,"Westerlo","Vlaams Gewest","Antwerpen","Belgium"
3743,"Oudenburg","Flanders","West Flanders","Belgium"
3744,"Malle","Vlaams Gewest","Antwerpen","Belgium"
3745,"Heuvelland","Flanders","West Flanders","Belgium"
3746,"Wetteren","Flanders","East Flanders","Belgium"
3747,"Staden","Flanders","West Flanders","Belgium"
3748,"Wetteren","Flanders","East Flanders","Belgium"
3749,"Wevelgem","Flanders","West Flanders","Belgium"
3750,"Rotselaar","Flanders","Flemish Brabant","Belgium"
3751,"Wezembeek-Oppem","Flanders","Flemish Brabant","Belgium"
3752,"Wezembeek-Oppem","Flanders","Flemish Brabant","Belgium"
3753,"Landen","Flanders","Flemish Brabant","Belgium"
3754,"Wichelen","Flanders","East Flanders","Belgium"
3755,"Heist-op-den-Berg","Flanders","Antwerp","Belgium"
3756,"Wielsbeke","Flanders","West Flanders","Belgium"
3757,"Peruwelz","Wallonia","Hainaut","Belgium"
3758,"Leuven","Flanders","Flemish Brabant","Belgium"
3759,"Willebroek","Vlaams Gewest","Antwerpen","Belgium"
3760,"Leuven","Flanders","Flemish Brabant","Belgium"
3761,"Wijnegem","Flanders","Antwerp","Belgium"
3762,"Heuvelland","Flanders","West Flanders","Belgium"
3763,"Leuze-en-Hainaut","Wallonia","Hainaut","Belgium"
3764,"Willebroek","Vlaams Gewest","Antwerpen","Belgium"
3765,"Antwerp","Flanders","Antwerp","Belgium"
3766,"Wielsbeke","Flanders","West Flanders","Belgium"
3767,"Leuven","Flanders","Flemish Brabant","Belgium"
3768,"Middelkerke","Flanders","West Flanders","Belgium"
3769,"Hasselt","Flanders","Limburg","Belgium"
3770,"Wingene","Flanders","West Flanders","Belgium"
3771,"Herent","Flanders","Flemish Brabant","Belgium"
3772,"Herent","Flanders","Flemish Brabant","Belgium"
3773,"Walhain","Wallonia","Walloon Brabant","Belgium"
3774,"Woluwe-Saint-Lambert","Brussels",NA,"Belgium"
3775,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3776,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3777,"Woluwe-Saint-Lambert","Brussels",NA,"Belgium"
3778,"Woluwe-Saint-Pierre","Brussels",NA,"Belgium"
3779,"Meise","Flanders","Flemish Brabant","Belgium"
3780,"Wommelgem","Vlaams Gewest","Antwerpen","Belgium"
3781,"Linter","Flanders","Flemish Brabant","Belgium"
3782,"Ghent","Flanders","East Flanders","Belgium"
3783,"Wortegem-Petegem","Flanders","East Flanders","Belgium"
3784,"Wortegem-Petegem","Flanders","East Flanders","Belgium"
3785,"Hoogstraten","Vlaams Gewest","Antwerpen","Belgium"
3786,"Heuvelland","Flanders","West Flanders","Belgium"
3787,"Wuustwezel","Flanders","Antwerp","Belgium"
3788,"Herve","Wallonia","Liege","Belgium"
3789,"Nandrin","Wallonia","Liege","Belgium"
3790,"Yvoir","Wallonia","Province of Namur","Belgium"
3791,"Zandhoven","Flanders","Antwerp","Belgium"
3792,"Antwerp","Flanders","Antwerp","Belgium"
3793,"Zonnebeke","Flanders","West Flanders","Belgium"
3794,"Kortemark","Flanders","West Flanders","Belgium"
3795,"Zaventem","Flanders","Flemish Brabant","Belgium"
3796,"Zedelgem","Flanders","West Flanders","Belgium"
3797,"Bruges","Flanders","West Flanders","Belgium"
3798,"Zele","Flanders","East Flanders","Belgium"
3799,"Halen","Flanders","Limburg","Belgium"
3800,"Asse","Flanders","Flemish Brabant","Belgium"
3801,"Zelzate","Flanders","East Flanders","Belgium"
3802,"Zemst","Flanders","Flemish Brabant","Belgium"
3803,"Sint-Truiden","Flanders","Limburg","Belgium"
3804,"Gistel","Flanders","West Flanders","Belgium"
3805,"Scherpenheuvel-Zichem","Flanders","Flemish Brabant","Belgium"
3806,"Ypres","Flanders","West Flanders","Belgium"
3807,"Kruisem","Vlaams Gewest","Oost-Vlaanderen","Belgium"
3808,"Soignies","Wallonia","Hainaut","Belgium"
3809,"Westerlo","Vlaams Gewest","Antwerpen","Belgium"
3810,"Zoersel","Flanders","Antwerp","Belgium"
3811,"Heusden-Zolder","Flanders","Limburg","Belgium"
3812,"Lievegem","Flanders","East Flanders","Belgium"
3813,"Zonhoven","Flanders","Limburg","Belgium"
3814,"Zonnebeke","Flanders","West Flanders","Belgium"
3815,"Zottegem","Flanders","East Flanders","Belgium"
3816,"Zoutleeuw","Flanders","Flemish Brabant","Belgium"
3817,"Zuienkerke","Flanders","West Flanders","Belgium"
3818,"Zulte","Flanders","East Flanders","Belgium"
3819,"Mont-Saint-Guibert","Wallonia","Walloon Brabant","Belgium"
3820,"Zutendaal","Flanders","Limburg","Belgium"
3821,"Zwalm","Flanders","East Flanders","Belgium"
3822,"Zwevegem","Flanders","West Flanders","Belgium"
3823,"Ghent","Flanders","East Flanders","Belgium"
3824,"Zwijndrecht","Flanders","Antwerp","Belgium"
3825,"Bihac","Federation of Bosnia and Herzegovina","Una-Sana Canton","Bosnia and Herzegovina"
3826,"Bihac","Federation of Bosnia and Herzegovina","Una-Sana Canton","Bosnia and Herzegovina"
3827,"Bileca","Republika Srpska",NA,"Bosnia and Herzegovina"
3828,"Breza","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3829,"Capljina","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3830,"Cazin","Federation of Bosnia and Herzegovina","Una-Sana Canton","Bosnia and Herzegovina"
3831,"Celinac","Republika Srpska",NA,"Bosnia and Herzegovina"
3832,"Citluk","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3833,"Vitez","Federation of Bosnia and Herzegovina","Central Bosnia Canton","Bosnia and Herzegovina"
3834,"Foca","Republika Srpska",NA,"Bosnia and Herzegovina"
3835,"Glamoc","Federation of Bosnia and Herzegovina","Canton 10","Bosnia and Herzegovina"
3836,"Goražde","Federation of Bosnia and Herzegovina","Bosnian Podrinje Canton","Bosnia and Herzegovina"
3837,"Gornji Vakuf-Uskoplje","Federation of Bosnia and Herzegovina","Central Bosnia Canton","Bosnia and Herzegovina"
3838,"Grude","Federation of Bosnia and Herzegovina","West Herzegovina Canton","Bosnia and Herzegovina"
3839,"Hadžici","Federation of Bosnia and Herzegovina","Sarajevo Canton","Bosnia and Herzegovina"
3840,"Ilidža","Federacija Bosne i Hercegovine","Kanton Sarajevo","Bosnia and Herzegovina"
3841,"Ilijaš","Federation of Bosnia and Herzegovina","Sarajevo Canton","Bosnia and Herzegovina"
3842,"Jablanica","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3843,"Kakanj","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3844,"Kiseljak","Federation of Bosnia and Herzegovina","Central Bosnia Canton","Bosnia and Herzegovina"
3845,"Konjic","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3846,"Kupres","Federation of Bosnia and Herzegovina","Canton 10","Bosnia and Herzegovina"
3847,"Kakanj","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3848,"Livno","Federation of Bosnia and Herzegovina","Canton 10","Bosnia and Herzegovina"
3849,"Ljubuški","Federacija Bosne i Hercegovine","Zapadnohercegovacki kanton","Bosnia and Herzegovina"
3850,"Maglaj","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3851,"Medugorje","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3852,"Mostar","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3853,NA,"Federacija Bosne i Hercegovine","Srednjobosanski kanton","Bosnia and Herzegovina"
3854,"Neum","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3855,"Novi Travnik","Federacija Bosne i Hercegovine","Županija Središnja Bosna","Bosnia and Herzegovina"
3856,"Posušje","Federation of Bosnia and Herzegovina","West Herzegovina Canton","Bosnia and Herzegovina"
3857,"Prnjavor","Republika Srpska",NA,"Bosnia and Herzegovina"
3858,NA,"Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3859,"Ravno, Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3860,"Celinac","Republika Srpska",NA,"Bosnia and Herzegovina"
3861,"Sarajevo","Federation of Bosnia and Herzegovina","Sarajevo Canton","Bosnia and Herzegovina"
3862,"Široki Brijeg","Federation of Bosnia and Herzegovina","West Herzegovina Canton","Bosnia and Herzegovina"
3863,"Stolac","Federation of Bosnia and Herzegovina","Herzegovina-Neretva Canton","Bosnia and Herzegovina"
3864,"Tomislavgrad","Federation of Bosnia and Herzegovina","Canton 10","Bosnia and Herzegovina"
3865,"Travnik","Federation of Bosnia and Herzegovina","Central Bosnia Canton","Bosnia and Herzegovina"
3866,"Tuzla","Federation of Bosnia and Herzegovina","Tuzla Canton","Bosnia and Herzegovina"
3867,"Velika Kladuša","Federation of Bosnia and Herzegovina","Una-Sana Canton","Bosnia and Herzegovina"
3868,"Visoko","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3869,"Vogošca","Federation of Bosnia and Herzegovina","Sarajevo Canton","Bosnia and Herzegovina"
3870,"Vogošca","Federation of Bosnia and Herzegovina","Sarajevo Canton","Bosnia and Herzegovina"
3871,"Zavidovici","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3872,"Zenica","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3873,"Žepce","Federation of Bosnia and Herzegovina","Zenica-Doboj Canton","Bosnia and Herzegovina"
3874,"Blagoevgrad","Blagoevgrad",NA,"Bulgaria"
3875,"Burgas","Burgas",NA,"Bulgaria"
3876,"Dobrich","Dobrich Province",NA,"Bulgaria"
3877,"Dupnitsa","Kyustendil",NA,"Bulgaria"
3878,NA,"Gabrovo",NA,"Bulgaria"
3879,"Haskovo","Haskovo",NA,"Bulgaria"
3880,"Kardzhali","Kardjali",NA,"Bulgaria"
3881,"Kardzhali","Kardjali",NA,"Bulgaria"
3882,"Kyustendil","Kyustendil Province",NA,"Bulgaria"
3883,"Lovech","Lovech",NA,"Bulgaria"
3884,"Montana","Montana",NA,"Bulgaria"
3885,NA,"Stara Zagora","Kazanlak","Bulgaria"
3886,"Pazardzhik","Pazardzhik",NA,"Bulgaria"
3887,"Pernik","Pernik",NA,"Bulgaria"
3888,"Pleven","Pleven",NA,"Bulgaria"
3889,"Plovdiv","Plovdiv Province",NA,"Bulgaria"
3890,"Razgrad","Razgrad",NA,"Bulgaria"
3891,"Ruse","Ruse",NA,"Bulgaria"
