"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.1) - Alpha","North America",0.0271770514672485,0.000913450204675653,NA,0.0253867219644135,0.0289673809700835,0
"Omicron (BA.1) - Other","North America",-0.140730448572186,0.000448911357948092,NA,-0.141610298666015,-0.139850598478357,0
"Omicron (BA.1) - Delta","North America",-0.0375501129280987,0.000648308571660501,NA,-0.0388207743794219,-0.0362794514767755,0
"Omicron (BA.2) - Omicron (BA.5)","North America",-0.101285521805363,0.000456364654396384,NA,-0.102179980091797,-0.100391063518929,0
"Omicron (BA.2) - Beta","North America",0.122604679546266,0.00704122861564941,NA,0.108804125052681,0.136405234039852,0
"Omicron (BA.2) - Alpha","North America",0.101673685894231,0.000900411818601589,NA,0.099908911158518,0.103438460629945,0
"Omicron (BA.2) - Other","North America",-0.0662338141452031,0.000391634849058657,NA,-0.0670014043444489,-0.0654662239459574,0
"Omicron (BA.2) - Delta","North America",0.0369465214988841,0.000565211436568095,NA,0.0358387274395605,0.0380543155582077,0
"Omicron (BA.2) - Omicron (BA.1)","North America",0.0744966344269828,0.000629467448223585,NA,0.0732629008990243,0.0757303679549414,0
"Omicron (BA.3) - Omicron (BA.5)","North America",-0.0804276349322007,0.00233286435011158,NA,-0.0849999650392368,-0.0758553048251645,0
"Omicron (BA.3) - Beta","North America",0.143462566419429,0.00739332026687499,NA,0.128971924970184,0.157953207868674,0
"Omicron (BA.3) - Alpha","North America",0.122531572767394,0.00242820164852993,NA,0.117772384989074,0.127290760545713,0
"Omicron (BA.3) - Other","North America",-0.0453759272720407,0.00228692437996965,NA,-0.0498582166921478,-0.0408936378519336,0
"Omicron (BA.3) - Delta","North America",0.0578044083720465,0.00232041747085987,NA,0.0532564737000637,0.0623523430440294,0
"Omicron (BA.3) - Omicron (BA.1)","North America",0.0953545213001453,0.00231677137522033,NA,0.0908137328443001,0.0998953097559904,0
"Omicron (BA.3) - Omicron (BA.2)","North America",0.0208578868731624,0.00229698615538802,NA,0.0163558767356148,0.0253598970107101,1.59872115546023e-13
"Omicron (BA.4) - Omicron (BA.5)","North America",-0.0260439224779536,0.000600167656124754,NA,-0.027220229468644,-0.0248676154872633,0
