"row","lat","lng"
474,-13.9765527,33.7862381
475,-13.9626121,33.7741195
476,-11.4273844,34.0016486
477,-15.3726635,35.3239568
478,-13.254308,34.301525
479,-11.6556678,34.2489093
480,-10.9625469,34.1531947
481,-13.3819592,34.0032915
482,-15.350007,35.3292954
483,-15.4201189,35.0388164
484,-15.4201189,35.0388164
485,-15.3765857,35.3356518
486,12.6392316,-8.0028892
487,13.8018074,-7.4381355
488,14.4874284,-4.1974627
489,14.6338039,-3.4195527
490,17.570692,-3.996166
491,10.8905186,-7.4381355
492,16.7665887,-3.0025615
493,-20.3708492,57.3948649
494,-20.2257836,57.7119274
495,-20.3851546,57.6665742
496,-20.3851546,57.6665742
497,-20.3851546,57.6665742
498,-20.348404,57.552152
499,-20.2195243,57.502332
500,-20.348404,57.552152
501,-20.1136008,57.575926
502,-20.3054872,57.4853561
503,-20.3054872,57.4853561
504,-20.3054872,57.4853561
505,-20.1608912,57.5012222
506,-20.1608912,57.5012222
507,-20.0560983,57.6552389
508,-20.473953,57.4853561
509,-12.7809488,45.227872
510,-12.7809488,45.227872
511,-12.8275,45.166244
512,30.4277547,-9.5981072
513,30.511343,-9.6536246
514,33.268687,-7.5843171
515,32.342443,-6.375799
516,33.5731104,-7.5898434
517,33.5731104,-7.5898434
518,33.3141111,-8.1652683
519,23.7221111,-15.9347384
520,34.0181246,-5.0078451
521,33.934214,-6.9454711
522,30.3523115,-9.5514965
523,30.3523115,-9.5514965
524,34.2540503,-6.5890166
525,33.8153704,-6.0573302
526,31.6294723,-7.9810845
527,33.8730164,-5.5407299
528,33.6835086,-7.3848547
529,33.6835086,-7.3848547
530,33.5971246,-7.6310907
531,31.791702,-7.09262
532,30.9335436,-6.937016
533,33.9715904,-6.8498129
534,34.0336969,-6.7708138
535,34.0336969,-6.7708138
536,34.2260172,-5.7129164
537,34.1111095,-2.6362975
538,34.1111095,-2.6362975
539,35.7594651,-5.8339543
540,35.7594651,-5.8339543
541,33.9203274,-6.9273969
542,35.5888995,-5.3625516
543,29.693392,-9.732157
544,30.3458998,-5.8406587
545,-19.8315949,34.8370183
546,-12.3335474,39.3206241
547,-16.1328104,33.6063855
548,-26.2558788,32.0908457
