"week_midpoint","country","non_sgtf","sgtf","Other","Alpha","Beta","Gamma","Delta","Omicron (B.1.1.529)","Omicron (BA.1)","Omicron (BA.2)","Omicron (BA.3)","Omicron","Total","longitude","latitude","continent","date_num"
2019-12-26,"Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,-58.98202596,4.79378052,"South America",18256
2019-12-26,"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,-72.68527364,18.93500961,"North America",18256
2019-12-26,"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,-86.61516846,14.82688225,"North America",18256
2019-12-26,"Hong Kong",0,0,0,0,0,0,0,0,0,0,0,0,0,114.1137986,22.39828782,"Asia",18256
2019-12-26,"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,19.39559381,47.16277712,"Europe",18256
2019-12-26,"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,-18.57397086,64.99575263,"Europe",18256
2019-12-26,"India",0,0,0,0,0,0,0,0,0,0,0,0,0,79.61197355,22.88578035,"Asia",18256
2019-12-26,"Indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,117.2400976,-2.21505018,"Asia",18256
2019-12-26,"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,54.27407071,32.57503287,"Asia",18256
2019-12-26,"Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,43.74353204,33.03970511,"Asia",18256
2019-12-26,"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,-8.13793167,53.1754426,"Europe",18256
2019-12-26,"Israel",0,0,0,0,0,0,0,0,0,0,0,0,0,35.00444995,31.4611019,"Asia",18256
2019-12-26,"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,12.07000946,42.79663568,"Europe",18256
2019-12-26,"Jamaica",0,0,0,0,0,0,0,0,0,0,0,0,0,-77.31482556,18.15695476,"North America",18256
2019-12-26,"Japan",0,0,0,0,0,0,0,0,0,0,0,0,0,138.0308921,37.59230065,"Asia",18256
2019-12-26,"Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,36.77137251,31.24579389,"Asia",18256
2019-12-26,"Kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,67.29149657,48.15687954,"Asia",18256
2019-12-26,"Kenya",0,0,0,0,0,0,0,0,0,0,0,0,0,37.79594437,0.5998746,"Africa",18256
2019-12-26,"Kosovo",0,0,0,0,0,0,0,0,0,0,0,0,0,20.87249613,42.57078418,"Europe",18256
2019-12-26,"Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,47.58699362,29.33431677,"Asia",18256
2019-12-26,"Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,0,0,0,74.54165548,41.46221785,"Asia",18256
2019-12-26,"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,24.9123704,56.85085306,"Europe",18256
2019-12-26,"Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,35.88016327,33.92306993,"Asia",18256
2019-12-26,"Lesotho",0,0,0,0,0,0,0,0,0,0,0,0,0,28.22722773,-29.5800467,"Africa",18256
2019-12-26,"Liberia",0,0,0,0,0,0,0,0,0,0,0,0,0,-9.32207781,6.45278273,"Africa",18256
2019-12-26,"Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,18.00865782,27.03094247,"Africa",18256
2019-12-26,"Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,9.53573593,47.13665447,"Europe",18256
2019-12-26,"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,23.88720035,55.32611078,"Europe",18256
2019-12-26,"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,6.07182681,49.76724687,"Europe",18256
2019-12-26,"Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0,46.70473751,-19.37189599,"Africa",18256
2019-12-26,"Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,34.2893585,-13.2180697,"Africa",18256
2019-12-26,"Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,109.6976155,3.78987255,"Asia",18256
2019-12-26,"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,73.45711081,3.72854733,"Asia",18256
2019-12-26,"Mali",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.54268794,17.34581461,"Africa",18256
2019-12-26,"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,14.40522042,35.92151315,"Europe",18256
2019-12-26,"Martinique",0,0,0,0,0,0,0,0,0,0,0,0,0,-61.024174,14.641528,"North America",18256
2019-12-26,"Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0,57.57120758,-20.2777156,"Africa",18256
2019-12-26,"Mayotte",0,0,0,0,0,0,0,0,0,0,0,0,0,45.130741,-12.809645,"Africa",18256
2019-12-26,"Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,-102.5234504,23.94753932,"North America",18256
2019-12-26,"Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,28.45673742,47.19499323,"Europe",18256
2019-12-26,"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,7.40628055,43.75276115,"Europe",18256
2019-12-26,"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,103.0529965,46.82681435,"Asia",18256
2019-12-26,"Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,19.2388382,42.7889115,"Europe",18256
2019-12-26,"Montserrat",0,0,0,0,0,0,0,0,0,0,0,0,0,-62.18519807,16.73941361,"North America",18256
