"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo","region"
2,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.511091365922079,0.00130739799425881,-390.922556227285,0,-0.513653818904287,-0.508528912939872,-130.315505600286,-130.378114292611,-130.315505600286,"Europe"
3,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.456588251329647,0.00396153767815312,-115.255309534885,0,-0.464352722502225,-0.448823780157068,-1097.38426034761,-1097.44019240839,-1097.38426034761,"Oceania"
4,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.705612676507854,0.00172678375437226,-408.628280594616,0,-0.708997110475512,-0.702228242540195,-573.87617202892,-573.962609581792,-573.87617202892,"North America"
5,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.256374504775819,0.0046430032458545,-55.2173865061848,0,-0.265474623917796,-0.247274385633841,-639.144919360766,-639.176325237601,-639.144919360766,"Africa"
6,"link","Omicron (BA.1*)","date_num","mean(dY/dX)",-0.476603459195275,0.00324659012700899,-146.801240855851,0,-0.482966658916776,-0.470240259473774,-449.080218646439,-449.13860257019,-449.080218646439,"South America"
1,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.169938022236238,0.000858839314510088,-197.869402768522,0,-0.171621316361185,-0.168254728111291,-534.08973520693,-534.110552614654,-534.08973520693,"Asia"
2,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.357892953982451,0.000664322080182666,-538.734093986524,0,-0.359195001333744,-0.356590906631159,-76.8005435287486,-76.8443854156115,-76.8005435287486,"Europe"
3,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.121113646387779,0.00181303847845149,-66.8014759903068,0,-0.12466713650813,-0.117560156267429,-1138.93257919434,-1138.94741561602,-1138.93257919434,"Oceania"
4,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.286647598707588,0.00074645561580516,-384.011577698959,0,-0.288110624830623,-0.285184572584552,-654.878548788742,-654.913663119583,-654.878548788742,"North America"
5,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.267547958938682,0.002903280789339,-92.153662822119,0,-0.273238284722793,-0.26185763315457,-583.736710371756,-583.769484996726,-583.736710371756,"Africa"
6,"link","Omicron (BA.2*)","date_num","mean(dY/dX)",-0.40263443358749,0.00261292876231148,-154.093153780169,0,-0.407755679855789,-0.397513187319191,-393.122980379494,-393.172303097608,-393.122980379494,"South America"
1,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.276100729798618,0.00118651688007443,-232.69852661624,0,-0.278426260150613,-0.273775199446624,-517.193813356666,-517.227635696066,-517.193813356666,"Asia"
2,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.372975487249273,0.000926397207750981,-402.608604741747,0,-0.374791192411843,-0.371159782086703,-75.6243137048885,-75.6700032020765,-75.6243137048885,"Europe"
3,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.222788582169062,0.00214526511847679,-103.851305020635,0,-0.226993224538566,-0.218583939799557,-1088.54265877135,-1088.56995037267,-1088.54265877135,"Oceania"
4,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.321018223838815,0.00101331134101162,-316.801175360707,0,-0.323004277572323,-0.319032170105306,-715.100779143644,-715.140103876065,-715.100779143644,"North America"
5,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.65131145576716,0.00210988114900301,-308.695803114278,0,-0.655446746830866,-0.647176164703454,-34.2528178434926,-34.3326034968241,-34.2528178434926,"Africa"
6,"link","Omicron (BA.2.12.1*)","date_num","mean(dY/dX)",-0.263379283290176,0.00272146910573339,-96.7783476708617,0,-0.268713264722451,-0.2580453018579,-658.329693591946,-658.361957554149,-658.329693591946,"South America"
1,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.294780227297488,0.00108189692671759,-272.466091748531,0,-0.296900706308839,-0.292659748286137,-345.396202318705,-345.432312896549,-345.396202318705,"Asia"
2,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.277242452430491,0.00151666581334332,-182.797324230141,0,-0.280215062801227,-0.274269842059755,-60.0077994526012,-60.041761653024,-60.0077994526012,"Europe"
3,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.15187302166331,0.00298472737522241,-50.8833814853838,0,-0.157722979822417,-0.146023063504203,-1009.4721810347,-1009.49078547985,-1009.4721810347,"Oceania"
4,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.230088859696628,0.001755565470275,-131.062534318692,0,-0.233529704790869,-0.226648014602387,-605.762548950682,-605.790734835995,-605.762548950682,"North America"
5,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.357024360825135,0.0133401399008091,-26.7631646654232,8.67759233184862e-158,-0.383170554579447,-0.330878167070824,-292.096717440991,-292.140452925192,-292.096717440991,"Africa"
6,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.110377050456306,0.00660057487494343,-16.7223389700964,9.01120725531103e-63,-0.123313939488455,-0.0974401614241568,-613.22163095048,-613.235152139161,-613.22163095048,"South America"
1,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.183522146293937,0.00103383018541846,-177.516722651751,0,-0.185548416223488,-0.181495876364386,-225.792289880875,-225.814771343796,-225.792289880875,"Asia"
2,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.120644640716415,0.000585893555796069,-205.915630105356,0,-0.121792970984549,-0.119496310448281,-19.0545542853075,-19.0693332537953,-19.0545542853075,"Europe"
3,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.145262765865519,0.00143497338646603,-101.230285687224,0,-0.148075262021766,-0.142450269709272,-795.105874596169,-795.123669284988,-795.105874596169,"Oceania"
4,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.127089459196288,0.000764450790549139,-166.249365907508,0,-0.128587755213717,-0.125591163178858,-515.342711186382,-515.358279645134,-515.342711186382,"North America"
5,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.183620009683906,0.00261448616367844,-70.2317771785651,0,-0.188744308402794,-0.178495710965018,-410.51505997551,-410.537553426697,-410.51505997551,"Africa"
6,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.195752267307268,0.00217041424035576,-90.1912011391806,0,-0.200006201049898,-0.191498333564638,-308.321088860634,-308.34506851338,-308.321088860634,"South America"
1,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.0795927562166423,0.00112471348186991,-70.7671398090773,0,-0.081797154134034,-0.0773883582992507,-367.940336098376,-367.950086211012,-367.940336098376,"Asia"
2,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.104242683036369,0.000470941642194438,-221.349470288148,0,-0.105165711693891,-0.103319654378848,-13.9111206303729,-13.9238903590448,-13.9111206303729,"Europe"
3,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.0967248722422575,0.00141980193888505,-68.1256093495786,0,-0.0995076329076524,-0.0939421115768627,-853.530941655918,-853.542790452768,-853.530941655918,"Oceania"
4,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.0919616750465769,0.00048439343355642,-189.849136416639,0,-0.0929110687306952,-0.0910122813624587,-549.160055481932,-549.171320787125,-549.160055481932,"North America"
