"rowid","type","group","term","contrast","dydx","std.error","statistic","p.value","conf.low","conf.high","predicted","predicted_hi","predicted_lo"
1,"link","Omicron (BA.2.38*)","date_num","mean(dY/dX)",-0.18720579172595,0.00134182074478587,-139.516244962978,0,-0.189835712059439,-0.184575871392461,-39.1800455130612,-39.2017988260598,-39.1800455130612
1,"link","Omicron (BA.4*)","date_num","mean(dY/dX)",-0.0563177741213688,0.00041678989623826,-135.122695222857,0,-0.0571346673071159,-0.0555008809356216,-10.5538043551032,-10.5603484804561,-10.5538043551032
1,"link","Omicron (BA.4.6*)","date_num","mean(dY/dX)",-0.0368244551822957,0.000378408514362064,-97.3140238252193,0,-0.0375661222418886,-0.0360827881227027,-6.38820275413718,-6.39248175582937,-6.38820275413718
1,"link","Omicron (BA.5*)","date_num","mean(dY/dX)",-0.0289418159637285,0.000187925209722192,-154.007096794053,0,-0.0293101426065711,-0.0285734893208858,-4.52059297177026,-4.52395601078524,-4.52059297177026
1,"link","Omicron (BA.5.2*)","date_num","mean(dY/dX)",-0.0318370552236927,0.00019176012239286,-166.025421899075,0,-0.0322128981572537,-0.0314612122901317,-4.19224031590916,-4.19593978172615,-4.19224031590916
1,"link","Omicron (BF.7*)","date_num","mean(dY/dX)",-0.0201989463417318,0.000256581461047711,-78.7233273177748,0,-0.020701836764486,-0.0196960559189777,-4.08020198710346,-4.08254910466837,-4.08020198710346
1,"link","Omicron (BA.2.76*)","date_num","mean(dY/dX)",-0.0857282616119592,0.00222005593434575,-38.6153611202699,0,-0.0900794912869413,-0.0813770319369772,-19.3301241174625,-19.3400857414618,-19.3301241174625
1,"link","Omicron (BA.2.75*)","date_num","mean(dY/dX)",-0.0433293952384454,0.00056040399956508,-77.3181406129732,0,-0.0444277668943851,-0.0422310235825056,-7.92154162164515,-7.92657649737185,-7.92154162164515
1,"link","Omicron (BQ.1*)","date_num","mean(dY/dX)",-0.0101241957233622,0.000196650544934661,-51.4831816343355,0,-0.0105096237089743,-0.00973876773775011,-1.67857484619018,-1.67975127773323,-1.67857484619018
1,"link","Omicron (BR.2.1*)","date_num","mean(dY/dX)",0.042956167286478,0.00185962314665529,23.0993937474584,4.69539420869038e-118,0.0393113728942166,0.0466009616787394,-2.71086972939513,-2.70587822275644,-2.71086972939513
1,"link","Omicron (CH.1.1*)","date_num","mean(dY/dX)",0.0475192226668481,0.000383141134573764,124.025374408603,0,0.0467682798420877,0.0482701654916085,1.4198375988011,1.42535933247498,1.4198375988011
1,"link","Deltacron (XAY.2*)","date_num","mean(dY/dX)",0.0375903207999825,0.0014442028109881,26.0284224029891,2.36160469999059e-149,0.0347597353040743,0.0404209062958907,-7.77817520189635,-7.77380720661939,-7.77817520189635
1,"link","Omicron (XBF*)","date_num","mean(dY/dX)",0.0535272420338149,0.00109527745555872,48.8709429397592,0,0.0513805376678411,0.0556739463997887,-1.33093689454046,-1.32471702901613,-1.33093689454046
1,"link","Omicron (XBB*)","date_num","mean(dY/dX)",0.0158463924139435,0.000333218495699552,47.555560746038,0,0.0151932961633897,0.0164994886644972,-1.6323357777331,-1.6304944269346,-1.6323357777331
1,"link","Omicron (XBB.1.5*)","date_num","mean(dY/dX)",0.0858791215002585,0.000915917145520991,93.7629805493038,0,0.0840839568822146,0.0876742861183024,1.69474216548304,1.70472131940137,1.69474216548304
1,"link","Omicron (XBB.1.9.1*)","date_num","mean(dY/dX)",0.124260333478714,0.00452261776160409,27.4753118721758,3.46372522149627e-166,0.115396165550129,0.133124501407299,0.465791754111933,0.48023080486216,0.465791754111933
