"date_num","region","prob","SE","df","asymp.LCL","asymp.UCL","date"
18932,"South East",4.04725185168734e-09,3.70051779958604e-09,189,6.66602175573359e-10,2.45727479902998e-08,2021-11-01
18933,"South East",6.46916516931963e-09,5.75748869609414e-09,189,1.11790709320137e-09,3.74361135826342e-08,2021-11-02
18934,"South East",1.03403740268443e-08,8.9511784964274e-09,189,1.87474503560153e-09,5.70335319721562e-08,2021-11-03
18935,"South East",1.65281503824373e-08,1.39054672898757e-08,189,3.14395276393371e-09,8.68905355808761e-08,2021-11-04
18936,"South East",2.64187497805916e-08,2.15838710454332e-08,189,5.27238202621519e-09,1.32378548690822e-07,2021-11-05
18937,"South East",4.22279758889559e-08,3.34726290569831e-08,189,8.84167437476806e-09,2.01681451644929e-07,2021-11-06
18938,"South East",6.74975896141187e-08,5.18613019041916e-08,189,1.48271828649609e-08,3.07268332278228e-07,2021-11-07
18939,"South East",1.07888773707829e-07,8.0272027262031e-08,189,2.48644528643341e-08,4.68137558819392e-07,2021-11-08
18940,"South East",1.72450413079648e-07,1.24114882883305e-07,189,4.16960499078078e-08,7.13236214056424e-07,2021-11-09
18941,"South East",2.75646323526917e-07,1.91686275859625e-07,189,6.99207721734067e-08,1.08667063193042e-06,2021-11-10
18942,"South East",4.40595587015124e-07,2.95686259392916e-07,189,1.17249850856736e-07,1.6556464402881e-06,2021-11-11
18943,"South East",7.04251918370938e-07,4.55518398229971e-07,189,1.9661315417343e-07,2.52256832232573e-06,2021-11-12
18944,"South East",1.12568237380158e-06,7.00765546175687e-07,189,3.29690430819858e-07,3.84347937638019e-06,2021-11-13
18945,"South East",1.79930001476785e-06,1.07642556566859e-06,189,5.52831536059323e-07,5.85616274279751e-06,2021-11-14
18946,"South East",2.87601486304358e-06,1.65076910209419e-06,189,9.26981407621095e-07,8.92297032976681e-06,2021-11-15
18947,"South East",4.5970411243992e-06,2.52708343161077e-06,189,1.55431792876394e-06,1.35960995065549e-05,2021-11-16
18948,"South East",7.34793328325036e-06,3.86114085020005e-06,189,2.60614124563443e-06,2.07170880738177e-05,2021-11-17
18949,"South East",1.17449535896624e-05,5.88703981569047e-06,189,4.36961975555113e-06,3.15684717088309e-05,2021-11-18
18950,"South East",1.87731116421193e-05,8.95518825275703e-06,189,7.32613463700456e-06,4.81049604999493e-05,2021-11-19
18951,"South East",3.00067800042394e-05,1.35877142376856e-05,189,1.22825661794487e-05,7.33058388548917e-05,2021-11-20
18952,"South East",4.79622563729654e-05,2.05585709083745e-05,189,2.05912624110699e-05,0.000111712157185801,2021-11-21
18953,"South East",7.66611185819121e-05,3.10080649376729e-05,189,3.45185150011304e-05,0.000170245583728258,2021-11-22
18954,"South East",0.000122530227368144,4.66043470324386e-05,189,5.78616229363389e-05,0.000259456453863407,2021-11-23
18955,"South East",0.000195839101025606,6.97670907050086e-05,189,9.69818228540685e-05,0.000395425530143244,2021-11-24
18956,"South East",0.000312994368953963,0.00010397000010032,189,0.000162532318899965,0.00060266062719941,2021-11-25
18957,"South East",0.000500199437820869,0.000154136452693053,189,0.000272346588310579,0.000918505277380032,2021-11-26
18958,"South East",0.000799284211269686,0.000227131575531035,189,0.000456259444587219,0.00139984052747466,2021-11-27
18959,"South East",0.00127697257844283,0.000332325162654358,189,0.000764137104040897,0.00213325263556792,2021-11-28
18960,"South East",0.00203956636447319,0.000482136903641043,189,0.00127920705927968,0.00325041149878896,2021-11-29
18961,"South East",0.00325608789770897,0.000692352660324975,189,0.00214006440654022,0.00495121939045351,2021-11-30
