"date_num","country","prob","SE","df","asymp.LCL","asymp.UCL","date"
18891,"Scotland",3.51698323068854e-11,2.73366330189087e-11,122,7.54960385281066e-12,1.63838676635855e-10,2021-09-21
18892,"Scotland",4.62451069737822e-11,3.54738597800216e-11,122,1.01293505599674e-11,2.11130013329113e-10,2021-09-22
18893,"Scotland",6.08080783652306e-11,4.60252466877567e-11,122,1.35905693978741e-11,2.72072661977197e-10,2021-09-23
18894,"Scotland",7.9957051381703e-11,5.97043617310334e-11,122,1.82344328434938e-11,3.50607563130306e-10,2021-09-24
18895,"Scotland",1.05136196332645e-10,7.74347977014188e-11,122,2.44650080642028e-11,4.51813453212378e-10,2021-09-25
18896,"Scotland",1.38244464849517e-10,1.00411691763406e-10,122,3.28244078219143e-11,5.8223539503733e-10,2021-09-26
18897,"Scotland",1.8177880433169e-10,1.30181165391476e-10,122,4.40399485158136e-11,7.50308181631027e-10,2021-09-27
18898,"Scotland",2.39022471820298e-10,1.68742871216878e-10,122,5.90874164044259e-11,9.66902015358735e-10,2021-09-28
18899,"Scotland",3.14292649487382e-10,2.18682323063567e-10,122,7.92759435703443e-11,1.24602578038476e-09,2021-09-29
18900,"Scotland",4.13266036315288e-10,2.83341599223584e-10,122,1.06361873919296e-10,1.60573342991393e-09,2021-09-30
18901,"Scotland",5.4340697132111e-10,3.67039466200844e-10,122,1.42701519688717e-10,2.06929216165505e-09,2021-10-01
18902,"Scotland",7.14530376367529e-10,4.75355123262749e-10,122,1.91456089544792e-10,2.66668800786749e-09,2021-10-02
18903,"Scotland",9.39541974375433e-10,6.15493811902875e-10,122,2.56866604061346e-10,3.43656631907226e-09,2021-10-03
18904,"Scotland",1.23541160844461e-09,7.96757717115928e-10,122,3.44622697106848e-10,4.42873278973925e-09,2021-10-04
18905,"Scotland",1.62445306730662e-09,1.03115222575725e-09,122,4.6235736072758e-10,5.70737698654064e-09,2021-10-05
18906,"Scotland",2.13600693851414e-09,1.33416610421613e-09,122,6.2031063505957e-10,7.35522715009549e-09,2021-10-06
