"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Other",18348,0.999998696118709,4.0876100307437e-07,NA,0.999997894961865,0.999999497275553,2020-03-27,243,242.999683156846,94.9938926223178,94.9937687615585
"Omicron",18348,2.2013197178015e-43,1.38116325027486e-42,NA,-2.48689825552885e-42,2.92716219908915e-42,2020-03-27,243,NA,94.9938926223178,NA
"Delta",18351,2.08323104758181e-53,1.2346790596057e-52,NA,-2.21160338453478e-52,2.62824959405114e-52,2020-03-30,46,NA,93.6699506167369,NA
"Beta",18351,1.6327715243232e-06,5.03879441583331e-07,NA,6.45185966269719e-07,2.62035708237668e-06,2020-03-30,46,NA,93.6699506167369,NA
"Alpha",18351,4.58250541503179e-23,2.58668030517356e-22,NA,-4.61154969615607e-22,5.52805077916243e-22,2020-03-30,46,NA,93.6699506167369,NA
"C.1.2",18351,4.35602518779485e-64,7.53620885618307e-63,NA,-1.43350954193111e-62,1.52063004568701e-62,2020-03-30,46,NA,93.6699506167369,NA
"Other",18351,0.999998367228476,5.0387944160772e-07,NA,0.999997379642918,0.999999354814034,2020-03-30,46,45.9999248925099,93.6699506167369,93.6697976751089
"Omicron",18351,3.16869137367705e-43,1.97115485548102e-42,NA,-3.54652338732635e-42,4.18026166206176e-42,2020-03-30,46,NA,93.6699506167369,NA
"Delta",18354,7.80541840234281e-53,4.57505017885888e-52,NA,-8.18639173779266e-52,9.74747541826122e-52,2020-04-02,82,NA,86.2197675733494,NA
"Beta",18354,2.04410841002761e-06,6.20835301427984e-07,NA,8.27293578897688e-07,3.26092324115752e-06,2020-04-02,82,NA,86.2197675733494,NA
"Alpha",18354,8.53861871950502e-23,4.76162795197761e-22,NA,-8.47875742170484e-22,1.01864811656058e-21,2020-04-02,82,NA,86.2197675733494,NA
"C.1.2",18354,2.02083104896809e-63,3.45859083409956e-62,NA,-6.57663036719868e-62,6.9807965769923e-62,2020-04-02,82,NA,86.2197675733494,NA
"Other",18354,0.99999795589159,6.20835301422513e-07,NA,0.999996739076759,0.999999172706421,2020-04-02,82,81.9998323831104,86.2197675733494,86.2195913307974
"Omicron",18354,4.56211358327602e-43,2.81372516339372e-42,NA,-5.05858862431818e-42,5.97101134097338e-42,2020-04-02,82,NA,86.2197675733494,NA
"Delta",18357,2.92134437026047e-52,1.6932291707247e-51,NA,-3.02653375516699e-51,3.61080262921909e-51,2020-04-05,70,NA,79.088189042881,NA
"Beta",18357,2.55835003410461e-06,7.64545322875876e-07,NA,1.05986873671934e-06,4.05683133148987e-06,2020-04-05,70,NA,79.088189042881,NA
"Alpha",18357,1.59000781808155e-22,8.75862518822992e-22,NA,-1.55765821049344e-21,1.87565977410975e-21,2020-04-05,70,NA,79.088189042881,NA
"C.1.2",18357,9.36320609079861e-63,1.58508724725741e-61,NA,-3.01308185607028e-61,3.20034597788625e-61,2020-04-05,70,NA,79.088189042881,NA
"Other",18357,0.999997441649966,7.64545322943062e-07,NA,0.999995943168668,0.999998940131263,2020-04-05,70,69.9998209154976,79.088189042881,79.0879867076099
"Omicron",18357,6.56980898312074e-43,4.01735283164006e-42,NA,-7.21688596489244e-42,8.53084776151659e-42,2020-04-05,70,NA,79.088189042881,NA
"Delta",18360,1.09205539741191e-51,6.2583616120634e-51,NA,-1.11741079644604e-50,1.33582187592842e-50,2020-04-08,96,NA,77.1780778607605,NA
"Beta",18360,3.20095760628138e-06,9.41004188632664e-07,NA,1.35662328726002e-06,5.04529192530274e-06,2020-04-08,96,NA,77.1780778607605,NA
"Alpha",18360,2.95874518160652e-22,1.60973010895897e-21,NA,-2.85913852022868e-21,3.45088755654998e-21,2020-04-08,96,NA,77.1780778607605,NA
"C.1.2",18360,4.33225034935066e-62,7.25360279426108e-61,NA,-1.37835751999758e-60,1.46500252698459e-60,2020-04-08,96,NA,77.1780778607605,NA
"Other",18360,0.999996799042394,9.41004188621409e-07,NA,0.999994954708075,0.999998643376713,2020-04-08,96,95.9996927080698,77.1780778607605,77.1778308170052
"Omicron",18360,9.46348391950606e-43,5.73730379647047e-42,NA,-1.02985604174964e-41,1.21912572013977e-41,2020-04-08,96,NA,77.1780778607605,NA
"Delta",18363,4.07689436495488e-51,2.30981666685234e-50,NA,-4.11946804142544e-50,4.93484691441642e-50,2020-04-11,25,NA,83.6154949989748,NA
"Beta",18363,4.00359540652022e-06,1.15751256663845e-06,NA,1.73491246425633e-06,6.27227834878411e-06,2020-04-11,25,NA,83.6154949989748,NA
"Alpha",18363,5.50151360488724e-22,2.95580429203033e-21,NA,-5.24311859723962e-21,6.34342131821707e-21,2020-04-11,25,NA,83.6154949989748,NA
"C.1.2",18363,2.00141119535216e-61,3.31390346512237e-60,NA,-6.29499032034712e-60,6.69527255941756e-60,2020-04-11,25,NA,83.6154949989748,NA
"Other",18363,0.999995996404593,1.15751256660764e-06,NA,0.999993727721651,0.999998265087536,2020-04-11,25,24.9998999101148,83.6154949989748,83.6151602363631
"Omicron",18363,1.36355345710189e-42,8.19591623310283e-42,NA,-1.47001471800868e-41,1.74272540942906e-41,2020-04-11,25,NA,83.6154949989748,NA
"Delta",18366,1.51979371932862e-50,8.5116393054659e-50,NA,-1.51627127687801e-49,1.82023002074373e-49,2020-04-14,143,NA,98.7777704726911,NA
"Beta",18366,5.00561132610601e-06,1.42295112804683e-06,NA,2.21667836337357e-06,7.79454428883844e-06,2020-04-14,143,NA,98.7777704726911,NA
"Alpha",18366,1.02209860977898e-21,5.42216316155053e-21,NA,-9.60514590515989e-21,1.16493431247178e-20,2020-04-14,143,NA,98.7777704726911,NA
