"variant","date_num","prob","SE","df","asymp.LCL","asymp.UCL","date","totcases","cases","smoothed_totcases","smoothed_cases"
"Other",18672,0.0517155674540309,0.00252942236723982,NA,0.0467579907125509,0.056673144195511,2021-02-14,1744,90.19194963983,1887.32480353858,97.6040731850652
"Omicron",18672,8.6631307183759e-25,2.92688729043407e-24,NA,-4.8702806042212e-24,6.60290674789638e-24,2021-02-14,1744,NA,1887.32480353858,NA
"Delta",18675,3.53713876074851e-06,1.70603922503489e-06,NA,1.93363323467502e-07,6.88091419802952e-06,2021-02-17,2320,0.00820616192493654,1671.03137390409,0.00591066984306299
"Beta",18675,0.943010936538048,0.00292169705493756,NA,0.937284515536633,0.948737357539462,2021-02-17,2320,2187.78537276827,1671.03137390409,1575.80086088976
"Alpha",18675,0.00620690332670658,0.00163393313127494,NA,0.00300445323626094,0.00940935341715221,2021-02-17,2320,14.4000157179593,1671.03137390409,10.3719301937163
"C.1.2",18675,6.5543196735504e-09,1.10379709125875e-08,NA,-1.50797057775219e-08,2.81883451246227e-08,2021-02-17,2320,NA,1671.03137390409,NA
"Other",18675,0.0507786164421652,0.00249157553553945,NA,0.0458952181277468,0.0556620147565836,2021-02-17,2320,117.806390145823,1671.03137390409,84.8526611983001
"Omicron",18675,1.45076947594568e-24,4.87488433097434e-24,NA,-8.10382824156267e-24,1.1005367193454e-23,2021-02-17,2320,NA,1671.03137390409,NA
"Delta",18678,5.81844723551858e-06,2.6736273266764e-06,NA,5.78233967150725e-07,1.10586605038864e-05,2021-02-20,1690,0.00983317582802639,1501.68145687689,0.00873745432139485
"Beta",18678,0.942851973150125,0.00296550755682021,NA,0.937039685142876,0.948664261157374,2021-02-20,1690,1593.41983462371,1501.68145687689,1415.86332465933
"Alpha",18678,0.00713936148359413,0.00176720172171194,NA,0.00367570975562155,0.0106030132115667,2021-02-20,1690,12.0655209072741,1501.68145687689,10.7210467538544
"C.1.2",18678,1.17847772014382e-08,1.90315325732452e-08,NA,-2.55163412127234e-08,4.90858956155997e-08,2021-02-20,1690,NA,1501.68145687689,NA
"Other",18678,0.0500028351342683,0.00245890650698406,NA,0.0451834669392283,0.0548222033293082,2021-02-20,1690,84.5047913769134,1501.68145687689,75.0883303124029
"Omicron",18678,2.44289634150328e-24,8.1627125382057e-24,NA,-1.35557262495334e-23,1.844151893254e-23,2021-02-20,1690,NA,1501.68145687689,NA
"Delta",18681,9.48322060746498e-06,4.14747193700246e-06,NA,1.35432498404958e-06,1.76121162308804e-05,2021-02-23,998,0.00946425416625005,1370.1153065977,0.0129931057101305
"Beta",18681,0.942432671793184,0.00302000315534284,NA,0.936513574375515,0.948351769210854,2021-02-23,998,940.547806449598,1370.1153065977,1291.24142906161
"Alpha",18681,0.00817807365519046,0.00190287846875799,NA,0.00444850038946807,0.0119076469209129,2021-02-23,998,8.16171750788008,1370.1153065977,11.2049038934598
"C.1.2",18681,2.09555540244418e-08,3.24293047718211e-08,NA,-4.26047153720004e-08,8.4515823420884e-08,2021-02-23,998,NA,1370.1153065977,NA
"Other",18681,0.0493797503754636,0.00243123894564961,NA,0.0446146096041793,0.054144891146748,2021-02-23,998,49.2809908747127,1370.1153065977,67.6559518253962
"Omicron",18681,4.13589454394185e-24,1.37400843093383e-23,NA,-2.27941758469052e-23,3.10659649347889e-23,2021-02-23,998,NA,1370.1153065977,NA
"Delta",18684,1.5315753693568e-05,6.36880743038677e-06,NA,2.83312050553884e-06,2.77983868815971e-05,2021-02-26,1654,0.0253322566091615,1269.92338203074,0.0194498337288857
"Beta",18684,0.941752672805711,0.00308422998686919,NA,0.935707693111409,0.947797652500013,2021-02-26,1654,1557.65892082065,1269.92338203074,1195.95373928592
"Alpha",18684,0.00932968448736356,0.00204036449484464,NA,0.00533064356213381,0.0133287254125933,2021-02-26,1654,15.4312981420993,1269.92338203074,11.8479844774725
"C.1.2",18684,3.68560979694353e-08,5.46158044186925e-08,NA,-7.01889116778856e-08,1.43901107616756e-07,2021-02-26,1654,NA,1269.92338203074,NA
"Other",18684,0.0489022900971335,0.00240842369013097,NA,0.0441818664049637,0.0536227137893032,2021-02-26,1654,80.8843878206588,1269.92338203074,62.1021616292001
"Omicron",18684,7.03988582310794e-24,2.32488296249014e-23,NA,-3.85269829244067e-23,5.26067545706225e-23,2021-02-26,1654,NA,1269.92338203074,NA
"Delta",18687,2.4512859685428e-05,9.68153293405721e-06,NA,5.53740381953753e-06,4.34883155513186e-05,2021-03-01,566,0.0138742785819523,1196.44857650069,0.0293283760765915
"Beta",18687,0.940810325754492,0.00315721291796244,NA,0.934622302143761,0.946998349365223,2021-03-01,566,532.498644377043,1196.44857650069,1125.63117500611
"Alpha",18687,0.0106004312022401,0.00217915994863707,NA,0.00632935618635928,0.0148715062181209,2021-03-01,566,5.99984406046788,1196.44857650069,12.6828708222136
"C.1.2",18687,6.41209164317223e-08,9.09184480434402e-08,NA,-1.14075967263697e-07,2.42317800127141e-07,2021-03-01,566,NA,1196.44857650069,NA
"Other",18687,0.0485646660626657,0.00239033903923222,NA,0.0438796876349305,0.053249644490401,2021-03-01,566,27.4876009914688,1196.44857650069,58.1051255789078
"Omicron",18687,1.20466633131484e-23,3.95403938664495e-23,NA,-6.54510845996211e-23,8.95444112259178e-23,2021-03-01,566,NA,1196.44857650069,NA
"Delta",18690,3.88831383679944e-05,1.45699650691964e-05,NA,1.03265315763629e-05,6.7439745159626e-05,2021-03-04,1404,0.0545919262686642,1146.46733826672,0.0445782481482113
"Beta",18690,0.93960273622387,0.00323802529713868,NA,0.933256323260448,0.945949149187291,2021-03-04,1404,1319.20224165831,1146.46733826672,1077.22384802671
"Alpha",18690,0.0119959985405285,0.00231890258991263,NA,0.00745103298064314,0.0165409641004139,2021-03-04,1404,16.8423819509021,1146.46733826672,13.7530205166113
"C.1.2",18690,1.10361423549699e-07,1.49614439137815e-07,NA,-1.82877488727579e-07,4.03600335826976e-07,2021-03-04,1404,NA,1146.46733826672,NA
"Other",18690,0.0483622717358103,0.00237689114599181,NA,0.0437036506944943,0.0530208927771264,2021-03-04,1404,67.9006295170777,1146.46733826672,55.4457649494865
"Omicron",18690,2.07226601593099e-23,6.75895877965905e-23,NA,-1.11750497651915e-22,1.53195817970535e-22,2021-03-04,1404,NA,1146.46733826672,NA
"Delta",18693,6.11333647610548e-05,2.17077990761188e-05,NA,1.85868603882301e-05,0.000103679869133879,2021-03-07,862,0.0526969604240293,1117.58027182055,0.0683214424069642
"Beta",18693,0.938125721882105,0.0033258549463056,NA,0.931607165969542,0.944644277794668,2021-03-07,862,808.664372262375,1117.58027182055,1048.43079926285
"Alpha",18693,0.0135213647585487,0.00245940098459832,NA,0.0087010274051936,0.0183417021119037,2021-03-07,862,11.6554164218689,1117.58027182055,15.1112105022435
"C.1.2",18693,1.87935321032887e-07,2.43397574243708e-07,NA,-2.89115158409194e-07,6.64985800474969e-07,2021-03-07,862,NA,1117.58027182055,NA
"Other",18693,0.0482915920592642,0.00236801449855635,NA,0.0436503689272251,0.0529328151913034,2021-03-07,862,41.6273523550858,1117.58027182055,53.9697305802394
"Omicron",18693,3.58322171591068e-23,1.16114781511459e-22,NA,-1.9174857267609e-22,2.63413006994304e-22,2021-03-07,862,NA,1117.58027182055,NA
"Delta",18696,9.52756856407851e-05,3.20204644252671e-05,NA,3.25167285990156e-05,0.000158034642682555,2021-03-10,1477,0.14072218769144,1104.32220027631,0.105215054799666
"Beta",18696,0.936373646746946,0.00342006103430732,NA,0.929670450294775,0.943076843199118,2021-03-10,1477,1383.02387624524,1104.32220027631,1034.05820585634
"Alpha",18696,0.0151806393866855,0.00260065779197218,NA,0.0100834437783065,0.0202778349950644,2021-03-10,1477,22.4218043741344,1104.32220027631,16.7643170891057
"C.1.2",18696,3.16678523747459e-07,3.9148227135584e-07,NA,-4.50612628695923e-07,1.08396967619084e-06,2021-03-10,1477,NA,1104.32220027631,NA
"Other",18696,0.0483501215022036,0.00236367243452398,NA,0.0437174086592865,0.0529828343451207,2021-03-10,1477,71.4131294587547,1104.32220027631,53.3941125609405
"Omicron",18696,6.22762389117208e-23,2.00462577328315e-22,NA,-3.30623192899851e-22,4.55175670723293e-22,2021-03-10,1477,NA,1104.32220027631,NA
"Delta",18699,0.000147200346724692,4.67629885620517e-05,NA,5.55465733336123e-05,0.000238854120115772,2021-03-13,1541,0.226835734302751,1099.70967365256,0.161877645258154
"Beta",18699,0.934339092786263,0.00352021816734145,NA,0.927439591960551,0.941238593611976,2021-03-13,1541,1439.81654198363,1099.70967365256,1027.50173880881
"Alpha",18699,0.0169768927658067,0.00274287820511489,NA,0.0116009502698016,0.0223528352618117,2021-03-13,1541,26.1613917521081,1099.70967365256,18.6696532031197
"C.1.2",18699,5.28071193829078e-07,6.22574266257577e-07,NA,-6.92151945737222e-07,1.74829433339538e-06,2021-03-13,1541,NA,1099.70967365256,NA
"Other",18699,0.0485362860300114,0.00236385759307432,NA,0.0439032102830042,0.0531693617770186,2021-03-13,1541,74.7944167722476,1099.70967365256,53.375823270371
"Omicron",18699,1.08783167278858e-22,3.47764623823555e-22,NA,-5.72822970512429e-22,7.90389305070145e-22,2021-03-13,1541,NA,1099.70967365256,NA
"Delta",18702,0.000225472451598801,6.7615115406203e-05,NA,9.2949260592124e-05,0.000357995642605479,2021-03-16,933,0.210365797341682,1097.17856173984,0.247383540157129
"Beta",18702,0.932012316256136,0.0036261461529143,NA,0.924905200393746,0.939119432118527,2021-03-16,933,869.567491066975,1097.17856173984,1022.58393267373
"Alpha",18702,0.0189119762027507,0.00288645866844753,NA,0.0132546211697301,0.0245693312357713,2021-03-16,933,17.6448737971664,1097.17856173984,20.7498148497922
"C.1.2",18702,8.7151195628473e-07,9.78997123049331e-07,NA,-1.04728714586029e-06,2.79031105842975e-06,2021-03-16,933,NA,1097.17856173984,NA
"Other",18702,0.0488493635775577,0.00236859215458064,NA,0.0442070082605155,0.0534917188945999,2021-03-16,933,45.5764562178613,1097.17856173984,53.5964744719314
"Omicron",18702,1.90967967283142e-22,6.06192734285783e-22,NA,-9.9714795960685e-22,1.37908389417313e-21,2021-03-16,933,NA,1097.17856173984,NA
"Delta",18705,0.000342428048123215,9.67946114961719e-05,NA,0.000152714095693172,0.000532142000553259,2021-03-19,1462,0.500629806356141,1090.29862720987,0.373348830786895
"Beta",18705,0.92938042245071,0.00373792659745038,NA,0.922054220942853,0.936706623958567,2021-03-19,1462,1358.75417762294,1090.29862720987,1013.30219875373
"Alpha",18705,0.0209863297958467,0.00303195175573673,NA,0.0150438135517397,0.0269288460399537,2021-03-19,1462,30.6820141615279,1090.29862720987,22.8813665665851
"C.1.2",18705,1.42364897254386e-06,1.52232789666364e-06,NA,-1.56005887757748e-06,4.40735682266521e-06,2021-03-19,1462,0.00208137479785913,1090.29862720987,0.00155220252039331
"Other",18705,0.0492893960563477,0.00237792764728858,NA,0.04462874350982,0.0539500486028754,2021-03-19,1462,72.0610970343804,1090.29862720987,53.7401608562393
"Omicron",18705,3.36888415103778e-22,1.06163333647114e-21,NA,-1.74387468916674e-21,2.4176515193743e-21,2021-03-19,1462,NA,1090.29862720987,NA
"Delta",18708,0.000515664694325821,0.000137188227737729,NA,0.000246780708856994,0.000784548679794648,2021-03-22,599,0.308883151901167,1072.85018072139,0.553230960499099
"Beta",18708,0.926426177019633,0.00385591100229889,NA,0.918868730327536,0.933983623711731,2021-03-22,599,554.92928003476,1072.85018072139,993.916491440544
"Alpha",18708,0.0231987724470695,0.00318000470340893,NA,0.01696607775772,0.0294314671364189,2021-03-22,599,13.8960646957946,1072.85018072139,24.888807212353
"C.1.2",18708,2.3020811371831e-06,2.34095782835137e-06,NA,-2.28611189571268e-06,6.89027417007888e-06,2021-03-22,599,0.00137894660117268,1072.85018072139,0.0024697881640622
"Other",18708,0.0498570837578341,0.00239194401431854,NA,0.0451689596367336,0.0545452078789346,2021-03-22,599,29.8643931709426,1072.85018072139,53.489181319834
"Omicron",18708,5.97177348024801e-22,1.86784073316693e-21,NA,-3.06372321783928e-21,4.25807791388888e-21,2021-03-22,599,NA,1072.85018072139,NA
"Delta",18711,0.000770044167892293,0.000192497396706994,NA,0.000392756203228866,0.00114733213255572,2021-03-25,1554,1.19664863690462,1042.72596519238,0.80294504820625
"Beta",18711,0.923126355356614,0.00398072941980881,NA,0.91532426906159,0.930928441651638,2021-03-25,1554,1434.53835622418,1042.72596519238,962.567819883745
"Alpha",18711,0.025546265190636,0.00333127156472425,NA,0.0190170929010541,0.0320754374802179,2021-03-25,1554,39.6988961062484,1042.72596519238,26.6377540279663
"C.1.2",18711,3.68521494232909e-06,3.56004414351795e-06,NA,-3.29234336233883e-06,1.0662773246997e-05,2021-03-25,1554,0.0057268240203794,1042.72596519238,0.00384266930768146
"Other",18711,0.0505536500699152,0.00241074753004075,NA,0.0458286717352164,0.0552786284046139,2021-03-25,1554,78.5603722086482,1042.72596519238,52.7136035631499
"Omicron",18711,1.06358978165106e-21,3.30115915045023e-21,NA,-5.40656326046622e-21,7.53374282376835e-21,2021-03-25,1554,NA,1042.72596519238,NA
"Delta",18714,0.00114034892641945,0.000267392077971022,NA,0.000616270083844918,0.00166442776899398,2021-03-28,965,1.10043671399477,1006.59949701622,1.1478746557568
"Beta",18714,0.919449515207118,0.00411331373600021,NA,0.911387568427443,0.927511461986792,2021-03-28,965,887.268782174869,1006.59949701622,925.517419539289
"Alpha",18714,0.0280236346802203,0.00348630205422177,NA,0.0211906082147177,0.034856661145723,2021-03-28,965,27.0428074664126,1006.59949701622,28.208576573676
"C.1.2",18714,5.84065601443054e-06,5.35433954116733e-06,NA,-4.65365664725614e-06,1.63349686761172e-05,2021-03-28,965,0.00563623305392547,1006.59949701622,0.00587920140637052
"Other",18714,0.051380660530228,0.00243446703532395,NA,0.0466091928194431,0.056152128241013,2021-03-28,965,49.5823374116701,1006.59949701622,51.7197470460885
"Omicron",18714,1.90307637841973e-21,5.86016688597516e-21,NA,-9.58263966148582e-21,1.33887924183253e-20,2021-03-28,965,NA,1006.59949701622,NA
"Delta",18717,0.00167475666310313,0.000367660761370576,NA,0.000954154812288227,0.00239535851391803,2021-03-31,1422,2.38150397493265,971.703512280855,1.62736693175308
"Beta",18717,0.915353064294687,0.00425495429403182,NA,0.907013507122521,0.923692621466853,2021-03-31,1422,1301.63205742704,971.703512280855,889.451787552191
"Alpha",18717,0.030623238564705,0.00364541340140668,NA,0.0234783595891883,0.0377681175402218,2021-03-31,1422,43.5462452390105,971.703512280855,29.7567084707384
"C.1.2",18717,9.16523066697792e-06,7.96435016494965e-06,NA,-6.44460881658903e-06,2.47750701505449e-05,2021-03-31,1422,0.0130329580084426,971.703512280855,0.00890588682996665
"Other",18717,0.0523397752468378,0.00246324782993331,NA,0.047511898215172,0.0571676522785035,2021-03-31,1422,74.4271604010033,971.703512280855,50.8587434393428
"Omicron",18717,3.42059298577812e-21,1.04476874656087e-20,NA,-1.70564981685454e-20,2.38976841401016e-20,2021-03-31,1422,NA,971.703512280855,NA
"Delta",18720,0.00243931386063031,0.000500336946574552,NA,0.00145867146520945,0.00341995625605117,2021-04-03,777,1.89534686970975,944.357665035042,2.30358474171245
"Beta",18720,0.910779489182397,0.00440741083178497,NA,0.902141122687027,0.919417855677767,2021-04-03,777,707.675663094722,944.357665035042,860.101591766097
"Alpha",18720,0.0333345488530723,0.0038085542618614,NA,0.0258699196666574,0.0407991780394871,2021-04-03,777,25.9009444588372,944.357665035042,31.4797367198839
"C.1.2",18720,1.42405485506265e-05,1.17161412229247e-05,NA,-8.72266628409092e-06,3.7203763385344e-05,2021-04-03,777,0.0110649062238368,944.357665035042,0.0134481711780878
"Other",18720,0.0534324075553497,0.00249724242546778,NA,0.0485379023407674,0.058326912769932,2021-04-03,777,41.5169806705067,944.357665035042,50.4593036361708
"Omicron",18720,6.17523968105319e-21,1.8704192796338e-20,NA,-3.04843045596628e-20,4.28347839217691e-20,2021-04-03,777,NA,944.357665035042,NA
"Delta",18723,0.0035235909249061,0.000673771828085627,NA,0.00220302240806056,0.00484415944175164,2021-04-06,437,1.53980923418397,930.250799009004,3.27782327327478
"Beta",18723,0.905651621699778,0.00457309501771376,NA,0.89668852016718,0.914614723232377,2021-04-06,437,395.769758682803,930.250799009004,842.483144710019
"Alpha",18723,0.0361436239294464,0.00397517130472297,NA,0.0283524313398123,0.0439348165190806,2021-04-06,437,15.7947636571681,930.250799009004,33.6226350394485
"C.1.2",18723,2.1908861479648e-05,1.70448254273847e-05,NA,-1.14983824807985e-05,5.53161054400946e-05,2021-04-06,437,0.00957417246660619,930.250799009004,0.0203807358968202
"Other",18723,0.0546592545843896,0.00253659723424816,NA,0.0496876153619793,0.0596308938067999,2021-04-06,437,23.8860942533782,930.250799009004,50.846815250365
"Omicron",18723,1.11955962133587e-20,3.36200150758879e-20,NA,-5.46984224950753e-20,7.70896149217926e-20,2021-04-06,437,NA,930.250799009004,NA
"Delta",18726,0.00504767388970983,0.000897608909070031,NA,0.00328839275573028,0.00680695502368938,2021-04-09,1267,6.39540281826236,934.669595768321,4.7179073140654
"Beta",18726,0.899866857715505,0.00475532673064248,NA,0.890546588588725,0.909187126842284,2021-04-09,1267,1140.13130872554,934.669595768321,841.07819214626
"Alpha",18726,0.0390324359895085,0.00414408916921026,NA,0.0309101704691339,0.0471547015098831,2021-04-09,1267,49.4540963987072,934.669595768321,36.4824311681668
"C.1.2",18726,3.33746910672439e-05,2.45212552863702e-05,NA,-1.46860861497542e-05,8.14354682842419e-05,2021-04-09,1267,0.042285733582198,934.669595768321,0.0311943090087134
"Other",18726,0.0560196577142098,0.00258143415517996,NA,0.0509601397415955,0.0610791756868241,2021-04-09,1267,70.9769063239038,934.669595768321,52.3598708308202
"Omicron",18726,2.0379885466775e-20,6.06617313875103e-20,NA,-9.85149232925881e-20,1.39274694226138e-19,2021-04-09,1267,NA,934.669595768321,NA
"Delta",18729,0.00717056821284145,0.00118259875522718,NA,0.00485271724443428,0.00948841918124861,2021-04-12,655,4.69672217941115,958.435029603506,6.87252375734865
"Beta",18729,0.893290329046154,0.00495863240084806,NA,0.883571588127919,0.90300906996439,2021-04-12,655,585.105165525231,958.435029603506,856.160742963877
"Alpha",18729,0.041978020703694,0.00431341322668773,NA,0.0335238861289473,0.0504321552784406,2021-04-12,655,27.4956035609196,958.435029603506,40.2332055158415
"C.1.2",18729,5.03379967004568e-05,3.48805948110754e-05,NA,-1.80267128885856e-05,0.000118702706289499,2021-04-12,655,0.0329713878387992,958.435029603506,0.0482456993577835
"Other",18729,0.0575107440406097,0.00263182591530091,NA,0.0523524600330407,0.0626690280481786,2021-04-12,655,37.6695373465993,958.435029603506,55.1203116670814
"Omicron",18729,3.72408652081499e-20,1.09847385729051e-19,NA,-1.78056054616668e-19,2.52537785032968e-19,2021-04-12,655,NA,958.435029603506,NA
"Delta",18732,0.0100999252760477,0.00154017210920161,NA,0.00708124341201942,0.0131186071400759,2021-04-15,1372,13.8570974787374,999.759071817054,10.097491919403
"Beta",18732,0.885747190477436,0.00518899449201442,NA,0.875576948157111,0.895917432797761,2021-04-15,1372,1215.24514533504,999.759071817054,885.533789016285
"Alpha",18732,0.0449514237228266,0.00448046268406611,NA,0.0361698782279814,0.0537329692176719,2021-04-15,1372,61.6733533477181,999.759071817054,44.9405936579882
"C.1.2",18732,7.51640315904958e-05,4.90501490815512e-05,NA,-2.09724940456649e-05,0.000171300557226657,2021-04-15,1372,0.10312505134216,999.759071817054,0.0751459224569418
"Other",18732,0.0591262964920994,0.00268776390200209,NA,0.0538583760452285,0.0643942169389704,2021-04-15,1372,81.1212787871604,999.759071817054,59.1120513009213
"Omicron",18732,6.82937663382781e-20,1.99572197433393e-19,NA,-3.22860552946688e-19,4.59448085623245e-19,2021-04-15,1372,NA,999.759071817054,NA
"Delta",18735,0.0141027056135715,0.00198167048898713,NA,0.0102187028259308,0.0179867084012121,2021-04-18,1089,15.3578464131793,1057.32045279248,14.9110790849405
"Beta",18735,0.877014456852316,0.00545387710971894,NA,0.866325054141159,0.887703859563472,2021-04-18,1089,955.068743512172,1057.32045279248,927.285322624645
"Alpha",18735,0.0479164400479614,0.00464173999765945,NA,0.0388187968269498,0.057014083268973,2021-04-18,1089,52.18100321223,1057.32045279248,50.6630320877145
"C.1.2",18735,0.000111092683921529,6.81719613627007e-05,NA,-2.25219051048203e-05,0.000244707272947879,2021-04-18,1089,0.120979932790545,1057.32045279248,0.117460566865844
"Other",18735,0.0608553048022301,0.00274911699704801,NA,0.0554671344987291,0.0662434751057311,2021-04-18,1089,66.2714269296286,1057.32045279248,64.3435584283186
"Omicron",18735,1.25642614850927e-19,3.63659218466807e-19,NA,-5.87116355989997e-19,8.38401585691851e-19,2021-04-18,1089,NA,1057.32045279248,NA
"Delta",18738,0.0195159077245556,0.00251712282030269,NA,0.0145824376520984,0.0244493777970128,2021-04-21,1569,30.6204592198277,1129.91821255132,22.0513795724463
"Beta",18738,0.866813252510327,0.0057617643029465,NA,0.855520401989143,0.878106103031511,2021-04-21,1569,1360.0299931887,1129.91821255132,979.42808089226
"Alpha",18738,0.0508281853484858,0.00479294221201202,NA,0.0414341912329605,0.0602221794640111,2021-04-21,1569,79.7494228117742,1129.91821255132,57.431692336188
"C.1.2",18738,0.000162484843791576,9.36131771461515e-05,NA,-2.09936118932488e-05,0.000345963299476401,2021-04-21,1569,0.254938719908983,1129.91821255132,0.183594584263658
"Other",18738,0.0626801695728401,0.0028155794622387,NA,0.0571617352312416,0.0681986039144386,2021-04-21,1569,98.3451860597861,1129.91821255132,70.8234651661568
"Omicron",18738,2.31794833110165e-19,6.64335062359652e-19,NA,-1.07027796278192e-18,1.53386762900225e-18,2021-04-21,1569,NA,1129.91821255132,NA
"Delta",18741,0.0267557611534829,0.00315346894547615,NA,0.0205750755939842,0.0329364467129817,2021-04-24,1385,37.0567291975738,1216.09525999003,32.5375543161759
"Beta",18741,0.854802954300787,0.0061209086121756,NA,0.842806193868262,0.866799714733313,2021-04-24,1385,1183.90209170659,1216.09525999003,1039.52182095066
"Alpha",18741,0.0536316128282508,0.00492902106897244,NA,0.0439709090540257,0.0632923166024759,2021-04-24,1385,74.2797837671274,1216.09525999003,65.2211501460562
"C.1.2",18741,0.000235093633836455,0.00012695410402732,NA,-1.37318377466428e-05,0.000483919105419553,2021-04-24,1385,0.32560468286349,1216.09525999003,0.285896253762344
"Other",18741,0.0645745780836422,0.00288660508701108,NA,0.0589169360755104,0.0702322200917741,2021-04-24,1385,89.4357906458445,1216.09525999003,78.5288383233733
"Omicron",18741,4.28603347253567e-19,1.21604410195094e-18,NA,-1.95479929618262e-18,2.81200599068976e-18,2021-04-24,1385,NA,1216.09525999003,NA
"Delta",18744,0.0363227803722032,0.00389218908947314,NA,0.0286942299358161,0.0439513308085903,2021-04-27,880,31.9640467275388,1315.03538267148,47.7657413864523
"Beta",18744,0.840579525510633,0.00653707947571916,NA,0.827767085174148,0.853391965847119,2021-04-27,880,739.709982449357,1315.03538267148,1105.39181799569
"Alpha",18744,0.0562602044148852,0.0050443011466017,NA,0.0463735558403717,0.0661468529893986,2021-04-27,880,49.5089798850989,1315.03538267148,73.9841594419041
"C.1.2",18744,0.000336332535278464,0.000169940673505751,NA,3.25493569871199e-06,0.000669410134858216,2021-04-27,880,0.295972631045048,1315.03538267148,0.442289184234784
"Other",18744,0.0665011571669998,0.00296132364770327,NA,0.0606970694709346,0.0723052448630649,2021-04-27,880,58.5210183069598,1315.03538267148,87.4513746632017
"Omicron",18744,7.93811355489036e-19,2.22896551507939e-18,NA,-3.57488077684833e-18,5.1625034878264e-18,2021-04-27,880,NA,1315.03538267148,NA
"Delta",18747,0.0487988618875727,0.00472643328800536,NA,0.0395352228677509,0.0580625009073944,2021-04-30,1674,81.6892947997966,1429.11707171732,69.739286603906
"Beta",18747,0.823681275883098,0.00701038707205973,NA,0.809941169704176,0.837421382062021,2021-04-30,1674,1378.84245582831,1429.11707171732,1177.13697301844
"Alpha",18747,0.0586352237516114,0.00513266769412288,NA,0.0485753799265183,0.0686950675767045,2021-04-30,1674,98.1553645601974,1429.11707171732,83.7965992673929
"C.1.2",18747,0.000475489480617612,0.000224385620737837,NA,3.57017453227879e-05,0.000915277215912436,2021-04-30,1674,0.795969390553882,1429.11707171732,0.679530134172633
"Other",18747,0.0684091489971001,0.0030384349857521,NA,0.0624539258556595,0.0743643721385407,2021-04-30,1674,114.516915421146,1429.11707171732,97.7646826934098
"Omicron",18747,1.47149418057506e-18,4.0880492854836e-18,NA,-6.5409351859975e-18,9.48392354714762e-18,2021-04-30,1674,NA,1429.11707171732,NA
"Delta",18750,0.0648314202721267,0.00563798542112263,NA,0.0537811719013645,0.075881668642889,2021-05-03,897,58.1537839840977,1561.93635195894,101.262552072162
"Beta",18750,0.803606111219986,0.00753170636446703,NA,0.7888442380035,0.818367984436473,2021-05-03,897,720.834681764328,1561.93635195894,1255.18159777085
"Alpha",18750,0.060666106416524,0.00518783658125462,NA,0.0504981335595856,0.0708340792734625,2021-05-03,897,54.417497455622,1561.93635195894,94.7565969437782
"C.1.2",18750,0.000663806913667849,0.00029200296666873,NA,9.14916156182879e-05,0.00123612221171741,2021-05-03,897,0.59543480156006,1561.93635195894,1.03682414913948
"Other",18750,0.070232555177695,0.00311607789385404,NA,0.0641251547327196,0.0763399556226703,2021-05-03,897,62.9986019943924,1561.93635195894,109.698781023004
"Omicron",18750,2.72765614156088e-18,7.49540762792978e-18,NA,-1.19630728586283e-17,1.741838514175e-17,2021-05-03,897,NA,1561.93635195894,NA
"Delta",18753,0.0850989294655711,0.00659474546597406,NA,0.0721734658650531,0.0980243930660891,2021-05-06,2149,182.877599421512,1718.02169853173,146.201807343672
"Beta",18753,0.779844585499435,0.0080796871893104,NA,0.764008689602037,0.795680481396833,2021-05-06,2149,1675.88601423829,1718.02169853173,1339.78991937051
"Alpha",18753,0.0622527326460054,0.00520371645750499,NA,0.0520536358035373,0.0724518294884735,2021-05-06,2149,133.781122456266,1718.02169853173,106.951545478732
"C.1.2",18753,0.000914318158065056,0.000374166053717108,NA,0.000180966168542046,0.00164767014758807,2021-05-06,2149,1.96486972168181,1718.02169853173,1.57081843491733
"Other",18753,0.0718894342309231,0.00319167985850181,NA,0.0656338566580777,0.0781450118037686,2021-05-06,2149,154.490394162254,1718.02169853173,123.507607903896
"Omicron",18753,5.05082061147e-18,1.37242740148485e-17,NA,-2.18482621715921e-17,3.19499033945321e-17,2021-05-06,2149,NA,1718.02169853173,NA
"Delta",18756,0.110253047447942,0.0075498036341998,NA,0.0954557042345608,0.125050390661323,2021-05-09,1778,196.029918362441,1903.12964034355,209.825842536382
"Beta",18756,0.751932002942129,0.00861961278032111,NA,0.735037872332019,0.76882613355224,2021-05-09,1778,1336.93510123111,1903.12964034355,1431.02408232206
"Alpha",18756,0.0632903835929553,0.00517486731725747,NA,0.0531478300263573,0.0734329371595534,2021-05-09,1778,112.530302028275,1903.12964034355,120.449804964466
"C.1.2",18756,0.00124131289166763,0.000471593590806415,NA,0.000317006438347133,0.00216561934498812,2021-05-09,1778,2.20705432138504,1903.12964034355,2.36237935707322
"Other",18756,0.0732832531253056,0.00326181521584608,NA,0.0668902127780226,0.0796762934725887,2021-05-09,1778,130.297624056793,1903.12964034355,139.467531163568
"Omicron",18756,9.33199898657094e-18,2.50665626351854e-17,NA,-3.97975609946099e-17,5.84615589677518e-17,2021-05-09,1778,NA,1903.12964034355,NA
"Delta",18759,0.140835862369059,0.00844342550003946,NA,0.124287052482835,0.157384672255284,2021-05-12,2759,388.566144276235,2124.38159372609,299.189113753371
"Beta",18759,0.719519581081758,0.00910531421105477,NA,0.70167349316017,0.737365669003346,2021-05-12,2759,1985.15452420457,2124.38159372609,1528.53415437559
