"date_num","variant","prob","date","totcases","cases","smoothed_totcases","smoothed_cases","totinfections","infections","cuminfections","cuminfectionsperpop"
18873,"Omicron (BA.5)",9.9524518105275e-09,2021-09-03,9198,NA,7372.94074794433,NA,157916.59068336,0.00157165725885893,0.00533327089814587,8.79319372811829e-09
18874,"Omicron (BA.4)",4.71450736139868e-08,2021-09-04,8411,NA,6999.96660451326,NA,153218.41540761,0.00722349347341018,0.0507970007879386,8.3751205829617e-08
18874,"Beta",0.00271113422862057,2021-09-04,8411,22.8033499969276,6999.96660451326,18.9778490606968,153218.41540761,415.395690466576,14855441.3850319,24.4928068553023
18874,"Alpha",0.000236957401903941,2021-09-04,8411,1.99304870741405,6999.96660451326,1.65869390001981,153218.41540761,36.306237638826,387474.052425237,0.63884518012739
18874,"Other",0.0341680342290479,2021-09-04,8411,287.387335900522,6999.96660451326,239.175098545201,153218.41540761,5235.17206216769,12141431.6342444,20.0181019369804
18874,"Delta",0.962726358474142,2021-09-04,8411,8097.491401126,6999.96660451326,6739.05235860365,153218.41540761,147507.407116547,16224247.6326415,26.7496167457719
18874,"Omicron (BA.1)",0.000133058444386946,2021-09-04,8411,1.1191545757386,6999.96660451326,0.931404667157106,153218.41540761,20.3870040055694,128.217424092943,0.000211397596503396
18874,"Omicron (BA.2)",1.76227190646746e-12,2021-09-04,8411,NA,6999.96660451326,NA,153218.41540761,0,0,0
18874,"Omicron (BA.3)",2.43986041363374e-05,2021-09-04,8411,0.205216659390734,6999.96660451326,0.170789414151101,153218.41540761,3.73831546392717,34.1224221651912,5.62591089598458e-05
18874,"Omicron (BA.5)",1.14709268503714e-08,2021-09-04,8411,NA,6999.96660451326,NA,153218.41540761,0.00175755723527051,0.00709082813341639,1.16909541369065e-08
18875,"Omicron (BA.4)",5.48925440012947e-08,2021-09-05,5931,NA,6644.63874908281,NA,148392.938836122,0.00814566592454326,0.0589426667124818,9.71813165228394e-08
18875,"Beta",0.00257909302154453,2021-09-05,5931,15.2966007107806,6644.63874908281,17.1371414284438,148392.938836122,382.719192998726,14855824.1042249,24.4934378609406
18875,"Alpha",0.000221658968117328,2021-09-05,5931,1.31465933990387,6644.63874908281,1.47284376863411,148392.938836122,32.8926256983125,387506.945050935,0.63889941161788
18875,"Other",0.0345467336522998,2021-09-05,5931,204.89667729179,6644.63874908281,229.550565080314,148392.938836122,5126.49133385352,12146558.1255783,20.0265542043234
18875,"Delta",0.962464432843609,2021-09-05,5931,5708.37655119544,6644.63874908281,6395.22846508665,148392.938836122,142822.925714904,16367070.5583564,26.9850950626645
18875,"Omicron (BA.1)",0.000160286570644994,2021-09-05,5931,0.95065965049546,6644.63874908281,1.06504635826533,148392.938836122,23.7853952739743,152.002819366917,0.000250613603441397
18875,"Omicron (BA.2)",2.61066081702385e-12,2021-09-05,5931,NA,6644.63874908281,NA,148392.938836122,0,0,0
