DAY,2017,2018,2019,2020,2021,2022
03-25,300,320,303,450,288,331
03-24,287,340,265,395,304,325
03-23,346,414,305,439,299,375
03-22,291,392,341,378,303,365
03-21,303,374,341,392,305,343
03-20,317,378,324,392,273,315
03-19,260,376,317,356,339,330
03-18,290,346,274,366,280,332
03-17,297,364,332,317,291,358
03-16,307,394,325,353,320,337
03-15,288,388,335,292,293,359
03-14,299,389,344,332,273,356
03-13,295,427,352,325,325,323
03-12,298,416,349,314,311,339
03-11,293,389,298,338,320,388
03-10,310,407,292,345,293,332
03-09,302,460,336,288,323,369
03-08,315,438,347,302,310,345
03-07,306,462,372,281,268,320
03-06,314,415,381,313,300,290
03-05,287,445,334,322,292,312
03-04,345,417,327,336,288,359
03-03,317,443,335,306,287,323
03-02,332,441,314,352,304,322
03-01,330,441,395,305,276,277
02-29,,,,309,,
02-28,370,445,343,305,309,282
02-27,334,425,367,321,306,332
02-26,315,390,314,337,289,319
02-25,349,361,360,349,302,325
02-24,335,394,297,323,331,345
02-23,376,383,348,314,329,310
02-22,360,404,332,333,271,356
02-21,334,385,375,334,303,310
02-20,320,374,360,342,334,310
02-19,327,327,364,365,346,323
02-18,362,334,342,327,336,354
02-17,379,386,315,286,326,365
02-16,399,376,341,297,334,363
02-15,381,382,343,343,337,365
02-14,377,385,345,352,333,365
02-13,406,357,349,335,335,348
02-12,355,345,345,320,328,362
02-11,407,314,371,324,339,369
02-10,374,342,333,336,290,383
02-09,383,367,377,292,311,365
02-08,382,367,348,318,287,377
02-07,407,309,423,303,308,345
02-06,383,345,355,292,348,351
02-05,358,309,378,329,331,346
02-04,410,301,330,315,329,409
02-03,444,315,332,320,283,410
02-02,458,325,333,330,366,384
02-01,431,342,346,336,310,377
01-31,433,386,365,393,342,356
01-30,416,355,372,330,336,342
01-29,416,331,352,328,369,334
01-28,377,301,321,329,364,406
01-27,393,315,329,310,347,363
01-26,383,298,339,324,346,370
01-25,378,347,380,261,326,370
01-24,376,323,365,337,293,339
01-23,368,352,333,325,345,317
01-22,388,317,336,331,352,325
01-21,388,339,313,315,355,354
01-20,379,343,295,311,362,324
01-19,356,336,336,310,376,327
01-18,376,332,339,331,354,357
01-17,388,335,322,334,293,363
01-16,370,337,339,348,341,311
01-15,352,314,332,322,335,296
01-14,382,311,349,346,340,301
01-13,419,309,317,323,350,339
01-12,399,354,347,291,367,331
01-11,396,349,325,320,370,335
01-10,420,350,335,323,323,306
01-09,367,348,318,383,332,312
01-08,359,296,372,380,382,302
01-07,417,309,333,324,368,367
01-06,344,303,289,367,359,352
01-05,378,374,323,298,363,331
01-04,360,363,356,322,339,332
01-03,338,359,355,351,319,357
01-02,361,357,355,325,309,301
01-01,351,317,326,325,340,333
