"contrast","DATE_NUM","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2.76) - Other",19190,0.0375620491594321,0.00294404968057495,NA,0.0317918178168086,0.0433322805020557,3.49720252756924e-14
"Omicron (BA.2.76) - Delta",19190,0.251742771584422,0.00479954908681641,NA,0.24233582823223,0.261149714936614,3.40838468559923e-14
"Omicron (BA.2.76) - Omicron (BA.1)",19190,0.163632004439123,0.00700554515446389,NA,0.149901388244305,0.177362620633941,3.40838468559923e-14
"Omicron (BA.2.76) - Omicron (BA.2)",19190,0.0670005419934284,0.0027114170713163,NA,0.0616862621865814,0.0723148218002754,3.40838468559923e-14
"Omicron (BA.2.76) - Omicron (BA.3)",19190,0.00322121717022632,0.00470411549191708,NA,-0.00599867977304809,0.0124411141135007,0.999932531758798
"Omicron (BA.2.76) - Omicron (BA.4)",19190,0.0336767923637952,0.00775886490112327,NA,0.0184696965966817,0.0488838881309087,0.00140461843769135
"Omicron (BA.2.76) - Omicron (BA.2.74)",19190,0.0109846891697164,0.00442987761318562,NA,0.00230228859195229,0.0196670897474804,0.359721256548323
"Omicron (BA.2.75) - Omicron (BA.5)",19190,0.0648883814579428,0.00513366328817654,NA,0.0548265863043614,0.0749501766115243,3.54161144855425e-14
"Omicron (BA.2.75) - Beta",19190,0.19882239150817,0.0432806657121774,NA,0.113993845485384,0.283650937530955,0.000500935900669019
"Omicron (BA.2.75) - Alpha",19190,0.0358761680353112,0.00955841773378232,NA,0.0171420135279089,0.0546103225427135,0.0123233247598722
"Omicron (BA.2.75) - Other",19190,0.125655478495793,0.00500197747909414,NA,0.115851782785288,0.135459174206298,3.40838468559923e-14
"Omicron (BA.2.75) - Delta",19190,0.339836200920782,0.00626705955432077,NA,0.327552989905346,0.352119411936219,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.1)",19190,0.251725433775484,0.00807890558597869,NA,0.235891069792466,0.267559797758501,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.2)",19190,0.155093971329789,0.00488410927528072,NA,0.145521293053681,0.164666649605897,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.3)",19190,0.091314646506587,0.00617237760880403,NA,0.0792170086943496,0.103412284318824,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.4)",19190,0.121770221700156,0.00873801247233832,NA,0.104644031957911,0.138896411442401,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.2.74)",19190,0.099078118506077,0.00586553806347622,NA,0.0875818751517148,0.110574361860439,3.40838468559923e-14
"Omicron (BA.2.75) - Omicron (BA.2.76)",19190,0.0880934293363606,0.00503634076492646,NA,0.0782223828232339,0.0979644758494874,3.40838468559923e-14
