"contrast","continent","estimate","SE","df","asymp.LCL","asymp.UCL","p.value"
"Omicron (BA.2) - Omicron (BA.1)","Asia",0.084238621417693,0.000829283575539293,NA,0.0826132554766654,0.0858639873587207,4.8739901004069e-12
"Omicron (BA.3) - Omicron (BA.5)","Asia",-0.0742571686580642,0.0023500827655465,NA,-0.0788632462392236,-0.0696510910769048,4.8739901004069e-12
"Omicron (BA.3) - Beta","Asia",0.135316865812138,0.00654816793397682,NA,0.122482692496823,0.148151039127453,4.8739901004069e-12
"Omicron (BA.3) - Alpha","Asia",0.465678447475376,0.00794931804882042,NA,0.450098070398034,0.481258824552719,4.8739901004069e-12
"Omicron (BA.3) - Other","Asia",0.050681325475479,0.00237550121233767,NA,0.0460254286540659,0.055337222296892,4.8739901004069e-12
"Omicron (BA.3) - Delta","Asia",0.247498941004936,0.00272911053045232,NA,0.24214998265542,0.252847899354452,4.8739901004069e-12
"Omicron (BA.3) - Omicron (BA.1)","Asia",0.113120169138162,0.00239111226439218,NA,0.108433675216961,0.117806663059363,4.8739901004069e-12
"Omicron (BA.3) - Omicron (BA.2)","Asia",0.0288815477204691,0.00230253686140457,NA,0.0243686583990402,0.0333944370418979,4.8739901004069e-12
"Omicron (BA.4) - Omicron (BA.5)","Asia",-0.0190395753690047,0.000765189407146647,NA,-0.0205393190483637,-0.0175398316896457,4.8739901004069e-12
"Omicron (BA.4) - Beta","Asia",0.190534459101198,0.00606472842374568,NA,0.17864780981464,0.202421108387756,4.8739901004069e-12
"Omicron (BA.4) - Alpha","Asia",0.520896040764436,0.00768562486171613,NA,0.505832492836787,0.535959588692085,4.8739901004069e-12
"Omicron (BA.4) - Other","Asia",0.105898918764538,0.00114219204400117,NA,0.103660263494868,0.108137574034209,4.8739901004069e-12
"Omicron (BA.4) - Delta","Asia",0.302716534293996,0.00180665725499065,NA,0.299175551141806,0.306257517446185,4.8739901004069e-12
"Omicron (BA.4) - Omicron (BA.1)","Asia",0.168337762427222,0.00113742239990195,NA,0.166108455488205,0.170567069366239,4.8739901004069e-12
"Omicron (BA.4) - Omicron (BA.2)","Asia",0.0840991410095286,0.00082592986363933,NA,0.0824803482230394,0.0857179337960178,4.8739901004069e-12
"Omicron (BA.4) - Omicron (BA.3)","Asia",0.0552175932890595,0.00241965827335356,NA,0.0504751502183922,0.0599600363597269,4.8739901004069e-12
"Omicron (BA.2.74) - Omicron (BA.5)","Asia",-0.0571179686663443,0.00217289946315079,NA,-0.0613767733561463,-0.0528591639765424,4.8739901004069e-12
"Omicron (BA.2.74) - Beta","Asia",0.152456065803858,0.00644357526224373,NA,0.139826890358187,0.165085241249529,4.8739901004069e-12
"Omicron (BA.2.74) - Alpha","Asia",0.482817647467096,0.00793130566445637,NA,0.467272574014383,0.498362720919809,4.8739901004069e-12
"Omicron (BA.2.74) - Other","Asia",0.0678205254671989,0.00225253729341192,NA,0.0634056334982782,0.0722354174361196,4.8739901004069e-12
"Omicron (BA.2.74) - Delta","Asia",0.264638140996656,0.00264571184610456,NA,0.25945264106482,0.269823640928492,4.8739901004069e-12
"Omicron (BA.2.74) - Omicron (BA.1)","Asia",0.130259369129882,0.00225330734844763,NA,0.125842967880825,0.134675770378939,4.8739901004069e-12
"Omicron (BA.2.74) - Omicron (BA.2)","Asia",0.046020747712189,0.0021249192675617,NA,0.0418559824777128,0.0501855129466651,4.8739901004069e-12
"Omicron (BA.2.74) - Omicron (BA.3)","Asia",0.0171391999917199,0.00308132460065847,NA,0.011099914749752,0.0231784852336878,2.93806027540366e-06
"Omicron (BA.2.74) - Omicron (BA.4)","Asia",-0.0380783932973396,0.00225465296274721,NA,-0.0424974319019607,-0.0336593546927186,4.8739901004069e-12
"Omicron (BA.2.76) - Omicron (BA.5)","Asia",-0.0358965033763326,0.0015414718655676,NA,-0.0389177327160269,-0.0328752740366384,4.8739901004069e-12
