"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.351",18638,"East Midlands",0.001,4.50755605609736e-05,NA,0.001,0.001,2021-01-11
"P.1",18638,"East Midlands",0.001,1.53762273703366e-07,NA,0.001,0.001,2021-01-11
"B.1.617.1",18638,"East Midlands",0.001,4.01619550022568e-23,NA,0.001,0.001,2021-01-11
"B.1.617.2",18638,"East Midlands",0.001,7.42467644021883e-15,NA,0.001,0.001,2021-01-11
"B.1.1.7",18642,"East Midlands",0.829785163390027,0.00623773796650843,NA,0.817559421630673,0.842010905149382,2021-01-15
"other",18642,"East Midlands",0.0297823251788091,0.00142402905152903,NA,0.0269912795248734,0.0325733708327447,2021-01-15
"B.1.177+",18642,"East Midlands",0.140187968640047,0.00531426421989077,NA,0.129772202164731,0.150603735115363,2021-01-15
"B.1.525",18642,"East Midlands",0.001,3.39787664594554e-05,NA,0.001,0.001,2021-01-15
"B.1.351",18642,"East Midlands",0.001,5.3054358421733e-05,NA,0.001,0.001,2021-01-15
"P.1",18642,"East Midlands",0.001,2.46962776099118e-07,NA,0.001,0.001,2021-01-15
"B.1.617.1",18642,"East Midlands",0.001,2.39718638088583e-21,NA,0.001,0.001,2021-01-15
"B.1.617.2",18642,"East Midlands",0.001,4.86790561436956e-14,NA,0.001,0.001,2021-01-15
"B.1.1.7",18646,"East Midlands",0.866760763489971,0.0051028464492108,NA,0.85675936823088,0.876762158749062,2021-01-19
"other",18646,"East Midlands",0.0245611422338651,0.001206637016702,NA,0.0221961771387164,0.0269261073290139,2021-01-19
"B.1.177+",18646,"East Midlands",0.108389172766439,0.0043014443766093,NA,0.0999584967067821,0.116819848826095,2021-01-19
"B.1.525",18646,"East Midlands",0.001,3.88250415765965e-05,NA,0.001,0.001,2021-01-19
"B.1.351",18646,"East Midlands",0.001,6.16198579291258e-05,NA,0.001,0.001,2021-01-19
"P.1",18646,"East Midlands",0.001,3.84080921855709e-07,NA,0.001,0.001,2021-01-19
"B.1.617.1",18646,"East Midlands",0.001,1.12683914314511e-19,NA,0.001,0.001,2021-01-19
"B.1.617.2",18646,"East Midlands",0.001,2.91525989259185e-13,NA,0.001,0.001,2021-01-19
"B.1.1.7",18650,"East Midlands",0.895851969589409,0.00412588400157782,NA,0.887765385541927,0.903938553636892,2021-01-23
"other",18650,"East Midlands",0.0204031764901955,0.00102402027032709,NA,0.0183961336409154,0.0224102193394756,2021-01-23
"B.1.177+",18650,"East Midlands",0.0834084949174909,0.00343599996554021,NA,0.0766740587341512,0.0901429311008305,2021-01-23
"B.1.525",18650,"East Midlands",0.001,4.38056726997953e-05,NA,0.001,0.001,2021-01-23
"B.1.351",18650,"East Midlands",0.001,7.08062918333226e-05,NA,0.001,0.001,2021-01-23
"P.1",18650,"East Midlands",0.001,5.80441588714954e-07,NA,0.001,0.001,2021-01-23
"B.1.617.1",18650,"East Midlands",0.001,4.16243802283234e-18,NA,0.001,0.001,2021-01-23
"B.1.617.2",18650,"East Midlands",0.001,1.59687825155547e-12,NA,0.001,0.001,2021-01-23
"B.1.1.7",18654,"East Midlands",0.918465171645658,0.00331558139795291,NA,0.911966751517859,0.924963591773456,2021-01-27
"other",18654,"East Midlands",0.0171109549178151,0.00087318727762888,NA,0.0153995393019039,0.0188223705337263,2021-01-27
"B.1.177+",18654,"East Midlands",0.064037024953082,0.00272301809191387,NA,0.0587000075636798,0.0693740423424842,2021-01-27
"B.1.525",18654,"East Midlands",0.001,4.89143772374486e-05,NA,0.001,0.001,2021-01-27
"B.1.351",18654,"East Midlands",0.001,8.06623776736926e-05,NA,0.001,0.001,2021-01-27
"P.1",18654,"East Midlands",0.001,8.55549508864125e-07,NA,0.001,0.001,2021-01-27
"B.1.617.1",18654,"East Midlands",0.001,1.21548080343184e-16,NA,0.001,0.001,2021-01-27
"B.1.617.2",18654,"East Midlands",0.001,8.02881910570404e-12,NA,0.001,0.001,2021-01-27
"B.1.1.7",18658,"East Midlands",0.935911853216821,0.00266020329700127,NA,0.930697950563144,0.941125755870498,2021-01-31
"other",18658,"East Midlands",0.0145081036901108,0.000749938867891809,NA,0.0130382505184361,0.0159779568617855,2021-01-31
"B.1.177+",18658,"East Midlands",0.0491395816459996,0.00215004812607887,NA,0.0449255647538571,0.053353598538142,2021-01-31
"B.1.525",18658,"East Midlands",0.001,5.41508340579233e-05,NA,0.001,0.001,2021-01-31
"B.1.351",18658,"East Midlands",0.001,9.12380440269891e-05,NA,0.001,0.001,2021-01-31
"P.1",18658,"East Midlands",0.001,1.23412761498402e-06,NA,0.001,0.001,2021-01-31
"B.1.617.1",18658,"East Midlands",0.001,2.82998051949711e-15,NA,0.001,0.001,2021-01-31
"B.1.617.2",18658,"East Midlands",0.001,3.71982191560454e-11,NA,0.001,0.001,2021-01-31
"B.1.1.7",18662,"East Midlands",0.949314162716389,0.00213901951093388,NA,0.945121761512731,0.953506563920048,2021-02-04
"other",18662,"East Midlands",0.0124491619501719,0.000649941060992655,NA,0.0111753008785526,0.0137230230217913,2021-02-04
"B.1.177+",18662,"East Midlands",0.0377393730425927,0.00169708140576178,NA,0.034413154608467,0.0410655914767184,2021-02-04
"B.1.525",18662,"East Midlands",0.001,5.95148066438168e-05,NA,0.001,0.001,2021-02-04
"B.1.351",18662,"East Midlands",0.001,0.000102573941863289,NA,0.001,0.001,2021-02-04
