"LINEAGE2","DATE_NUM","REGION","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"B.1.617.1",18750,"London",0.0160726944498688,0.00278476237081559,NA,0.0106146604975679,0.0215307284021698,2021-05-03
"B.1.617.2",18750,"London",0.258754103323467,0.00786601464081377,NA,0.243336997925607,0.274171208721327,2021-05-03
"B.1.1.7",18754,"London",0.582280075850821,0.00934525590555285,NA,0.563963710849628,0.600596440852015,2021-05-07
"other",18754,"London",0.00109198564718439,8.06003918639244e-05,NA,0.001,0.0012499595123775,2021-05-07
"B.1.177+",18754,"London",0.001,1.7840321075193e-06,NA,0.001,0.001,2021-05-07
"B.1.525",18754,"London",0.00319580343526146,0.000671755103050009,NA,0.00187918762685245,0.00451241924367047,2021-05-07
"B.1.351",18754,"London",0.0176124751599454,0.00187228625910601,NA,0.0139428615233484,0.0212820887965424,2021-05-07
"P.1",18754,"London",0.0108604926421971,0.00174584830501918,NA,0.00743869284188923,0.014282292442505,2021-05-07
"B.1.617.1",18754,"London",0.0120838230252121,0.0022114597965957,NA,0.00774944147062627,0.016418204579798,2021-05-07
"B.1.617.2",18754,"London",0.372861883092433,0.00940844564507381,NA,0.354421668477585,0.39130209770728,2021-05-07
"B.1.1.7",18758,"London",0.46502065735965,0.00959133405604308,NA,0.446221988046113,0.483819326673187,2021-05-11
"other",18758,"London",0.001,7.30711378044115e-05,NA,0.001,0.00108365919140984,2021-05-11
"B.1.177+",18758,"London",0.001,1.22796276378968e-06,NA,0.001,0.001,2021-05-11
"B.1.525",18758,"London",0.00263317326869974,0.000573731050890204,NA,0.00150868107214262,0.00375766546525685,2021-05-11
"B.1.351",18758,"London",0.0147899756942242,0.00165520397017529,NA,0.011545835525613,0.0180341158628355,2021-05-11
"P.1",18758,"London",0.00965626664282212,0.00155071220656828,NA,0.00661692656756166,0.0126956067180826,2021-05-11
"B.1.617.1",18758,"London",0.00813770379660959,0.00159943948741077,NA,0.00500286000583327,0.0112725475873859,2021-05-11
"B.1.617.2",18758,"London",0.498812966012786,0.00989213983081954,NA,0.479424728214346,0.518201203811226,2021-05-11
"B.1.1.7",18762,"London",0.351161417981896,0.00877047810941163,NA,0.333971596760252,0.36835123920354,2021-05-15
"other",18762,"London",0.001,6.28493168074673e-05,NA,0.001,0.001,2021-05-15
"B.1.177+",18762,"London",0.001,7.98999683873703e-07,NA,0.001,0.001,2021-05-15
"B.1.525",18762,"London",0.00204989925142717,0.000464841252272245,NA,0.00113882713844507,0.00296097136440926,2021-05-15
"B.1.351",18762,"London",0.0117327316471712,0.00139068326116323,NA,0.00900704254138859,0.0144584207529539,2021-05-15
"P.1",18762,"London",0.00808370160756004,0.00132900361371794,NA,0.00547890238934928,0.0106885008257708,2021-05-15
"B.1.617.1",18762,"London",0.00494432853699586,0.00105394699217118,NA,0.00287863039072604,0.00701002668326569,2021-05-15
"B.1.617.2",18762,"London",0.62125379249637,0.00914947654966774,NA,0.603321147981627,0.639186437011112,2021-05-15
"B.1.1.7",18766,"London",0.252597821577767,0.00723349040250176,NA,0.238420440906347,0.266775202249186,2021-05-19
"other",18766,"London",0.001,5.15044890323593e-05,NA,0.001,0.001,2021-05-19
"B.1.177+",18766,"London",0.001,4.94644405934874e-07,NA,0.001,0.001,2021-05-19
"B.1.525",18766,"London",0.00151908164779219,0.000359561218665061,NA,0.001,0.00222380868661304,2021-05-19
"B.1.351",18766,"London",0.00885863773987833,0.00111572187975612,NA,0.00667186303879301,0.0110454124409637,2021-05-19
"P.1",18766,"London",0.00642253804894796,0.00110845738633424,NA,0.00425000149333544,0.00859507460456047,2021-05-19
"B.1.617.1",18766,"London",0.00274837473265594,0.000638123383405301,NA,0.00149767588348871,0.00399907358182318,2021-05-19
"B.1.617.2",18766,"London",0.727249972343527,0.00759389126839886,NA,0.712366218954952,0.742133725732102,2021-05-19
"B.1.1.7",18770,"London",0.174978581105029,0.0055293081669418,NA,0.1641413362384,0.185815825971658,2021-05-23
"other",18770,"London",0.001,4.06100174609844e-05,NA,0.001,0.001,2021-05-23
"B.1.177+",18770,"London",0.001,2.94469980105822e-07,NA,0.001,0.001,2021-05-23
"B.1.525",18770,"London",0.00108347091200763,0.000268242484878198,NA,0.001,0.00160921652149242,2021-05-23
"B.1.351",18770,"London",0.00643683815487658,0.000862707886243097,NA,0.00474596176866143,0.00812771454109173,2021-05-23
"P.1",18770,"London",0.00489894732457632,0.000906971361665646,NA,0.0031213161207024,0.00667657852845023,2021-05-23
"B.1.617.1",18770,"London",0.00142237207845589,0.000359979351735588,NA,0.001,0.00212791864303571,2021-05-23
"B.1.617.2",18770,"London",0.810725216165211,0.00583336292085592,NA,0.799292034931582,0.82215839739884,2021-05-23
"B.1.1.7",18774,"London",0.118009201574062,0.00403819865535691,NA,0.110094477647144,0.125923925500979,2021-05-27
"other",18774,"London",0.001,3.11678803820121e-05,NA,0.001,0.001,2021-05-27
"B.1.177+",18774,"London",0.001,1.70471199661538e-07,NA,0.001,0.001,2021-05-27
"B.1.525",18774,"London",0.001,0.000195029797920348,NA,0.001,0.00113427578973615,2021-05-27
"B.1.351",18774,"London",0.00455110420137696,0.000649551738555865,NA,0.00327800618771209,0.00582420221504183,2021-05-27
"P.1",18774,"London",0.0036291239001733,0.000732057444181494,NA,0.00219431767496313,0.00506393012538347,2021-05-27
"B.1.617.1",18774,"London",0.001,0.000192155388462512,NA,0.001,0.00107408450563636,2021-05-27
"B.1.617.2",18774,"London",0.872026949569879,0.00428370476385107,NA,0.863631042512328,0.88042285662743,2021-05-27
"B.1.1.7",18778,"London",0.0781668051131121,0.00288884227840455,NA,0.0725047782904225,0.0838288319358016,2021-05-31
"other",18778,"London",0.001,2.35187219348137e-05,NA,0.001,0.001,2021-05-31
"B.1.177+",18778,"London",0.001,9.68538217874148e-08,NA,0.001,0.001,2021-05-31
"B.1.525",18778,"London",0.001,0.000139361746564657,NA,0.001,0.001,2021-05-31
"B.1.351",18778,"London",0.00315905231531057,0.000480292736095663,NA,0.00221769585052687,0.00410040878009427,2021-05-31
"P.1",18778,"London",0.00263550375791416,0.000584525763736664,NA,0.00148985431295453,0.00378115320287379,2021-05-31
"B.1.617.1",18778,"London",0.001,9.84464863016242e-05,NA,0.001,0.001,2021-05-31
"B.1.617.2",18778,"London",0.914955449224174,0.00308627577251175,NA,0.908906459863693,0.921004438584656,2021-05-31
"B.1.1.7",18782,"London",0.051156399438299,0.00205457423818261,NA,0.0471295079278973,0.0551832909487008,2021-06-04
"other",18782,"London",0.001,1.75668685888655e-05,NA,0.001,0.001,2021-06-04
"B.1.177+",18782,"London",0.001,5.43456175737723e-08,NA,0.001,0.001,2021-06-04
"B.1.525",18782,"London",0.001,9.84261106085441e-05,NA,0.001,0.001,2021-06-04
"B.1.351",18782,"London",0.0021659369376461,0.000350771125035302,NA,0.00147843816576031,0.00285343570953189,2021-06-04
"P.1",18782,"London",0.00188861734541231,0.000462154429299189,NA,0.001,0.00279442338213438,2021-06-04
"B.1.617.1",18782,"London",0.001,4.8989333673979e-05,NA,0.001,0.001,2021-06-04
"B.1.617.2",18782,"London",0.944119911744688,0.00221466932702333,NA,0.939779239626056,0.948460583863319,2021-06-04
"B.1.1.7",18786,"London",0.0331950150853607,0.00145947865039199,NA,0.0303344894943872,0.0360555406763341,2021-06-08
"other",18786,"London",0.001,1.30332101580144e-05,NA,0.001,0.001,2021-06-08
"B.1.177+",18786,"London",0.001,3.02228360002101e-08,NA,0.001,0.001,2021-06-08
"B.1.525",18786,"London",0.001,6.89248602353164e-05,NA,0.001,0.001,2021-06-08
"B.1.351",18786,"London",0.00147219525183906,0.000253812633339784,NA,0.001,0.00196965887200631,2021-06-08
"P.1",18786,"London",0.00134099461045121,0.000361809189655111,NA,0.001,0.00205012759145085,2021-06-08
"B.1.617.1",18786,"London",0.001,2.39104151433956e-05,NA,0.001,0.001,2021-06-08
"B.1.617.2",18786,"London",0.963570397589011,0.00158975676371256,NA,0.960454531587955,0.966686263590067,2021-06-08
"B.1.1.7",18790,"London",0.0213971091482241,0.00103373929840054,NA,0.0193710173539553,0.0234232009424929,2021-06-12
"other",18790,"London",0.001,9.61585838865105e-06,NA,0.001,0.001,2021-06-12
"B.1.177+",18790,"London",0.001,1.66867408759708e-08,NA,0.001,0.001,2021-06-12
"B.1.525",18790,"London",0.001,4.79296953893208e-05,NA,0.001,0.001,2021-06-12
"B.1.351",18790,"London",0.001,0.000182212387333755,NA,0.001,0.00135111680571932,2021-06-12
"P.1",18790,"London",0.001,0.000280394915060947,NA,0.001,0.00149527370912014,2021-06-12
"B.1.617.1",18790,"London",0.001,1.15329704752151e-05,NA,0.001,0.001,2021-06-12
"B.1.617.2",18790,"London",0.976393289881296,0.00113917271201267,NA,0.97416055239358,0.978626027369011,2021-06-12
"B.1.1.7",18794,"London",0.0137279017349713,0.000728902869245065,NA,0.0122992783630231,0.0151565251069196,2021-06-16
"other",18794,"London",0.001,7.06525205280311e-06,NA,0.001,0.001,2021-06-16
"B.1.177+",18794,"London",0.001,9.1641444272973e-09,NA,0.001,0.001,2021-06-16
"B.1.525",18794,"London",0.001,3.31536851044314e-05,NA,0.001,0.001,2021-06-16
"B.1.351",18794,"London",0.001,0.000129992293425202,NA,0.001,0.001,2021-06-16
"P.1",18794,"London",0.001,0.000215310313822925,NA,0.001,0.001085828306806,2021-06-16
"B.1.617.1",18794,"London",0.001,5.51714592538144e-06,NA,0.001,0.001,2021-06-16
"B.1.617.2",18794,"London",0.984765085626912,0.000813383518942225,NA,0.983170883224167,0.986359288029658,2021-06-16
"B.1.1.7",18798,"London",0.00878076280054295,0.000511318196772973,NA,0.00777859755022796,0.00978292805085794,2021-06-20
"other",18798,"London",0.001,5.17632208162683e-06,NA,0.001,0.001,2021-06-20
"B.1.177+",18798,"London",0.001,5.01408907515144e-09,NA,0.001,0.001,2021-06-20
"B.1.525",18798,"London",0.001,2.28444427076048e-05,NA,0.001,0.001,2021-06-20
"B.1.351",18798,"London",0.001,9.22891807195879e-05,NA,0.001,0.001,2021-06-20
"P.1",18798,"London",0.001,0.000164030302041411,NA,0.001,0.001,2021-06-20
"B.1.617.1",18798,"London",0.001,2.62230908286282e-06,NA,0.001,0.001,2021-06-20
"B.1.617.2",18798,"London",0.990192249713925,0.000578289569862911,NA,0.989058822984359,0.991325676443492,2021-06-20
"B.1.1.7",18802,"London",0.00560540516939309,0.00035674801844813,NA,0.00490619190167873,0.00630461843710746,2021-06-24
"other",18802,"London",0.001,3.7843918797072e-06,NA,0.001,0.001,2021-06-24
"B.1.177+",18802,"London",0.001,2.73605364360396e-09,NA,0.001,0.001,2021-06-24
"B.1.525",18802,"London",0.001,1.56948173856141e-05,NA,0.001,0.001,2021-06-24
"B.1.351",18802,"London",0.001,6.5267266023459e-05,NA,0.001,0.001,2021-06-24
"P.1",18802,"London",0.001,0.000124116002105491,NA,0.001,0.001,2021-06-24
"B.1.617.1",18802,"London",0.001,1.23993491645324e-06,NA,0.001,0.001,2021-06-24
"B.1.617.2",18802,"London",0.99369495196712,0.000409313583138408,NA,0.992892712085785,0.994497191848454,2021-06-24
"B.1.1.7",18806,"London",0.00357381828307107,0.000247572449279538,NA,0.00308858519891881,0.00405905136722334,2021-06-28
"other",18806,"London",0.001,2.76212143240908e-06,NA,0.001,0.001,2021-06-28
"B.1.177+",18806,"London",0.001,1.48998745158342e-09,NA,0.001,0.001,2021-06-28
"B.1.525",18806,"London",0.001,1.0757761097067e-05,NA,0.001,0.001,2021-06-28
"B.1.351",18806,"London",0.001,4.60084766694003e-05,NA,0.001,0.001,2021-06-28
"P.1",18806,"London",0.001,9.3363019694188e-05,NA,0.001,0.001,2021-06-28
"B.1.617.1",18806,"London",0.001,5.83784944760826e-07,NA,0.001,0.001,2021-06-28
"B.1.617.2",18806,"London",0.995949543229631,0.000288474756032696,NA,0.995384143097358,0.996514943361904,2021-06-28
"B.1.1.7",18810,"London",0.00227669604850409,0.000170929771314994,NA,0.00194167985284104,0.00261171224416715,2021-07-02
"other",18810,"London",0.001,2.01312556548862e-06,NA,0.001,0.001,2021-07-02
"B.1.177+",18810,"London",0.001,8.10131867589915e-10,NA,0.001,0.001,2021-07-02
"B.1.525",18810,"London",0.001,7.35951750705871e-06,NA,0.001,0.001,2021-07-02
"B.1.351",18810,"London",0.001,3.23428927746294e-05,NA,0.001,0.001,2021-07-02
"P.1",18810,"London",0.001,6.98704662180743e-05,NA,0.001,0.001,2021-07-02
"B.1.617.1",18810,"London",0.001,2.73862607706913e-07,NA,0.001,0.001,2021-07-02
"B.1.617.2",18810,"London",0.997398523230316,0.000202523912836789,NA,0.997001583655148,0.997795462805484,2021-07-02
"B.1.1.7",18814,"London",0.0014496101742934,0.000117449838386696,NA,0.00121941272106543,0.00167980762752138,2021-07-06
"other",18814,"London",0.001,1.46535524297134e-06,NA,0.001,0.001,2021-07-06
"B.1.177+",18814,"London",0.001,4.39913596423793e-10,NA,0.001,0.001,2021-07-06
"B.1.525",18814,"London",0.001,5.02635228968848e-06,NA,0.001,0.001,2021-07-06
"B.1.351",18814,"London",0.001,2.26810737505792e-05,NA,0.001,0.001,2021-07-06
"P.1",18814,"London",0.001,5.20539967292773e-05,NA,0.001,0.001,2021-07-06
"B.1.617.1",18814,"London",0.001,1.28071518643578e-07,NA,0.001,0.001,2021-07-06
"B.1.617.2",18814,"London",0.998329012109671,0.000141704646945075,NA,0.998051276105216,0.998,2021-07-06
"B.1.1.7",18818,"London",0.001,8.03461274194262e-05,NA,0.001,0.00108015786712149,2021-07-10
"other",18818,"London",0.001,1.06535663071155e-06,NA,0.001,0.001,2021-07-10
"B.1.177+",18818,"London",0.001,2.38615666319326e-10,NA,0.001,0.001,2021-07-10
"B.1.525",18818,"London",0.001,3.42776378409933e-06,NA,0.001,0.001,2021-07-10
"B.1.351",18818,"London",0.001,1.58708786176267e-05,NA,0.001,0.001,2021-07-10
"P.1",18818,"London",0.001,3.86260012713918e-05,NA,0.001,0.001,2021-07-10
"B.1.617.1",18818,"London",0.001,5.97277909346824e-08,NA,0.001,0.001,2021-07-10
"B.1.617.2",18818,"London",0.998926360632208,9.88712164411032e-05,NA,0.998732576608875,0.998,2021-07-10
"B.1.1.7",18822,"London",0.001,5.47410112195637e-05,NA,0.001,0.001,2021-07-14
"other",18822,"London",0.001,7.73657922979695e-07,NA,0.001,0.001,2021-07-14
"B.1.177+",18822,"London",0.001,1.29301954669326e-10,NA,0.001,0.001,2021-07-14
"B.1.525",18822,"London",0.001,2.33442000911559e-06,NA,0.001,0.001,2021-07-14
"B.1.351",18822,"London",0.001,1.10834722760747e-05,NA,0.001,0.001,2021-07-14
"P.1",18822,"London",0.001,2.85599460231566e-05,NA,0.001,0.001,2021-07-14
"B.1.617.1",18822,"London",0.001,2.77864882522733e-08,NA,0.001,0.001,2021-07-14
"B.1.617.2",18822,"London",0.999309851370973,6.88290675738518e-05,NA,0.999174948877439,0.998,2021-07-14
"B.1.1.7",18826,"London",0.001,3.71573879344207e-05,NA,0.001,0.001,2021-07-18
"other",18826,"London",0.001,5.61202433384989e-07,NA,0.001,0.001,2021-07-18
"B.1.177+",18826,"London",0.001,7.00041271383397e-11,NA,0.001,0.001,2021-07-18
"B.1.525",18826,"London",0.001,1.58781188336971e-06,NA,0.001,0.001,2021-07-18
"B.1.351",18826,"London",0.001,7.72604105201035e-06,NA,0.001,0.001,2021-07-18
"P.1",18826,"London",0.001,2.10496341806645e-05,NA,0.001,0.001,2021-07-18
"B.1.617.1",18826,"London",0.001,1.28981880552225e-08,NA,0.001,0.001,2021-07-18
"B.1.617.2",18826,"London",0.999556109147326,4.78320612949571e-05,NA,0.999462360029882,0.998,2021-07-18
"B.1.1.7",18830,"London",0.001,2.51362019551941e-05,NA,0.001,0.001,2021-07-22
"other",18830,"London",0.001,4.06647732920131e-07,NA,0.001,0.001,2021-07-22
"B.1.177+",18830,"London",0.001,3.78688308874187e-11,NA,0.001,0.001,2021-07-22
"B.1.525",18830,"London",0.001,1.07870851472934e-06,NA,0.001,0.001,2021-07-22
"B.1.351",18830,"London",0.001,5.37653129559615e-06,NA,0.001,0.001,2021-07-22
"P.1",18830,"London",0.001,1.54694756066725e-05,NA,0.001,0.001,2021-07-22
"B.1.617.1",18830,"London",0.001,5.97514100300084e-09,NA,0.001,0.001,2021-07-22
"B.1.617.2",18830,"London",0.999714307496332,3.3199138404225e-05,NA,0.999649238380742,0.998,2021-07-22
"B.1.1.7",18834,"London",0.001,1.69512402908218e-05,NA,0.001,0.001,2021-07-26
"other",18834,"London",0.001,2.94344630392742e-07,NA,0.001,0.001,2021-07-26
"B.1.177+",18834,"London",0.001,2.04691822390639e-11,NA,0.001,0.001,2021-07-26
"B.1.525",18834,"London",0.001,7.32017968340892e-07,NA,0.001,0.001,2021-07-26
"B.1.351",18834,"London",0.001,3.73560653041136e-06,NA,0.001,0.001,2021-07-26
"P.1",18834,"London",0.001,1.13387742057262e-05,NA,0.001,0.001,2021-07-26
"B.1.617.1",18834,"London",0.001,2.76290065928228e-09,NA,0.001,0.001,2021-07-26
"B.1.617.2",18834,"London",0.999815988975769,2.30247207479332e-05,NA,0.999770861352349,0.998,2021-07-26
"B.1.1.7",18838,"London",0.001,1.13989209782971e-05,NA,0.001,0.001,2021-07-30
"other",18838,"London",0.001,2.12835313223162e-07,NA,0.001,0.001,2021-07-30
"B.1.177+",18838,"London",0.001,1.10559459363703e-11,NA,0.001,0.001,2021-07-30
"B.1.525",18838,"London",0.001,4.96221952603268e-07,NA,0.001,0.001,2021-07-30
"B.1.351",18838,"London",0.001,2.59165860744445e-06,NA,0.001,0.001,2021-07-30
"P.1",18838,"London",0.001,8.29118198771747e-06,NA,0.001,0.001,2021-07-30
"B.1.617.1",18838,"London",0.001,1.27539029638855e-09,NA,0.001,0.001,2021-07-30
"B.1.617.2",18838,"London",0.999881384728643,1.59626068990978e-05,NA,0.999850098594021,0.998,2021-07-30
"B.1.1.7",18506,"North West",0.001,6.26800425887337e-07,NA,0.001,0.001,2020-09-01
"other",18506,"North West",0.638856057559284,0.00664452448359244,NA,0.625833028877049,0.65187908624152,2020-09-01
"B.1.177+",18506,"North West",0.361137942142316,0.00664451473313228,NA,0.348114932570631,0.374160951714001,2020-09-01
"B.1.525",18506,"North West",0.001,4.37199898129722e-11,NA,0.001,0.001,2020-09-01
"B.1.351",18506,"North West",0.001,4.34801210080822e-12,NA,0.001,0.001,2020-09-01
"P.1",18506,"North West",0.001,1.4037913113847e-21,NA,0.001,0.001,2020-09-01
"B.1.617.1",18506,"North West",0.001,9.15454982794973e-123,NA,0.001,0.001,2020-09-01
"B.1.617.2",18506,"North West",0.001,8.46810507324424e-58,NA,0.001,0.001,2020-09-01
"B.1.1.7",18510,"North West",0.001,9.80123570208589e-07,NA,0.001,0.001,2020-09-05
"other",18510,"North West",0.605964516879866,0.00658692442321702,NA,0.593054382241473,0.618874651518258,2020-09-05
"B.1.177+",18510,"North West",0.394025708849527,0.00658690789936458,NA,0.38111560659729,0.406935811101764,2020-09-05
"B.1.525",18510,"North West",0.001,8.09672361721322e-11,NA,0.001,0.001,2020-09-05
"B.1.351",18510,"North West",0.001,8.435605580988e-12,NA,0.001,0.001,2020-09-05
"P.1",18510,"North West",0.001,5.05091355115074e-21,NA,0.001,0.001,2020-09-05
"B.1.617.1",18510,"North West",0.001,3.32782036747723e-119,NA,0.001,0.001,2020-09-05
"B.1.617.2",18510,"North West",0.001,3.04973716673417e-56,NA,0.001,0.001,2020-09-05
"B.1.1.7",18514,"North West",0.001,1.5224559878364e-06,NA,0.001,0.001,2020-09-09
"other",18514,"North West",0.572157064832141,0.00647308966242061,NA,0.559470042225098,0.584844087439184,2020-09-09
"B.1.177+",18514,"North West",0.427827092660673,0.00647306078291472,NA,0.415140126656421,0.440514058664924,2020-09-09
"B.1.525",18514,"North West",0.001,1.49009252666067e-10,NA,0.001,0.001,2020-09-09
"B.1.351",18514,"North West",0.001,1.62643564413373e-11,NA,0.001,0.001,2020-09-09
"P.1",18514,"North West",0.001,1.80559794849326e-20,NA,0.001,0.001,2020-09-09
"B.1.617.1",18514,"North West",0.001,1.19708684980403e-115,NA,0.001,0.001,2020-09-09
"B.1.617.2",18514,"North West",0.001,1.08983260544294e-54,NA,0.001,0.001,2020-09-09
"B.1.1.7",18518,"North West",0.001,2.34799002940207e-06,NA,0.001,0.001,2020-09-13
"other",18518,"North West",0.537821971261195,0.00630839397263383,NA,0.525457746274543,0.550186196247847,2020-09-13
"B.1.177+",18518,"North West",0.46215249002126,0.0063083425218868,NA,0.449788365876219,0.4745166141663,2020-09-13
"B.1.525",18518,"North West",0.001,2.72353110941125e-10,NA,0.001,0.001,2020-09-13
"B.1.351",18518,"North West",0.001,3.11448516257425e-11,NA,0.001,0.001,2020-09-13
"P.1",18518,"North West",0.001,6.40603660127198e-20,NA,0.001,0.001,2020-09-13
"B.1.617.1",18518,"North West",0.001,4.23131557189467e-112,NA,0.001,0.001,2020-09-13
"B.1.617.2",18518,"North West",0.001,3.85413335948793e-53,NA,0.001,0.001,2020-09-13
"B.1.1.7",18522,"North West",0.001,3.59376934917777e-06,NA,0.001,0.001,2020-09-17
"other",18522,"North West",0.503370921097292,0.00610075048275251,NA,0.491413669872431,0.515328172322152,2020-09-17
"B.1.177+",18522,"North West",0.496588147448928,0.00610065827274052,NA,0.48463107695237,0.508545217945486,2020-09-17
"B.1.525",18522,"North West",0.001,4.94134927989899e-10,NA,0.001,0.001,2020-09-17
"B.1.351",18522,"North West",0.001,5.92020687965275e-11,NA,0.001,0.001,2020-09-17
"P.1",18522,"North West",0.001,2.25344653004593e-19,NA,0.001,0.001,2020-09-17
"B.1.617.1",18522,"North West",0.001,1.45944545246304e-108,NA,0.001,0.001,2020-09-17
"B.1.617.2",18522,"North West",0.001,1.34539644692317e-51,NA,0.001,0.001,2020-09-17
"B.1.1.7",18526,"North West",0.001,5.45710721406435e-06,NA,0.001,0.001,2020-09-21
"other",18526,"North West",0.469218628476751,0.00585985058177214,NA,0.457733532381691,0.48070372457181,2020-09-21
"B.1.177+",18526,"North West",0.530716165818517,0.00585968632579219,NA,0.519231391659262,0.542200939977772,2020-09-21
"B.1.525",18526,"North West",0.001,8.89550368289718e-10,NA,0.001,0.001,2020-09-21
"B.1.351",18526,"North West",0.001,1.11660717598051e-10,NA,0.001,0.001,2020-09-21
"P.1",18526,"North West",0.001,7.85246399303228e-19,NA,0.001,0.001,2020-09-21
"B.1.617.1",18526,"North West",0.001,4.87843831283717e-105,NA,0.001,0.001,2020-09-21
"B.1.617.2",18526,"North West",0.001,4.62441514339034e-50,NA,0.001,0.001,2020-09-21
"B.1.1.7",18530,"North West",0.001,8.21919905627843e-06,NA,0.001,0.001,2020-09-25
"other",18530,"North West",0.435762325490668,0.0055962159097659,NA,0.424793943857817,0.446730707123519,2020-09-25
"B.1.177+",18530,"North West",0.564134443464244,0.00559592789311686,NA,0.553166626333652,0.575102260594836,2020-09-25
"B.1.525",18530,"North West",0.001,1.58840795572761e-09,NA,0.001,0.001,2020-09-25
"B.1.351",18530,"North West",0.001,2.08894093611813e-10,NA,0.001,0.001,2020-09-25
"P.1",18530,"North West",0.001,2.70840972806416e-18,NA,0.001,0.001,2020-09-25
"B.1.617.1",18530,"North West",0.001,1.56967469470102e-101,NA,0.001,0.001,2020-09-25
"B.1.617.2",18530,"North West",0.001,1.56138671517591e-48,NA,0.001,0.001,2020-09-25
"B.1.1.7",18534,"North West",0.001,1.22768173092065e-05,NA,0.001,0.001,2020-09-29
"other",18534,"North West",0.4033632358547,0.00532021693926876,NA,0.392935802263793,0.413790669445607,2020-09-29
"B.1.177+",18534,"North West",0.596474361742926,0.00531972344127332,NA,0.586047895390317,0.606900828095535,2020-09-29
"B.1.525",18534,"North West",0.001,2.8126026552696e-09,NA,0.001,0.001,2020-09-29
"B.1.351",18534,"North West",0.001,3.87523124937232e-10,NA,0.001,0.001,2020-09-29
"P.1",18534,"North West",0.001,9.23964600461211e-18,NA,0.001,0.001,2020-09-29
"B.1.617.1",18534,"North West",0.001,4.82907588868182e-98,NA,0.001,0.001,2020-09-29
"B.1.617.2",18534,"North West",0.001,5.16665712357987e-47,NA,0.001,0.001,2020-09-29
"B.1.1.7",18538,"North West",0.001,1.81844469891882e-05,NA,0.001,0.001,2020-10-03
"other",18538,"North West",0.372331792647227,0.00504121288032083,NA,0.362451196963399,0.382212388331055,2020-10-03
"B.1.177+",18538,"North West",0.62741433047364,0.00504039117886231,NA,0.617535345295076,0.637293315652203,2020-10-03
"B.1.525",18538,"North West",0.001,4.93771800449599e-09,NA,0.001,0.001,2020-10-03
"B.1.351",18538,"North West",0.001,7.1273406018577e-10,NA,0.001,0.001,2020-10-03
"P.1",18538,"North West",0.001,3.11559194221755e-17,NA,0.001,0.001,2020-10-03
"B.1.617.1",18538,"North West",0.001,1.41111665263583e-94,NA,0.001,0.001,2020-10-03
"B.1.617.2",18538,"North West",0.001,1.67179041134376e-45,NA,0.001,0.001,2020-10-03
"B.1.1.7",18542,"North West",0.001,2.6709758672416e-05,NA,0.001,0.001,2020-10-07
"other",18542,"North West",0.342917705194581,0.00476693304215698,NA,0.333574688115239,0.352260722273922,2020-10-07
"B.1.177+",18542,"North West",0.65668791248438,0.00476560951399136,NA,0.647347489472576,0.666028335496185,2020-10-07
"B.1.525",18542,"North West",0.001,8.59319398050865e-09,NA,0.001,0.001,2020-10-07
"B.1.351",18542,"North West",0.001,1.2994259451652e-09,NA,0.001,0.001,2020-10-07
"P.1",18542,"North West",0.001,1.03777765356729e-16,NA,0.001,0.001,2020-10-07
"B.1.617.1",18542,"North West",0.001,3.8908856040968e-91,NA,0.001,0.001,2020-10-07
"B.1.617.2",18542,"North West",0.001,5.27809748859438e-44,NA,0.001,0.001,2020-10-07
"B.1.1.7",18546,"North West",0.001,3.89058924130035e-05,NA,0.001,0.001,2020-10-11
"other",18546,"North West",0.315305211726988,0.00450316004392798,NA,0.30647918022427,0.324131243229707,2020-10-11
"B.1.177+",18546,"North West",0.684085942914832,0.00450110680338048,NA,0.675263935689638,0.692907950140026,2020-10-11
"B.1.525",18546,"North West",0.001,1.48233759096785e-08,NA,0.001,0.001,2020-10-11
"B.1.351",18546,"North West",0.001,2.34812559215523e-09,NA,0.001,0.001,2020-10-11
"P.1",18546,"North West",0.001,3.41268387340623e-16,NA,0.001,0.001,2020-10-11
"B.1.617.1",18546,"North West",0.001,1.005724267791e-87,NA,0.001,0.001,2020-10-11
"B.1.617.2",18546,"North West",0.001,1.62241647355273e-42,NA,0.001,0.001,2020-10-11
"B.1.1.7",18550,"North West",0.001,5.62045691628712e-05,NA,0.001,0.0010443155314634,2020-10-15
"other",18550,"North West",0.289613140329516,0.00425370800401114,NA,0.281276025840905,0.297950254818128,2020-10-15
"B.1.177+",18550,"North West",0.709452675571907,0.00425065644143546,NA,0.70112154203604,0.717783809107774,2020-10-15
"B.1.525",18550,"North West",0.001,2.53433868317519e-08,NA,0.001,0.001,2020-10-15
"B.1.351",18550,"North West",0.001,4.20529879988865e-09,NA,0.001,0.001,2020-10-15
"P.1",18550,"North West",0.001,1.1073189759275e-15,NA,0.001,0.001,2020-10-15
"B.1.617.1",18550,"North West",0.001,2.42114653250431e-84,NA,0.001,0.001,2020-10-15
"B.1.617.2",18550,"North West",0.001,4.84518578625702e-41,NA,0.001,0.001,2020-10-15
"B.1.1.7",18554,"North West",0.0014246896051618,8.05343962144188e-05,NA,0.00126684508906486,0.00158253412125873,2020-10-19
"other",18554,"North West",0.265898867062667,0.0040206326493354,NA,0.258018571874903,0.27377916225043,2020-10-19
"B.1.177+",18554,"North West",0.732676393934379,0.00401632249247105,NA,0.724804546498838,0.74054824136992,2020-10-19
