"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Alpha",18532,0.000137343287421909,4.1969235934513e-05,NA,5.50850965315994e-05,0.000219601478312219,2020-09-27
"Beta",18532,2.35999499886319e-06,1.90741608794079e-06,NA,-1.37847183703305e-06,6.09846183475943e-06,2020-09-27
"Gamma",18532,1.79636893916025e-10,2.01633885868012e-10,NA,-2.15558260448137e-10,5.74832048280188e-10,2020-09-27
"Delta",18532,1.38732044644301e-12,2.19379110258261e-12,NA,-2.91243110422331e-12,5.68707199710934e-12,2020-09-27
"Omicron (BA.2)",18532,1.57097244455891e-80,9.94564986450898e-80,NA,-1.79221430927244e-79,2.10640879818422e-79,2020-09-27
"Omicron (BA.3)",18532,5.47148895714499e-43,1.99639506209317e-41,NA,-3.85814753104476e-41,3.96757731018766e-41,2020-09-27
"Omicron (BA.1.1, with S:R346K)",18532,1.17412826855464e-51,4.73120578716815e-51,NA,-8.09886467774241e-51,1.04471212148517e-50,2020-09-27
"Omicron (BA.4)",18532,1.51844945570629e-27,5.61544163006704e-27,NA,-9.48761389651199e-27,1.25245128079246e-26,2020-09-27
"Omicron (BA.5)",18532,7.88789040392755e-50,3.39885485586802e-49,NA,-5.87284406578764e-49,7.45042214657315e-49,2020-09-27
"Omicron (BA.1)",18539,1.01493119846801e-38,3.62177527050235e-38,NA,-6.0836178918144e-38,8.11348028875043e-38,2020-10-04
"Other",18539,0.999738941845477,7.33545832903109e-05,NA,0.999595169504127,0.999882714186827,2020-10-04
"Alpha",18539,0.000255520902019134,7.23877079623602e-05,NA,0.000113643601489505,0.000397398202548763,2020-10-04
"Beta",18539,5.53659519770966e-06,4.13993668952874e-06,NA,-2.57753161204266e-06,1.3650722007462e-05,2020-10-04
"Gamma",18539,6.53058519396023e-10,6.85603217087233e-10,NA,-6.90699093779749e-10,1.99681613257179e-09,2020-10-04
"Delta",18539,4.24726592286465e-12,6.39480220051935e-12,NA,-8.28631607841075e-12,1.67808479241401e-11,2020-10-04
"Omicron (BA.2)",18539,1.37548188919914e-80,8.80884633775619e-80,NA,-1.58895396781505e-79,1.86405034565488e-79,2020-10-04
"Omicron (BA.3)",18539,1.58875327094745e-43,5.85809414079247e-42,NA,-1.13227782069036e-41,1.16405288610931e-41,2020-10-04
"Omicron (BA.1.1, with S:R346K)",18539,1.39606610973945e-52,5.7119966284307e-52,NA,-9.79924156179893e-52,1.25913737812778e-51,2020-10-04
"Omicron (BA.4)",18539,1.35535850194109e-26,5.08259946229091e-26,NA,-8.60635339199173e-26,1.13170703958739e-25,2020-10-04
"Omicron (BA.5)",18539,1.49392789105457e-49,6.52103317769991e-49,NA,-1.1287062279228e-48,1.42749180613372e-48,2020-10-04
"Omicron (BA.1)",18546,2.37960782564076e-39,8.60409136432409e-39,NA,-1.44841013681266e-38,1.92433170194081e-38,2020-10-11
"Other",18546,0.999518210418676,0.000124840543514863,NA,0.999273527449576,0.999762893387775,2020-10-11
"Alpha",18546,0.000469112552581939,0.000122751942834947,NA,0.000228523165593123,0.000709701939570755,2020-10-11
"Beta",18546,1.26747096338499e-05,8.73495328019286e-06,NA,-4.4454842019681e-06,2.97949034696679e-05,2020-10-11
"Gamma",18546,2.30630048441381e-09,2.2581925682488e-09,NA,-2.11967561950985e-09,6.73227658833747e-09,2020-10-11
"Delta",18546,1.28080227863295e-11,1.83326992209973e-11,NA,-2.31234074262308e-11,4.87394529988897e-11,2020-10-11
"Omicron (BA.2)",18546,1.32466936572956e-80,8.57382869302221e-80,NA,-1.54797260822101e-79,1.81290648136692e-79,2020-10-11
"Omicron (BA.3)",18546,5.00678933452995e-44,1.86389948035366e-42,NA,-3.6031079589508e-42,3.70324374564139e-42,2020-10-11
"Omicron (BA.1.1, with S:R346K)",18546,1.87654687112038e-53,7.7875588876479e-53,NA,-1.33867880761543e-52,1.71398818183951e-52,2020-10-11
"Omicron (BA.4)",18546,1.16270582728435e-25,4.41745889825556e-25,NA,-7.49535451648253e-25,9.82076617105123e-25,2020-10-11
"Omicron (BA.5)",18546,2.90207055641721e-49,1.28263671978686e-48,NA,-2.22371472038912e-48,2.80412883167257e-48,2020-10-11
"Omicron (BA.1)",18553,6.12341555516688e-40,2.24121366501818e-39,NA,-3.78035650957796e-39,5.00503962061134e-39,2020-10-18
"Other",18553,0.999122210231322,0.000208875026599805,NA,0.998712822701916,0.999531597760727,2020-10-18
"Alpha",18553,0.00084949075318475,0.000204480689213414,NA,0.000448715966792531,0.00125026553957697,2020-10-18
"Beta",18553,2.82910726818181e-05,1.78955336887247e-05,NA,-6.78352883220555e-06,6.33656741958418e-05,2020-10-18
"Gamma",18553,7.90478628112196e-09,7.19673139263283e-09,NA,-6.20054805484717e-09,2.20101206170911e-08,2020-10-18
"Delta",18553,3.80254346878513e-11,5.16578726558527e-11,NA,-6.32221352355765e-11,1.39273004611279e-10,2020-10-18
"Omicron (BA.2)",18553,1.40701279982878e-80,9.19539343904521e-80,NA,-1.66156271643757e-79,1.94296527640333e-79,2020-10-18
"Omicron (BA.3)",18553,1.71638908635051e-44,6.44536084512062e-43,NA,-1.2461036215166e-42,1.28043140324361e-42,2020-10-18
"Omicron (BA.1.1, with S:R346K)",18553,2.86150181394983e-54,1.20317597935719e-53,NA,-2.07203140520881e-53,2.64433176799878e-53,2020-10-18
"Omicron (BA.4)",18553,9.57462891769691e-25,3.682240458753e-24,NA,-6.25959578980243e-24,8.17452157334181e-24,2020-10-18
"Omicron (BA.5)",18553,5.78604362470837e-49,2.58805783327486e-48,NA,-4.49389578065465e-48,5.65110450559633e-48,2020-10-18
"Omicron (BA.1)",18560,1.73377644698958e-40,6.41713786570807e-40,NA,-1.08435826536265e-39,1.43111355476056e-39,2020-10-25
"Other",18560,0.998421942030429,0.000343262927015216,NA,0.997749159056251,0.999094725004607,2020-10-25
"Alpha",18560,0.00151651379299826,0.000334273907346748,NA,0.000861348973627159,0.00217167861236937,2020-10-25
"Beta",18560,6.15177957597253e-05,3.55540607837674e-05,NA,-8.16688288060668e-06,0.000131202474400057,2020-10-25
"Gamma",18560,2.62697311166031e-08,2.21650441022793e-08,NA,-1.71729570396062e-08,6.97124192728125e-08,2020-10-25
"Delta",18560,1.11081916159135e-10,1.42980251946801e-10,NA,-1.69154228157058e-10,3.91318060475327e-10,2020-10-25
"Omicron (BA.2)",18560,1.65263296880182e-80,1.08956494768656e-79,NA,-1.97024475940274e-79,2.3007713531631e-79,2020-10-25
"Omicron (BA.3)",18560,6.41512444965313e-45,2.42778235339186e-43,NA,-4.6942147304534e-43,4.82251721944646e-43,2020-10-25
"Omicron (BA.1.1, with S:R346K)",18560,4.96714755431572e-55,2.1138163355822e-54,NA,-3.64628913224198e-54,4.63971864310512e-54,2020-10-25
"Omicron (BA.4)",18560,7.55905200669972e-24,2.94005819380022e-23,NA,-5.00650297163035e-23,6.51831337297029e-23,2020-10-25
"Omicron (BA.5)",18560,1.1847094718214e-48,5.36022934127316e-48,NA,-9.32114698594886e-48,1.16905659295917e-47,2020-10-25
"Omicron (BA.1)",18567,5.41452950561696e-41,2.02455854805858e-40,NA,-3.42660888822582e-40,4.50951478934921e-40,2020-11-01
"Other",18567,0.997202403330087,0.000553445597739813,NA,0.996117669891114,0.998287136769059,2020-11-01
"Alpha",18567,0.00266732453284103,0.000535609368265162,NA,0.00161754946125906,0.003717099604423,2020-11-01
"Beta",18567,0.00013018725955794,6.83998597367437e-05,NA,-3.87400207366934e-06,0.000264248521189548,2020-11-01
"Gamma",18567,8.45584256204624e-08,6.58844593574362e-08,NA,-4.45727418610054e-08,2.1368959310193e-07,2020-11-01
