"LINEAGE","DATE_NUM","prob","SE","df","asymp.LCL","asymp.UCL","collection_date"
"Other",18644,0.653048051822112,0.0100928880980156,NA,0.633266354650008,0.672829748994215,2021-01-17
"Alpha",18644,0.302064284156219,0.00953501217325194,NA,0.283376003704494,0.320752564607944,2021-01-17
"Beta",18644,0.0427198223782659,0.00422620175177015,NA,0.0344366191533963,0.0510030256031355,2021-01-17
"Gamma",18644,0.00216069019862767,0.00048269580504782,NA,0.00121462380524538,0.00310675659200997,2021-01-17
"Delta",18644,7.15144476787885e-06,4.02248152015135e-06,NA,-7.32474140095722e-07,1.50353636758534e-05,2021-01-17
"Omicron (BA.2)",18644,5.5177344407179e-76,3.74431678934824e-75,NA,-6.78695260975941e-75,7.89049949790299e-75,2021-01-17
"Omicron (BA.3)",18644,6.56664442027865e-47,2.53293633471196e-45,NA,-4.89879754696555e-45,5.03013043537112e-45,2021-01-17
"Omicron (BA.1.1, with S:R346K)",18644,2.33469537855011e-59,1.05172875469353e-58,NA,-1.82788094284948e-58,2.2948200185595e-58,2021-01-17
"Omicron (BA.4)",18644,7.98373091658738e-15,3.30114020601103e-14,NA,-5.67174282004001e-14,7.26848900335748e-14,2021-01-17
"Omicron (BA.5)",18644,4.42414313568379e-44,2.20654878034938e-43,NA,-3.88234182604719e-43,4.76717045318395e-43,2021-01-17
"Omicron (BA.1)",18651,1.58651650401891e-43,6.15518436653873e-43,NA,-1.0477423172601e-42,1.36504561806388e-42,2021-01-24
"Other",18651,0.567199717472701,0.0092352222310959,NA,0.54909901451053,0.585300420434873,2021-01-24
"Alpha",18651,0.375908485421366,0.00891625631907282,NA,0.358432944159055,0.393384026683676,2021-01-24
"Beta",18651,0.0529843258382291,0.00420829333780943,NA,0.0447362224597427,0.0612324292167154,2021-01-24
"Gamma",18651,0.00389318389611868,0.000735273407509138,NA,0.00245207449861073,0.00533429329362663,2021-01-24
"Delta",18651,1.42873715563469e-05,7.34523906103785e-06,NA,-1.09032461124077e-07,2.86837755738179e-05,2021-01-24
"Omicron (BA.2)",18651,2.70869441507119e-75,1.82972317443477e-74,NA,-3.31532208206333e-74,3.85706096507757e-74,2021-01-24
"Omicron (BA.3)",18651,8.1848184678669e-47,3.14090445714138e-45,NA,-6.07421143019975e-45,6.23790779955709e-45,2021-01-24
"Omicron (BA.1.1, with S:R346K)",18651,2.6612336492812e-59,1.19509733587967e-58,NA,-2.0762243714158e-58,2.60847110127204e-58,2021-01-24
"Omicron (BA.4)",18651,2.9280306560433e-14,1.20889116975411e-13,NA,-2.07658008834223e-13,2.66218621955089e-13,2021-01-24
"Omicron (BA.5)",18651,1.18706486750569e-43,5.94977723502464e-43,NA,-1.04742842291789e-42,1.28484139641903e-42,2021-01-24
"Omicron (BA.1)",18658,1.94412597197044e-43,7.50614118980494e-43,NA,-1.27676404229199e-42,1.66558923668608e-42,2021-01-31
"Other",18658,0.482133167644892,0.00811134543987974,NA,0.466235222716565,0.498031112573219,2021-01-31
"Alpha",18658,0.449085889937472,0.0080236069213231,NA,0.433359909345572,0.464811870529371,2021-01-31
"Beta",18658,0.0621788619965029,0.00400495882800801,NA,0.0543292869340415,0.0700284370589644,2021-01-31
"Gamma",18658,0.00657474413330556,0.00103467621980088,NA,0.0045468160068358,0.00860267225977533,2021-01-31
"Delta",18658,2.73362877285589e-05,1.27864617094985e-05,NA,2.27528328824138e-06,5.23972921688764e-05,2021-01-31
"Omicron (BA.2)",18658,1.49664187939439e-74,1.00513861156891e-73,NA,-1.82037129020622e-73,2.1196996660851e-73,2021-01-31
"Omicron (BA.3)",18658,1.12390858813198e-46,4.28578913567786e-45,NA,-8.28760149244845e-45,8.51238321007484e-45,2021-01-31
"Omicron (BA.1.1, with S:R346K)",18658,3.55303517678335e-59,1.58846524017382e-58,NA,-2.75803114375613e-58,3.46863817911279e-58,2021-01-31
"Omicron (BA.4)",18658,9.916822455712e-14,4.08374737663693e-13,NA,-7.01231553459711e-13,8.99568002573951e-13,2021-01-31
"Omicron (BA.5)",18658,3.23496807271518e-43,1.62876949661669e-42,NA,-2.86883274521463e-42,3.51582635975767e-42,2021-01-31
"Omicron (BA.1)",18665,2.67902401233107e-43,1.02791100644399e-42,NA,-1.74676615070943e-42,2.28257095317564e-42,2021-02-07
"Other",18665,0.402847683681848,0.007032616823362,NA,0.389064007990988,0.416631359372708,2021-02-07
"Alpha",18665,0.517256130279547,0.00713011891372549,NA,0.503281354003157,0.531230906555937,2021-02-07
"Beta",18665,0.0694046348222231,0.00374003494188344,NA,0.0620743010352102,0.076734968609236,2021-02-07
"Gamma",18665,0.0104412841349728,0.00134781710158331,NA,0.00779961115812235,0.0130829571118232,2021-02-07
"Delta",18665,5.02670810985249e-05,2.12863105111004e-05,NA,8.54667913303171e-06,9.19874830640181e-05,2021-02-07
"Omicron (BA.2)",18665,9.36955691414392e-74,6.2482520538812e-73,NA,-1.13093933005212e-72,1.318330468335e-72,2021-02-07
"Omicron (BA.3)",18665,1.71156182983472e-46,6.47763090966085e-45,NA,-1.25247671050952e-44,1.28670794710622e-44,2021-02-07
"Omicron (BA.1.1, with S:R346K)",18665,5.5969172341287e-59,2.48756953315156e-58,NA,-4.31585497060331e-58,5.43523841742905e-58,2021-02-07
"Omicron (BA.4)",18665,3.10702678210316e-13,1.27471956186668e-12,NA,-2.18770175343706e-12,2.80910710985769e-12,2021-02-07
"Omicron (BA.5)",18665,9.00348847888826e-43,4.55195423813207e-42,NA,-8.0213175181245e-42,9.82201521390215e-42,2021-02-07
"Omicron (BA.1)",18672,4.18346626996225e-43,1.59282215345187e-42,NA,-2.70352742754697e-42,3.54022068153942e-42,2021-02-14
"Other",18672,0.332685726741598,0.00615573421443084,NA,0.320620709382913,0.344750744100284,2021-02-14
"Alpha",18672,0.577454680601134,0.00641359615082576,NA,0.56488426313413,0.590025098068137,2021-02-14
"Beta",18672,0.0741058827261528,0.003528366098062,NA,0.0671904122496792,0.0810213532026265,2021-02-14
"Gamma",18672,0.015664459453682,0.00163283364642604,NA,0.0124641643139418,0.0188647545934223,2021-02-14
"Delta",18672,8.92504765298191e-05,3.40352605191053e-05,NA,2.25425917079347e-05,0.000155958361351704,2021-02-14
"Omicron (BA.2)",18672,6.69829690977499e-73,4.42956590942666e-72,NA,-8.01195995864516e-72,9.35161934060016e-72,2021-02-14
"Omicron (BA.3)",18672,2.91381861010069e-46,1.09309425148086e-44,NA,-2.11328717850925e-44,2.17156355071126e-44,2021-02-14
"Omicron (BA.1.1, with S:R346K)",18672,1.04917781098114e-58,4.62902914896628e-58,NA,-8.02355260437887e-58,1.01219082263412e-57,2021-02-14
"Omicron (BA.4)",18672,9.0341134727198e-13,3.68836216470271e-12,NA,-6.32564565748551e-12,8.13246835202947e-12,2021-02-14
"Omicron (BA.5)",18672,2.57599550875325e-42,1.30730552362973e-41,NA,-2.30467219222923e-41,2.81987129397988e-41,2021-02-14
"Omicron (BA.1)",18679,7.4639805164835e-43,2.81572697074844e-42,NA,-4.77232540131666e-42,6.26512150461337e-42,2021-02-21
"Other",18679,0.273127285217826,0.00547194925010844,NA,0.262402461762383,0.28385210867327,2021-02-21
"Alpha",18679,0.628309410951447,0.00591134775262092,NA,0.616723382256218,0.639895439646676,2021-02-21
"Beta",18679,0.0760970875167819,0.00341471319778455,NA,0.0694043726315906,0.0827898024019732,2021-02-21
"Gamma",18679,0.0223124227704842,0.00185522829028942,NA,0.0186762421384171,0.0259486034025513,2021-02-21
"Delta",18679,0.000153793541013028,5.25167693329968e-05,NA,5.08625645359566e-05,0.000256724517490099,2021-02-21
"Omicron (BA.2)",18679,5.5139866743449e-72,3.61093683203767e-71,NA,-6.52590747380851e-71,7.62870480867749e-71,2021-02-21
"Omicron (BA.3)",18679,5.59260989252313e-46,2.07684536153655e-44,NA,-4.01461601114548e-44,4.12646820899594e-44,2021-02-21
"Omicron (BA.1.1, with S:R346K)",18679,2.36186351165878e-58,1.03287848789824e-57,NA,-1.78821828552086e-57,2.26059098785261e-57,2021-02-21
"Omicron (BA.4)",18679,2.44764039833975e-12,9.93241755677957e-12,NA,-1.70195402923615e-11,2.1914821089041e-11,2021-02-21
"Omicron (BA.5)",18679,7.62816859829027e-42,3.88471418110375e-41,NA,-6.85108302536633e-41,8.37671674502439e-41,2021-02-21
"Omicron (BA.1)",18686,1.53395273171932e-42,5.72434077900111e-42,NA,-9.6855490303568e-42,1.27534544937954e-41,2021-02-28
"Other",18686,0.224149427783577,0.00490366925803734,NA,0.214538412645727,0.233760442921426,2021-02-28
"Alpha",18686,0.669772175391469,0.00556040769643356,NA,0.6588739765671,0.680670374215838,2021-02-28
"Beta",18686,0.0754982653503135,0.00336072407770146,NA,0.0689113671960421,0.082085163504585,2021-02-28
"Gamma",18686,0.0303216519940699,0.00200713917026497,NA,0.026387731508391,0.0342555724797489,2021-02-28
"Delta",18686,0.000258479474365588,7.85595916581677e-05,NA,0.000104505504075407,0.00041245344465577,2021-02-28
"Omicron (BA.2)",18686,5.26975101379529e-71,3.41250120896834e-70,NA,-6.16140436539782e-70,7.21535456815687e-70,2021-02-28
"Omicron (BA.3)",18686,1.22019367230185e-45,4.47928111677348e-44,NA,-8.65721029827618e-44,8.90124903273655e-44,2021-02-28
"Omicron (BA.1.1, with S:R346K)",18686,6.44306677334086e-58,2.78835999625672e-57,NA,-4.82077849126133e-57,6.1093918459295e-57,2021-02-28
"Omicron (BA.4)",18686,6.20537550362726e-12,2.49977741345973e-11,NA,-4.27893614938504e-11,5.52001125011049e-11,2021-02-28
"Omicron (BA.5)",18686,2.35298073479927e-41,1.20210244218573e-40,NA,-2.12077941893175e-40,2.5913755658916e-40,2021-02-28
"Omicron (BA.1)",18693,3.65923331246864e-42,1.34854243341232e-41,NA,-2.27717126986529e-41,3.00901793235902e-41,2021-03-07
"Other",18693,0.184797311639946,0.00439049819091806,NA,0.176192093311558,0.193402529968333,2021-03-07
"Alpha",18693,0.702657722418597,0.00527610869849794,NA,0.692316739391022,0.712998705446171,2021-03-07
"Beta",18693,0.0726372954753639,0.00329233686483623,NA,0.0661844337953114,0.0790901571554164,2021-03-07
"Gamma",18693,0.0394820528989251,0.00212090606639686,NA,0.0353251533941947,0.0436389524036555,2021-03-07
"Delta",18693,0.000425617552388936,0.000114391730089817,NA,0.000201413881283667,0.000649821223494205,2021-03-07
"Omicron (BA.2)",18693,5.89247378487362e-70,3.76744933555742e-69,NA,-6.79481763278453e-69,7.97331238975925e-69,2021-03-07
"Omicron (BA.3)",18693,3.04947134762722e-45,1.10498998146766e-43,NA,-2.13524585347792e-43,2.19623528043046e-43,2021-03-07
"Omicron (BA.1.1, with S:R346K)",18693,2.1482835368823e-57,9.18507063556352e-57,NA,-1.58541241042786e-56,2.01506911780432e-56,2021-03-07
"Omicron (BA.4)",18693,1.47796273871859e-11,5.90302401582048e-11,NA,-1.00917517321645e-10,1.30476772096017e-10,2021-03-07
"Omicron (BA.5)",18693,7.603521223046e-41,3.89598149427903e-40,NA,-6.87563129091683e-40,8.39633553552603e-40,2021-03-07
"Omicron (BA.1)",18700,1.02036746951902e-41,3.70695970730039e-41,NA,-6.24514004893088e-41,8.28587498796891e-41,2021-03-14
"Other",18700,0.153699242464355,0.00391046362734628,NA,0.146034874591903,0.161363610336808,2021-03-14
"Alpha",18700,0.728215499432611,0.00500884269682277,NA,0.718398348142611,0.73803265072261,2021-03-14
"Beta",18700,0.0679585773806137,0.00315395716608633,NA,0.0617769349263025,0.0741402198349249,2021-03-14
"Gamma",18700,0.0494374233982008,0.00226071046715551,NA,0.0450065123031033,0.0538683344932983,2021-03-14
"Delta",18700,0.00068925729103651,0.000162686097083639,NA,0.000370398399967191,0.00100811618210583,2021-03-14
"Omicron (BA.2)",18700,7.76372103058435e-69,4.89314951330578e-68,NA,-8.8140247139906e-68,1.03667689201075e-67,2021-03-14
"Omicron (BA.3)",18700,8.79035685828099e-45,3.13923566294098e-43,NA,-6.06488526976523e-43,6.24069240693085e-43,2021-03-14
"Omicron (BA.1.1, with S:R346K)",18700,8.82483767286972e-57,3.72104722639479e-56,NA,-6.41063478121947e-56,8.17560231579341e-56,2021-03-14
"Omicron (BA.4)",18700,3.31831774902528e-11,1.31233180613713e-10,NA,-2.24029130089264e-10,2.90395485069769e-10,2021-03-14
"Omicron (BA.5)",18700,2.58666438523791e-40,1.32903006776292e-39,NA,-2.34618462866235e-39,2.86351750570994e-39,2021-03-14
"Omicron (BA.1)",18707,3.34715348925656e-41,1.19647029161998e-40,NA,-2.01032333122164e-40,2.67975402907295e-40,2021-03-21
"Other",18707,0.129418217908636,0.00346566036112277,NA,0.122625648418187,0.136210787399084,2021-03-21
"Alpha",18707,0.747824900422159,0.00475645598664955,NA,0.738502417994276,0.757147382850042,2021-03-21
"Beta",18707,0.0619525078845468,0.00293070756490075,NA,0.0562084266081223,0.0676965891609714,2021-03-21
"Gamma",18707,0.0597031255773475,0.00247891354612509,NA,0.0548445443061538,0.0645617068485411,2021-03-21
"Delta",18707,0.00110124813688315,0.000226589325756786,NA,0.000657141219118641,0.00154535505464767,2021-03-21
"Omicron (BA.2)",18707,1.2131108713374e-67,7.52398958269482e-67,NA,-1.3533637730799e-66,1.59598594734738e-66,2021-03-21
"Omicron (BA.3)",18707,2.94088261372159e-44,1.03340083606806e-42,NA,-1.99601959414976e-42,2.05483724642419e-42,2021-03-21
"Omicron (BA.1.1, with S:R346K)",18707,4.4989078439071e-56,1.86732738973824e-55,NA,-3.21000364684143e-55,4.10978521562285e-55,2021-03-21
"Omicron (BA.4)",18707,7.04276923508601e-11,2.75426153223282e-10,NA,-4.69397648367183e-10,6.10253033068903e-10,2021-03-21
"Omicron (BA.5)",18707,9.30257325683664e-40,4.79208813075849e-39,NA,-8.46206282134484e-39,1.03225774727122e-38,2021-03-21
"Omicron (BA.1)",18714,1.29910387901582e-40,4.55994442521447e-40,NA,-7.63822296590874e-40,1.02364307239404e-39,2021-03-28
"Other",18714,0.110643555872985,0.00306600476915645,NA,0.104634296949011,0.11665281479696,2021-03-28
"Alpha",18714,0.762809943900689,0.00454213736270738,NA,0.753907518256948,0.771712369544429,2021-03-28
"Beta",18714,0.0551055303095739,0.00264561441861529,NA,0.0499202213321081,0.0602908392870398,2021-03-28
"Gamma",18714,0.0697006185376858,0.00276633015368821,NA,0.0642787110671098,0.0751225260082618,2021-03-28
"Delta",18714,0.001740351237461,0.000309728200605068,NA,0.00113329511927867,0.00234740735564333,2021-03-28
"Omicron (BA.2)",18714,2.26107691744877e-66,1.37754454646277e-65,NA,-2.47383000642172e-65,2.92604538991148e-65,2021-03-28
"Omicron (BA.3)",18714,1.14835738802821e-43,3.9635795651665e-42,NA,-7.65363745878244e-42,7.88330893638808e-42,2021-03-28
"Omicron (BA.1.1, with S:R346K)",18714,2.86546102437625e-55,1.16841829112274e-54,NA,-2.00351166704078e-54,2.57660387191603e-54,2021-03-28
"Omicron (BA.4)",18714,1.41605502405198e-10,5.46869357410779e-10,NA,-9.30238742368492e-10,1.21344974717889e-09,2021-03-28
"Omicron (BA.5)",18714,3.54924895018816e-39,1.83291512906387e-38,NA,-3.23752274466495e-38,3.94737253470259e-38,2021-03-28
"Omicron (BA.1)",18721,5.99673701007738e-40,2.06244749194925e-39,NA,-3.44264910321775e-39,4.64199650523323e-39,2021-04-04
"Other",18721,0.0962691015697945,0.00272136985413328,NA,0.0909353146670803,0.101602888472509,2021-04-04
"Alpha",18721,0.774334052779555,0.00437932115370965,NA,0.76575074104155,0.78291736451756,2021-04-04
"Beta",18721,0.0478659069933876,0.00234644830514046,NA,0.0432669528237273,0.052464861163048,2021-04-04
"Gamma",18721,0.0788050972448666,0.00305322097191518,NA,0.0728208941030705,0.0847893003866627,2021-04-04
"Delta",18721,0.00272584114224447,0.000416196086118744,NA,0.00191011180294521,0.00354157048154374,2021-04-04
"Omicron (BA.2)",18721,5.05356152005144e-65,3.01849819705032e-64,NA,-5.41079160161257e-64,6.42150390562286e-64,2021-04-04
"Omicron (BA.3)",18721,5.26034212560873e-43,1.78007920017955e-41,NA,-3.4362877007247e-41,3.54149454323687e-41,2021-04-04
"Omicron (BA.1.1, with S:R346K)",18721,2.29417624596012e-54,9.17059531647677e-54,NA,-1.5679860291126e-53,2.02682127830463e-53,2021-04-04
"Omicron (BA.4)",18721,2.70151859655805e-10,1.0288287143472e-09,NA,-1.74631536672534e-09,2.28661908603695e-09,2021-04-04
"Omicron (BA.5)",18721,1.44092270278788e-38,7.45955739334995e-38,NA,-1.31795411287875e-37,1.60613865343633e-37,2021-04-04
"Omicron (BA.1)",18728,3.30760398633966e-39,1.11205453360258e-38,NA,-1.84882643607157e-38,2.5103472333395e-38,2021-04-11
"Other",18728,0.0854056677708948,0.00244047274771801,NA,0.080622429080116,0.0901889064616736,2021-04-11
"Alpha",18728,0.783336010333004,0.00425234512239053,NA,0.775001567043284,0.791670453622724,2021-04-11
"Beta",18728,0.0406209659752592,0.00208707659804278,NA,0.036530371010119,0.0447115609403995,2021-04-11
"Gamma",18728,0.0863998136561556,0.00325485313087176,NA,0.0800204187446795,0.0927792085676317,2021-04-11
"Delta",18728,0.0042375417751883,0.000550550779076487,NA,0.00315848207653792,0.00531660147383868,2021-04-11
"Omicron (BA.2)",18728,1.36082529839254e-63,7.95241142048853e-63,NA,-1.422561467601e-62,1.69472652727951e-62,2021-04-11
"Omicron (BA.3)",18728,2.83979887227976e-42,9.40299191981162e-41,NA,-1.81455456225239e-40,1.87135053969799e-40,2021-04-11
"Omicron (BA.1.1, with S:R346K)",18728,2.32183260966611e-53,9.07773069069706e-53,NA,-1.5470192605454e-52,2.01138578247863e-52,2021-04-11
"Omicron (BA.4)",18728,4.89497735008312e-10,1.83565825109638e-09,NA,-3.10832632506437e-09,4.08732179508099e-09,2021-04-11
"Omicron (BA.5)",18728,6.24043043058911e-38,3.23864354852314e-37,NA,-5.72358167080944e-37,6.97166775692726e-37,2021-04-11
"Omicron (BA.1)",18735,2.18862519655589e-38,7.1753195836767e-38,NA,-1.18747427650154e-37,1.62519931581271e-37,2021-04-18
"Other",18735,0.0773655672400751,0.00223312928518405,NA,0.0729887142682927,0.0817424202118575,2021-04-18
"Alpha",18735,0.790468413013198,0.00413433377088385,NA,0.782365267722198,0.798571558304198,2021-04-18
"Beta",18735,0.033684900194344,0.00190323038481988,NA,0.0299546371858147,0.0374151632028733,2021-04-18
"Gamma",18735,0.0919360337796297,0.00331861092528229,NA,0.0854316758873753,0.0984403916718842,2021-04-18
"Delta",18735,0.0065450849299724,0.00071799546804053,NA,0.00513783967154998,0.00795233018839481,2021-04-18
"Omicron (BA.2)",18735,4.4328646119082e-62,2.52880923080185e-61,NA,-4.51308855495325e-61,5.39966147733489e-61,2021-04-18
"Omicron (BA.3)",18735,1.81399709051104e-41,5.86465214832403e-40,NA,-1.13131072835194e-39,1.16759067016217e-39,2021-04-18
"Omicron (BA.1.1, with S:R346K)",18735,2.98476950836216e-52,1.13858311597784e-51,NA,-1.93310494988574e-51,2.53005885155817e-51,2021-04-18
"Omicron (BA.4)",18735,8.4278065041031e-10,3.10757802033608e-09,NA,-5.24796034859669e-09,6.93352164941731e-09,2021-04-18
"Omicron (BA.5)",18735,2.8891371270896e-37,1.50325497221276e-36,NA,-2.65741189240882e-36,3.23523931782674e-36,2021-04-18
"Omicron (BA.1)",18742,1.73520706260614e-37,5.53268012754195e-37,NA,-9.10864672535655e-37,1.25790608505688e-36,2021-04-25
"Other",18742,0.0717436152729438,0.00211448017177792,NA,0.067599310290235,0.0758879202556526,2021-04-25
"Alpha",18742,0.795677321265799,0.00403909774742839,NA,0.787760835150803,0.803593807380796,2021-04-25
"Beta",18742,0.0273311306995329,0.00177950852549444,NA,0.0238433580793818,0.030818903319684,2021-04-25
"Gamma",18742,0.0951792824174156,0.00327445904861856,NA,0.0887614606132719,0.101597104221559,2021-04-25
"Delta",18742,0.0100686489604306,0.000926854275447089,NA,0.00825204796163733,0.0118852499592239,2021-04-25
"Omicron (BA.2)",18742,1.74332216156901e-60,9.68567639233738e-60,NA,-1.72402547333221e-59,2.07268990564601e-59,2021-04-25
"Omicron (BA.3)",18742,1.37043532820772e-40,4.31639722060238e-39,NA,-8.32293956252869e-39,8.59702662817024e-39,2021-04-25
"Omicron (BA.1.1, with S:R346K)",18742,4.86150850559982e-51,1.80472743284546e-50,NA,-3.05104991972854e-50,4.02335162084851e-50,2021-04-25
"Omicron (BA.4)",18742,1.38387773416354e-09,5.01005748936006e-09,NA,-8.43565450545734e-09,1.12034099737844e-08,2021-04-25
"Omicron (BA.5)",18742,1.43221560188104e-36,7.47233322336749e-36,NA,-1.32132883964013e-35,1.60777196001634e-35,2021-04-25
"Omicron (BA.1)",18749,1.63603772586505e-36,5.05974688237169e-36,NA,-8.28088393447227e-36,1.15529593862024e-35,2021-05-02
"Other",18749,0.0683790934229577,0.00209610296187427,NA,0.0642708071097964,0.072487379736119,2021-05-02
"Alpha",18749,0.798072227191589,0.00403293476970754,NA,0.790167820290963,0.805976634092215,2021-05-02
"Beta",18749,0.0217598014742141,0.00165468508142204,NA,0.0185166783088712,0.025002924639557,2021-05-02
"Gamma",18749,0.0962963752958494,0.00322754820833636,NA,0.0899704970491434,0.102622253542555,2021-05-02
"Delta",18749,0.0154925004318087,0.00119356632744733,NA,0.0131531534168522,0.0178318474467652,2021-05-02
"Omicron (BA.2)",18749,8.20110661167622e-59,4.42705998132921e-58,NA,-7.8567674596362e-58,9.49698878197144e-58,2021-05-02
"Omicron (BA.3)",18749,1.21739779542765e-39,3.72706924611071e-38,NA,-7.18318171072108e-38,7.42666126980661e-38,2021-05-02
"Omicron (BA.1.1, with S:R346K)",18749,9.91907812469227e-50,3.57403839743592e-49,NA,-6.01307872586843e-49,7.99689435080688e-49,2021-05-02
"Omicron (BA.4)",18749,2.18358100318217e-09,7.75110486301101e-09,NA,-1.30083053687127e-08,1.7375467375077e-08,2021-05-02
"Omicron (BA.5)",18749,7.61079551946558e-36,3.98244099834429e-35,NA,-7.04436137536399e-35,8.5665204792571e-35,2021-05-02
"Omicron (BA.1)",18756,1.81848289522079e-35,5.44012345407684e-35,NA,-8.84396314622144e-35,1.2480928936663e-34,2021-05-09
"Other",18756,0.0672104329456801,0.00217853189532183,NA,0.0629405888916776,0.0714802769996827,2021-05-09
"Alpha",18756,0.796242146023462,0.00419718928865722,NA,0.788015806181396,0.804468485865527,2021-05-09
"Beta",18756,0.0170425376480362,0.00149054086977362,NA,0.0141211312257949,0.0199639440702775,2021-05-09
"Gamma",18756,0.0955775506903656,0.00327788993120387,NA,0.0891530044799195,0.102002096900812,2021-05-09
"Delta",18756,0.023927329359618,0.00154825546700355,NA,0.0208928044054238,0.0269618543138122,2021-05-09
"Omicron (BA.2)",18756,4.56683018858577e-57,2.38946326897435e-56,NA,-4.22657893071248e-56,5.13994496842964e-56,2021-05-09
"Omicron (BA.3)",18756,1.2630367578233e-38,3.749908510848e-37,NA,-7.22338195079997e-37,7.47598930236463e-37,2021-05-09
"Omicron (BA.1.1, with S:R346K)",18756,2.50303009263591e-48,8.73052160527637e-48,NA,-1.46084778199546e-47,1.96145380052264e-47,2021-05-09
"Omicron (BA.4)",18756,3.33283851628966e-09,1.15854549188339e-08,NA,-1.93742358691373e-08,2.60399129017166e-08,2021-05-09
"Omicron (BA.5)",18756,4.33784907991977e-35,2.27703066692708e-34,NA,-4.02911319087832e-34,4.89668300686228e-34,2021-05-09
"Omicron (BA.1)",18763,2.35912842034854e-34,6.80765322879244e-34,NA,-1.09836267273225e-33,1.57018835680195e-33,2021-05-16
"Other",18763,0.0682840919556275,0.00235533537421865,NA,0.0636677194506458,0.0729004644606092,2021-05-16
"Alpha",18763,0.788064510923692,0.00458767648219329,NA,0.779072830245872,0.797056191601513,2021-05-16
"Beta",18763,0.0131540046875174,0.00129379085470891,NA,0.0106182212087607,0.0156897881662742,2021-05-16
"Gamma",18763,0.0933216487091845,0.00345584994242831,NA,0.0865483072860502,0.100094990132319,2021-05-16
"Delta",18763,0.0371757387787202,0.00204300473427056,NA,0.0331715230793051,0.0411799544781354,2021-05-16
"Omicron (BA.2)",18763,2.97508335874267e-55,1.50506864586545e-54,NA,-2.65237200428249e-54,3.24738867603102e-54,2021-05-16
"Omicron (BA.3)",18763,1.51861681125501e-37,4.36213074407527e-36,NA,-8.39775747311693e-36,8.70148083536793e-36,2021-05-16
"Omicron (BA.1.1, with S:R346K)",18763,7.70255501361718e-47,2.59361789830332e-46,NA,-4.31314216897126e-46,5.85365317169469e-46,2021-05-16
"Omicron (BA.4)",18763,4.94525806886306e-09,1.6814790534209e-08,NA,-2.80111257857715e-08,3.79016419234977e-08,2021-05-16
"Omicron (BA.5)",18763,2.65085957863229e-34,1.39627180847606e-33,NA,-2.47155649937845e-33,3.00172841510491e-33,2021-05-16
"Omicron (BA.1)",18770,3.52962208706377e-33,9.79636621221391e-33,NA,-1.56709028682406e-32,2.27301470423681e-32,2021-05-23
"Other",18770,0.0717497978046509,0.0026163086559921,NA,0.066621927066466,0.0768776685428358,2021-05-23
"Alpha",18770,0.770383831644207,0.00521947578073102,NA,0.760153847095795,0.780613816192619,2021-05-23
"Beta",18770,0.0100082771935806,0.00109959390207536,NA,0.007853112747893,0.0121634416392681,2021-05-23
"Gamma",18770,0.0897360316278587,0.00370905629225714,NA,0.082466414878403,0.0970056483773144,2021-05-23
"Delta",18770,0.0581220545781627,0.00275580501493411,NA,0.0527207760004769,0.0635233331558484,2021-05-23
"Omicron (BA.2)",18770,2.23656822110927e-53,1.09122027256704e-52,NA,-1.91509561132044e-52,2.3624092555423e-52,2021-05-23
"Omicron (BA.3)",18770,2.09652985007418e-36,5.81229063375597e-35,NA,-1.11822273248338e-34,1.16015332948486e-34,2021-05-23
"Omicron (BA.1.1, with S:R346K)",18770,2.84441255405453e-45,9.22013129452017e-45,NA,-1.52267127159357e-44,2.09155378240447e-44,2021-05-23
"Omicron (BA.4)",18770,7.15154030767829e-09,2.37601655432513e-08,NA,-3.94175284238039e-08,5.37206090391605e-08,2021-05-23
"Omicron (BA.5)",18770,1.73356486589369e-33,9.16494070347371e-33,NA,-1.622938883336e-32,1.96965185651473e-32,2021-05-23
"Omicron (BA.1)",18777,6.00051645721659e-32,1.59704133329053e-31,NA,-2.5300918493496e-31,3.73019514079292e-31,2021-05-30
"Other",18777,0.0778048836096985,0.00294531763082477,NA,0.0720321671302511,0.0835776000891459,2021-05-30
"Alpha",18777,0.738657835359497,0.00608802855429354,NA,0.72672551865623,0.750590152062764,2021-05-30
"Beta",18777,0.00748989642356031,0.000947165726738562,NA,0.00563348571176202,0.0093463071353586,2021-05-30
"Gamma",18777,0.0848442567115596,0.00394596406610754,NA,0.0771103092576996,0.0925782041654196,2021-05-30
"Delta",18777,0.0912031178232939,0.00377565076061794,NA,0.0838029783142814,0.0986032573323063,2021-05-30
"Omicron (BA.2)",18777,1.90841932049526e-51,8.95665499536692e-51,NA,-1.56463018923747e-50,1.94631405333652e-50,2021-05-30
"Omicron (BA.3)",18777,3.28406075156835e-35,8.76541520559142e-34,NA,-1.68514920373421e-33,1.75083041876558e-33,2021-05-30
"Omicron (BA.1.1, with S:R346K)",18777,1.23674726966946e-43,3.84798836704126e-43,NA,-6.3051713426605e-43,8.77866588199942e-43,2021-05-30
"Omicron (BA.4)",18777,1.007239069851e-08,3.26678616706398e-08,NA,-5.39554416278804e-08,7.41002230249004e-08,2021-05-30
"Omicron (BA.5)",18777,1.20764680596954e-32,6.40989087946569e-32,NA,-1.1355508462615e-31,1.37708020745541e-31,2021-05-30
"Omicron (BA.1)",18784,1.1373902849474e-30,2.89384493679434e-30,NA,-4.53444156801309e-30,6.80922213790789e-30,2021-06-06
