"DATE_NUM","LINEAGE","prob","collection_date","totcases","cases","smoothed_totcases","smoothed_cases"
18542,"Other",0.99964931465599,2020-10-07,6904,6901.57886838496,9924.80182454406,9921.32134200199
18543,"Other",0.999617228815662,2020-10-08,6679,6676.44347125981,10806.4433457498,10802.3069506318
18544,"Other",0.999582316746329,2020-10-09,7952,7948.67858276681,11751.3196521242,11746.411322697
18545,"Other",0.999544340480134,2020-10-10,4370,4368.00876789818,12753.1065105283,12747.2954361389
18546,"Other",0.999503043097897,2020-10-11,2439,2437.78792211577,13802.3611980343,13795.5020193716
18547,"Other",0.999458147326499,2020-10-12,9872,9866.65083040719,14886.1164181972,14878.0503362179
18548,"Other",0.999409354042975,2020-10-13,12778,12770.4527259611,15987.5759802117,15978.1329830963
18549,"Other",0.999356340680218,2020-10-14,12533,12524.9330177452,17085.9678942393,17074.9703517667
18550,"Other",0.999298759528992,2020-10-15,12027,12018.5661808552,18156.6144315822,18143.8822787262
18551,"Other",0.999236235930804,2020-10-16,13738,13727.5074092174,19171.2854277147,19156.6430887447
18552,"Other",0.99916836635607,2020-10-17,8124,8117.24380827671,20103.3196484959,20086.6010515215
18553,"Other",0.999094716361843,2020-10-18,4339,4335.07197429404,20937.0955922495,20918.1415821793
18554,"Other",0.999014818423316,2020-10-19,15824,15808.4104867305,21660.5811273141,21639.2415218472
18555,"Other",0.998928169633187,2020-10-20,19600,19578.9921248105,22263.9224238711,22240.0592757328
18556,"Other",0.998834229262968,2020-10-21,17628,17607.4497934476,22739.6649561088,22713.1557201331
18557,"Other",0.998732416180255,2020-10-22,17715,17692.5447526332,23082.8880876931,23053.6285922402
18558,"Other",0.998622106116044,2020-10-23,18863,18837.0087876669,23291.251822637,23259.1589492009
18559,"Other",0.998502628776218,2020-10-24,11552,11534.7023676229,23364.9584998877,23329.9724833851
18560,"Other",0.998373264791451,2020-10-25,4880,4872.06153218228,23306.6359536259,23268.7222283274
18561,"Other",0.998233242499982,2020-10-26,19845,19809.9386974121,23121.1517640354,23080.3022957473
18562,"Other",0.998081734557925,2020-10-27,22190,22147.4336898404,22815.3705583158,22771.6046214257
18563,"Other",0.997917854372156,2020-10-28,17982,17944.5588573201,22397.8678263949,22351.2322038271
18564,"Other",0.997740652351195,2020-10-29,15074,15039.9425935419,21878.6143889815,21829.1829930026
18565,"Other",0.99754911197005,2020-10-30,15388,15350.2857349951,21268.6455501409,21216.5184813489
18566,"Other",0.99734214564561,2020-10-31,6308,6291.23425473251,20579.7281786875,20525.0302585356
18567,"Other",0.997118590419937,2020-11-01,2661,2653.33256910745,19824.0376193599,19766.9164474479
18568,"Other",0.996877203449701,2020-11-02,13842,13798.7742501508,19014.3457124115,18954.9677792146
18569,"Other",0.996616657301072,2020-11-03,12082,12041.1224535116,18166.6801163387,18105.2160118033
18570,"Other",0.996335535050587,2020-11-04,9213,9179.23928442106,17297.4013499323,17234.0156289695
18571,"Other",0.99603232519396,2020-11-05,7644,7613.67109378263,16421.1532624155,16355.9994663301
18572,"Other",0.995705416366405,2020-11-06,6638,6609.4925538402,15550.7139905968,15483.9301488021
18573,"Other",0.995353091879906,2020-11-07,3043,3028.85945859055,14696.9524555561,14628.6570678497
18574,"Other",0.99497352408499,2020-11-08,1449,1441.71663639915,13868.864631039,13799.1531170025
18575,"Other",0.99456476856691,2020-11-09,8613,8566.18635166679,13073.6719220721,13002.6134894953
18576,"Other",0.994124758188842,2020-11-10,7662,7616.98389724291,12316.9647162786,12244.5995701909
18577,"Other",0.993651296997651,2020-11-11,2001,1988.2962452923,11602.8757810313,11529.2125687244
18578,"Other",0.993142054011141,2020-11-12,6467,6422.64966329005,10934.2703412964,10859.2837058682
18579,"Other",0.992594556909347,2020-11-13,5696,5653.81859615564,10312.9420999795,10236.5701941609
18580,"Other",0.992006185656504,2020-11-14,2360,2341.13459814935,9739.80692971627,9661.94872137862
18581,"Other",0.991374166084773,2020-11-15,1053,1043.91699688727,9215.08831010615,9135.60048882903
18582,"Other",0.99069556347568,2020-11-16,5830,5775.75513506321,8738.49070372967,8657.18397165845
18583,"Other",0.989967276180502,2020-11-17,4823,4774.61217301856,8309.35890493094,8225.99340192069
18584,"Other",0.989186029326601,2020-11-18,3681,3641.19377395122,7926.75052922046,7841.03088146212
18585,"Other",0.988348368662829,2020-11-19,3007,2971.96354456913,7587.599094627,7499.19118724215
18586,"Other",0.987450654603801,2020-11-20,3075,3036.41076290669,7286.94974618026,7195.5032969307
18587,"Other",0.986489056539827,2020-11-21,1258,1241.0032331271,7020.41444072784,6925.56201815218
18588,"Other",0.985459547486763,2020-11-22,585,576.493835279756,6784.20043838208,6685.55509406751
18589,"Other",0.984357899157899,2020-11-23,3944,3882.30755427875,6575.01728693045,6472.17020348972
18590,"Other",0.98317967754811,2020-11-24,2865,2816.80977617534,6389.99916437683,6282.5173179647
18591,"Other",0.981920239129006,2020-11-25,2669,2620.74511823532,6226.6397962949,6114.06363774807
18592,"Other",0.980574727762407,2020-11-26,2412,2365.14624336293,6082.73770158488,5964.57886578173
18593,"Other",0.979138072448241,2020-11-27,2724,2667.17210934901,5956.34994837891,5832.0890072829
18594,"Other",0.977604986031678,2020-11-28,1001,978.58259101771,5845.75294457,5714.83722572099
18595,"Other",0.975969965002905,2020-11-29,556,542.639300541615,5749.40906285703,5611.25056186396
18596,"Other",0.974227290531142,2020-11-30,3286,3201.31087668533,5665.93812241427,5519.91154531676
18597,"Other",0.97237103088229,2020-12-01,2682,2607.8991048263,5594.09292933376,5439.5339085476
18598,"Other",0.970395045376496,2020-12-02,2598,2521.08632788814,5532.7382244908,5368.94176041102
18599,"Other",0.96829299004792,2020-12-03,2361,2286.13974950314,5480.83250723364,5307.0516963811
18600,"Other",0.966058325173625,2020-12-04,2549,2462.48267086757,5437.41222448038,5252.85734686011
18601,"Other",0.963684324841566,2020-12-05,1094,1054.27065137667,5401.48195672236,5205.32349260789
18602,"Other",0.961164088728701,2020-12-06,595,571.892632793577,5371.81817842037,5163.19872427768
18603,"Other",0.95849055625897,2020-12-07,3347,3208.06789179877,5347.19407369434,5125.23502211996
18604,"Other",0.955656523306908,2020-12-08,2710,2589.82917816172,5326.42013814149,5090.2281508882
18605,"Other",0.95265466160542,2020-12-09,2749,2618.8476647533,5308.33455665921,5057.00966076254
18606,"Other",0.949477541005561,2020-12-10,2668,2533.20607940284,5291.79619513085,5024.44163885542
18607,"Other",0.946117654721366,2020-12-11,2885,2729.54943387114,5275.68009247595,4991.41407615354
18608,"Other",0.942567447673716,2020-12-12,1581,1490.19913477215,5258.87537409032,4956.84473899047
18609,"Other",0.938819348023245,2020-12-13,735,690.032220797085,5240.2855273376,4919.68144223074
18610,"Other",0.93486580195339,2020-12-14,3805,3557.16437643265,5218.83098514833,4878.90661418989
18611,"Other",0.930699311730333,2020-12-15,3200,2978.23779753707,5193.45395543358,4833.54402182521
18612,"Other",0.926312477026802,2020-12-16,2753,2550.13824925479,5163.12541244334,4782.66749000042
18613,"Other",0.921698039451342,2020-12-17,2733,2519.00074182052,5126.85413208041,4725.41140209152
18614,"Other",0.916848930173861,2020-12-18,2729,2502.08073044447,5083.69760752184,4660.98271278382
18615,"Other",0.911758320482307,2020-12-19,1429,1302.90263996922,5032.77462575047,4588.67414014022
18616,"Other",0.90641967504452,2020-12-20,635,575.57649365327,4973.27922176408,4507.87813609706
18617,"Other",0.900826807584528,2020-12-21,3308,2979.93507948962,4904.68121794952,4418.26832378526
18618,"Other",0.894973938614386,2020-12-22,2589,2317.08752707265,4828.10722470281,4321.03013894485
18619,"Other",0.888855754792482,2020-12-23,2354,2092.3664467815,4745.4586162966,4218.0282002248
18620,"Other",0.88246746940819,2020-12-24,1719,1516.96157991268,4658.56523781011,4111.03227648325
18621,"Other",0.875804883422473,2020-12-25,492,430.896002643857,4569.1606179503,4001.69318234252
18622,"Other",0.868864446426355,2020-12-26,1097,953.144297729712,4478.87007842026,3891.53097130219
18623,"Other",0.861643316816083,2020-12-27,530,456.670957912524,4389.20480329703,3781.92898489794
18624,"Other",0.854139420427168,2020-12-28,2639,2254.0739305073,4301.56126405654,3674.13304501321
18625,"Other",0.846351506822025,2020-12-29,2268,1919.52521747235,4217.22536383479,3569.25504128964
18626,"Other",0.838279202389306,2020-12-30,1980,1659.79282073083,4137.38067939987,3468.28017590825
18627,"Other",0.82992305938984,2020-12-31,1624,1347.7950484491,4063.12023316992,3372.07717458114
18628,"Other",0.821284600076289,2021-01-01,469,385.18247743578,3995.46131306751,3281.41084662294
18629,"Other",0.812366355022776,2021-01-02,1053,855.421771838984,3935.36296885083,3196.95647069696
18630,"Other",0.803171894828815,2021-01-03,730,586.315483225035,3883.74594522767,3119.31558986223
18631,"Other",0.793705854409344,2021-01-04,2911,2310.4777421856,3841.51496193082,3049.03291508558
18632,"Other",0.783973949150383,2021-01-05,2625,2057.93161651975,3809.58341864415,2986.61415733227
